,HDLBP (3069)
ACH-000004,-0.1928320254787875
ACH-000005,-0.0636378272892859
ACH-000007,-0.07376125807805102
ACH-000009,-0.07553421103883545
ACH-000011,0.04198047195726475
ACH-000012,-0.2357442954899581
ACH-000013,-0.0943398230791667
ACH-000014,-0.2956098927905083
ACH-000015,-0.17902097973729267
ACH-000017,-0.14234554769886126
ACH-000018,-0.0785485150377384
ACH-000019,-0.023650877286701025
ACH-000021,-0.2007571787750536
ACH-000022,-0.01144782373976115
ACH-000025,-0.05512125726423713
ACH-000028,-0.057210418302860826
ACH-000030,-0.008940816408784382
ACH-000035,-0.100317851316212
ACH-000036,-0.16253865250011865
ACH-000037,-0.11447232428493928
ACH-000039,-0.2256214615591467
ACH-000040,-0.2383603614911494
ACH-000041,-0.08803538124573689
ACH-000042,-0.1961591896386453
ACH-000045,-0.1966981577337284
ACH-000047,-0.3241361871864715
ACH-000052,0.16221289966253308
ACH-000053,-0.16805989070464164
ACH-000054,-0.1070032879918504
ACH-000055,-0.3325661376687882
ACH-000060,-0.1710905819567279
ACH-000067,-0.3687629084713116
ACH-000070,-0.04319142443268335
ACH-000075,-0.17872479783899434
ACH-000078,-0.21230610957823975
ACH-000082,-0.22180763756080524
ACH-000085,0.2791445977078492
ACH-000086,-0.04029115098864024
ACH-000087,-0.08972812040155642
ACH-000092,-0.15565199803141744
ACH-000095,0.0099801832257636
ACH-000097,-0.06001293940005852
ACH-000098,-0.3818617977698343
ACH-000099,-0.2525757057025033
ACH-000108,-0.15086664580886167
ACH-000113,0.031027616229472917
ACH-000116,-0.11760789866235087
ACH-000118,-0.22411606528708025
ACH-000120,-0.08362118174063328
ACH-000123,0.017569053227768843
ACH-000127,-0.3966476997663087
ACH-000128,-0.0039305225429272965
ACH-000132,-0.10861717900234877
ACH-000133,0.05994597672469161
ACH-000137,-0.1844762996374407
ACH-000138,-0.23478219260813316
ACH-000142,-0.2366817731660574
ACH-000143,-0.2797136541704434
ACH-000146,-0.17620345184793754
ACH-000148,-0.30120149349225456
ACH-000150,-0.43902558071298703
ACH-000152,-0.12708923267884914
ACH-000153,-0.3314001620656474
ACH-000159,-0.09838283995839386
ACH-000160,-0.09160010584337223
ACH-000163,-0.13087845855091254
ACH-000167,0.18680354497487892
ACH-000168,-0.013568526358826162
ACH-000169,-0.023701444008391827
ACH-000178,-0.055901098549969074
ACH-000183,-0.22206828102482395
ACH-000188,-0.14389475672364807
ACH-000189,-0.3253220326891174
ACH-000190,-0.32672974298208124
ACH-000198,0.052786809669392365
ACH-000203,-0.6846544644605325
ACH-000204,-0.3658664585551791
ACH-000206,-0.0137303888423364
ACH-000207,-0.07624121595746784
ACH-000208,-0.07453378020067711
ACH-000210,-0.21008693268778608
ACH-000211,-0.19879996028144475
ACH-000215,-0.12411225771864436
ACH-000221,-0.15332076727457974
ACH-000222,0.03244522477362
ACH-000223,-0.10691916719935844
ACH-000226,0.04808612242242595
ACH-000227,-0.062346709734362016
ACH-000228,-0.3273780665904254
ACH-000231,-0.028689090224514564
ACH-000232,-0.14721172463206122
ACH-000233,-0.039273996734341766
ACH-000234,-0.02395792501490261
ACH-000235,-0.20251567614072027
ACH-000237,-0.2205326178375634
ACH-000238,-0.14547503661177333
ACH-000242,-0.8244840504129121
ACH-000243,-0.3138411761371541
ACH-000244,-0.2443362142749813
ACH-000246,-0.08540472924715553
ACH-000248,-0.3069907352385314
ACH-000250,-0.14992686473676906
ACH-000251,-0.059906017842013826
ACH-000252,-0.21837365155083646
ACH-000253,-0.0512825054953226
ACH-000255,-0.07969536709208981
ACH-000256,-0.036144140199614885
ACH-000257,-0.1252228131700476
ACH-000258,-0.18572169845384148
ACH-000259,-0.14644096705675191
ACH-000260,-0.07186289803727987
ACH-000261,0.057866755570301236
ACH-000262,0.02326524319843353
ACH-000263,0.12540769463326096
ACH-000264,0.1039884935356919
ACH-000265,-0.14570140986911245
ACH-000266,-0.09000081716829136
ACH-000272,-0.14973654155991628
ACH-000274,-0.22477649355243204
ACH-000277,-0.2565854260529002
ACH-000278,-0.1107679205857309
ACH-000279,0.03783822079567998
ACH-000280,-0.14830266165411524
ACH-000281,-0.3309940635086452
ACH-000288,-0.13974726882438365
ACH-000291,-0.2005788891363656
ACH-000293,-0.08240759865582792
ACH-000294,-0.09098733724671262
ACH-000295,-0.17349869843472368
ACH-000296,-0.26725704161401154
ACH-000302,-0.10370495862275242
ACH-000304,-0.239144988146562
ACH-000307,-0.21991102193328574
ACH-000308,-0.053393544323591016
ACH-000310,-0.2121953229118676
ACH-000311,-0.001237545021574009
ACH-000312,-0.2473172762995505
ACH-000315,-0.023075722385248604
ACH-000316,-0.12811953222235298
ACH-000317,-0.1605582600541256
ACH-000318,-0.0834492539536314
ACH-000319,-0.0022071909648930647
ACH-000320,-0.30322174329191776
ACH-000322,-0.30105984290917104
ACH-000323,-0.18290851482402948
ACH-000324,-0.08602005447727808
ACH-000329,-0.07805893216638292
ACH-000330,0.06341834312297269
ACH-000331,-0.18862181447412954
ACH-000332,-0.2875028878732566
ACH-000334,-0.15670689158819998
ACH-000335,0.11439683239681366
ACH-000336,-0.06457136767493994
ACH-000337,0.036094100683655685
ACH-000338,-0.056144508214181627
ACH-000339,-0.0611878053783985
ACH-000341,0.0022877847868264405
