,LEO1 (123169)
ACH-000004,-0.4298083322534269
ACH-000005,-0.5088190122853076
ACH-000007,-0.41747670005534937
ACH-000009,-0.25004211618249017
ACH-000011,-0.31358661475921296
ACH-000012,-0.5118592720529987
ACH-000013,-0.17937414540889554
ACH-000014,-0.3438427851244989
ACH-000015,-0.3229042582546651
ACH-000017,-0.2606621032659364
ACH-000018,-0.3237183801507266
ACH-000019,-0.1522953039137451
ACH-000021,-0.023999765557105226
ACH-000022,0.0025805818452237965
ACH-000025,-0.38667244018421104
ACH-000028,0.016120913536355863
ACH-000030,-0.14066426174204527
ACH-000035,-0.3076286973970315
ACH-000036,-0.24866141435699335
ACH-000037,-0.19098409240052253
ACH-000039,-0.15629643626321962
ACH-000040,-0.2428988629502283
ACH-000041,-0.21442746691402967
ACH-000042,-0.14755480242428848
ACH-000045,-0.5016583882814085
ACH-000047,-0.2956928418550965
ACH-000052,-0.3239702512215798
ACH-000053,-0.18012633583291254
ACH-000054,-0.10886486884229712
ACH-000055,-0.23101294493955665
ACH-000060,-0.3706876307317106
ACH-000067,-0.30728006877750885
ACH-000070,-0.291726120580226
ACH-000075,-0.35386123804221997
ACH-000078,0.05690314934560284
ACH-000082,-0.13859208609677595
ACH-000085,-0.11260661551572962
ACH-000086,-0.15779965836264684
ACH-000087,0.054974202184428236
ACH-000092,-0.3786732091189914
ACH-000095,-0.13456652909064146
ACH-000097,-0.2273236124752317
ACH-000098,-0.14951384010549765
ACH-000099,-0.2217125774337384
ACH-000108,-0.27797866882224065
ACH-000113,-0.3087096654774613
ACH-000116,-0.33282199037220056
ACH-000118,-0.4321437055320389
ACH-000120,-0.3384643792037844
ACH-000123,-0.37353381796253066
ACH-000127,-0.09206611690696573
ACH-000128,-0.3138183726450683
ACH-000132,-0.4660712858976425
ACH-000133,-0.19687006217148184
ACH-000137,-0.4152617087180531
ACH-000138,-0.18988613284203795
ACH-000142,-0.21909512366422054
ACH-000143,-0.42482104489339617
ACH-000146,-0.1839001231891262
ACH-000148,-0.3313869614374338
ACH-000150,-0.2365391145255864
ACH-000152,-0.3284156788309843
ACH-000153,-0.4097820168853568
ACH-000159,-0.3456506380427417
ACH-000160,-0.007266072973769188
ACH-000163,-0.024954995064851705
ACH-000167,0.3755218248933002
ACH-000168,-0.6150356731694642
ACH-000169,-0.10766650022037068
ACH-000178,-0.3596020699532177
ACH-000183,-0.3191149192514865
ACH-000188,-0.2316211512731308
ACH-000189,-0.2643609142084479
ACH-000190,-0.05776108997099976
ACH-000198,-0.3509042515004226
ACH-000203,-0.6045223393215295
ACH-000204,-0.4045192335563631
ACH-000206,-0.30334863558031105
ACH-000207,-0.5119555461193194
ACH-000208,-0.12092487966660427
ACH-000210,-0.4142335604698254
ACH-000211,-0.2503271679991886
ACH-000215,-0.1500488914903089
ACH-000221,-0.03365188400554138
ACH-000222,-0.21095163971576705
ACH-000223,-0.3057029741002562
ACH-000226,-0.3604433311887125
ACH-000227,-0.09548293946614902
ACH-000228,-0.3422043476218857
ACH-000231,-0.30030820618534204
ACH-000232,-0.15532004619724588
ACH-000233,-0.2524326834220998
ACH-000234,-0.2463128607330552
ACH-000235,-0.3428247124024745
ACH-000237,-0.5505328457416341
ACH-000238,-0.32108408610986544
ACH-000242,-0.03371410245644706
ACH-000243,-0.285834139495001
ACH-000244,-0.3649748300016097
ACH-000246,-0.4125721140689072
ACH-000248,-0.3662076704779284
ACH-000250,-0.2709684427367339
ACH-000251,-0.42487259805713457
ACH-000252,0.0056749953856467285
ACH-000253,-0.18837096599923794
ACH-000255,-0.3649475303860832
ACH-000256,-0.12292293064843728
ACH-000257,-0.5439141955894319
ACH-000258,-0.4756524804372637
ACH-000259,-0.3298764331243594
ACH-000260,-0.12433662129129265
ACH-000261,-0.4425707623483068
ACH-000262,-0.3931414684394817
ACH-000263,-0.19517649685756155
ACH-000264,-0.2813656357943317
ACH-000265,-0.4635841845808184
ACH-000266,-0.2917565810278868
ACH-000272,-0.4923939011553967
ACH-000274,-0.20482829844292985
ACH-000277,-0.2733970299138767
ACH-000278,-0.197407165164436
ACH-000279,-0.5807351280457971
ACH-000280,-0.11321830687850985
ACH-000281,-0.020588446393499098
ACH-000288,-0.3040134806819972
ACH-000291,-0.0881957604311963
ACH-000293,-0.14648397961531795
ACH-000294,-0.3807615243761496
ACH-000295,-0.24399351259158836
ACH-000296,-0.2337022790054009
ACH-000302,-0.07375793720815725
ACH-000304,-0.16337451003547185
ACH-000307,-0.246654054784369
ACH-000308,-0.09711040018889533
ACH-000310,-0.11214365293469593
ACH-000311,-0.10285361747938952
ACH-000312,-0.30880364173010844
ACH-000315,-0.4354159470114761
ACH-000316,-0.1451511002599852
ACH-000317,-0.26150568670324204
ACH-000318,-0.26027839627946336
ACH-000319,-0.4048378071849165
ACH-000320,-0.23139354870215176
ACH-000322,-0.19648596214734074
ACH-000323,-0.3385648524414035
ACH-000324,-0.36256765486718895
ACH-000329,-0.1892102031864784
ACH-000330,-0.3048402989717752
ACH-000331,-0.2384965881326133
ACH-000332,-0.07873573995750806
ACH-000334,-0.6125250455806411
ACH-000335,-0.5863821654791256
ACH-000336,-0.14588491873332254
ACH-000337,-0.11824025009584843
ACH-000338,-0.8205901504759258
ACH-000339,-0.16099745180018651
ACH-000341,-0.19115813784173072
ACH-000348,-0.27603310561603833
ACH-000350,-0.1977403208049471
ACH-000352,-0.3993460461324832
ACH-000356,-0.6647212511401505
ACH-000361,-0.4310311784685558
ACH-000362,-0.426295144965376
ACH-000363,-0.4278371501958621
ACH-000364,-0.2601067020810082
ACH-000365,-0.5896796478980937
ACH-000366,-0.2432559410383104
ACH-000368,-0.5195031736996907
ACH-000374,-0.3957346122490911
ACH-000375,-0.3269593162491795
ACH-000376,-0.09526159608362447
ACH-000381,-0.3557002279542395
ACH-000383,-0.2032568882426938
ACH-000387,-0.2465832728668161
ACH-000389,-0.3553108887040111
ACH-000390,-0.14057730518222442
ACH-000393,-0.3842982310252347
ACH-000395,-0.06311794786580653
ACH-000396,-0.6008437666136732
