,BZRAP1 (9256)
ACH-000004,-0.2926018448934275
ACH-000005,-0.1960386665137739
ACH-000007,-0.040598076578190014
ACH-000009,-0.0918108583543804
ACH-000011,-0.16597994421227655
ACH-000012,-0.2634732121042892
ACH-000013,-0.1471203713290107
ACH-000014,-0.15030847760268534
ACH-000015,-0.06563429296982799
ACH-000017,0.012862226257285557
ACH-000018,-0.02127336603009841
ACH-000019,-0.2453629240331795
ACH-000021,-0.2438460738382375
ACH-000022,-0.16531052838242666
ACH-000025,0.01944614640404484
ACH-000028,-0.2678510971221706
ACH-000030,-0.10169365315762463
ACH-000035,-0.18442469681361084
ACH-000036,-0.15548493494702398
ACH-000037,-0.11985117467826695
ACH-000039,-0.16775042927247494
ACH-000040,-0.2688873009330066
ACH-000041,-0.3341455013179174
ACH-000042,-0.2316228440872298
ACH-000045,-0.270755514034268
ACH-000047,-0.15578564338247827
ACH-000052,-0.3396939263748797
ACH-000053,-0.19180098079529587
ACH-000054,-0.3684863495882196
ACH-000055,-0.2946445644833831
ACH-000060,-0.08213812733797349
ACH-000067,-0.10439775740783043
ACH-000070,0.09896270506608378
ACH-000075,0.08799458142790519
ACH-000078,-0.25578527877342555
ACH-000082,-0.19346269055637014
ACH-000085,0.039577754505003886
ACH-000086,0.007901271653576092
ACH-000087,-0.5223836535273584
ACH-000092,-0.02025266283422776
ACH-000095,-0.2248450019659166
ACH-000097,-0.11213804408639697
ACH-000098,-0.07476119100182575
ACH-000099,-0.2331322618295691
ACH-000108,-0.10403764879544664
ACH-000113,-0.22046757119127008
ACH-000116,-0.19409174565617415
ACH-000118,-0.1169285840741608
ACH-000120,-0.3501634682314649
ACH-000123,-0.04809614842472635
ACH-000127,-0.1144376047960833
ACH-000128,-0.15329135871531266
ACH-000132,-0.20292441240166215
ACH-000133,-0.039414997571703664
ACH-000137,-0.0950104367740588
ACH-000138,-0.2622862158455813
ACH-000142,-0.2364224333536541
ACH-000143,-0.07430050856492901
ACH-000146,-0.15817294270686386
ACH-000148,-0.08434114544088837
ACH-000150,-0.3017161754049635
ACH-000152,-0.10949819988120564
ACH-000153,-0.2961608839094283
ACH-000159,-0.10521762205835926
ACH-000160,0.017969121675133697
