,PNISR (25957)
ACH-000004,-0.34799239682451283
ACH-000005,-0.034678685436086085
ACH-000007,-0.4760015209144206
ACH-000009,-0.2747814164523897
ACH-000011,-0.2859734746292249
ACH-000012,-0.3270113368839936
ACH-000013,-0.31733138993823384
ACH-000014,-0.1721268992065069
ACH-000015,-0.33318632185227715
ACH-000017,-0.6114952870741667
ACH-000018,-0.27766825951384105
ACH-000019,-0.3168573498516762
ACH-000021,-0.4551778313903335
ACH-000022,-0.2753632618138808
ACH-000025,-0.2935240198854517
ACH-000028,-0.171130699370994
ACH-000030,-0.23666394600914975
ACH-000035,-0.6660582652798425
ACH-000036,-0.36013477995889065
ACH-000037,-0.4966975460549332
ACH-000039,-0.19661094519644212
ACH-000040,-0.3447822085234737
ACH-000041,-0.10845324506705464
ACH-000042,-0.4230201537257186
ACH-000045,-0.07039473852285846
ACH-000047,-0.34097241703806125
ACH-000052,-0.5871544435247977
ACH-000053,-0.6686280661046939
ACH-000054,-0.2307822882852413
ACH-000055,-0.35678875264141235
ACH-000060,-0.4564474629230947
ACH-000067,-0.2254437519405854
ACH-000070,-0.4809811614761415
ACH-000075,-0.4063730067267246
ACH-000078,-0.11282994072110016
ACH-000082,-0.4688968638515506
ACH-000085,-0.42055241411682986
ACH-000086,-0.3322223476651837
ACH-000087,-0.4986086763051613
ACH-000092,-0.3572070302917944
ACH-000095,-0.362988689437184
ACH-000097,-0.4383529225136596
ACH-000098,-0.2918130651270027
ACH-000099,-0.3680962597598272
ACH-000108,-0.31841112454259496
ACH-000113,-0.3264688685562683
ACH-000116,-0.3215425893542564
ACH-000118,-0.6157108810639523
ACH-000120,-0.4887095825760082
ACH-000123,-0.3830376771784989
ACH-000127,-0.4483597387559297
ACH-000128,-0.1577789071876224
ACH-000132,-0.35840612104790337
ACH-000133,-0.448865681461905
ACH-000137,-0.4296367812575539
ACH-000138,-0.3609350825218156
ACH-000142,-0.4945784746157096
ACH-000143,-0.2401256422147669
ACH-000146,-0.1944556916882152
ACH-000148,-0.3801438387034992
ACH-000150,-0.2312422859360097
ACH-000152,-0.6691538480658124
ACH-000153,-0.420331621224658
ACH-000159,-0.31350427839637696
ACH-000160,-0.32460880574032225
ACH-000163,-0.3624928716476772
ACH-000167,-0.3795539346423731
ACH-000168,-0.39477251142409536
ACH-000169,-0.4353564872007028
ACH-000178,-0.43279697083825386
ACH-000183,-0.40688795333106803
ACH-000188,-0.2992643418649246
ACH-000189,-0.5467359227934439
ACH-000190,-0.6242018156073691
ACH-000198,-0.4260047572290325
ACH-000203,-0.7717335205629919
ACH-000204,-0.4755583508453081
ACH-000206,-0.05967159640105621
ACH-000207,-0.4088051821592248
ACH-000208,-0.2239471512517653
ACH-000210,-0.4089835281431936
ACH-000211,-0.35766319768074273
ACH-000215,-0.34056662785163083
ACH-000221,-0.4743727779178004
ACH-000222,-0.17492973090366604
ACH-000223,-0.5250851749955833
ACH-000226,-0.3415940722485763
ACH-000227,-0.2161018508478736
ACH-000228,-0.3697700681938017
ACH-000231,-0.4026898990947057
ACH-000232,-0.27033502931714465
ACH-000233,-0.47066144363346296
ACH-000234,-0.7283266221534191
ACH-000235,-0.429381932449162
ACH-000237,-0.3892318141377717
ACH-000238,-0.416356051122856
ACH-000242,-0.2070769047751218
ACH-000243,-0.32304602025533835
ACH-000244,-0.5799448819200601
ACH-000246,-0.3785826808430709
ACH-000248,-0.35102903414052194
ACH-000250,-0.20120187845724344
ACH-000251,-0.29356920260697233
ACH-000252,-0.4522858845297553
ACH-000253,-0.4824936577300658
ACH-000255,-0.4728135950288013
ACH-000256,-0.27004021802501843
ACH-000257,-0.4594667702002636
ACH-000258,-0.4396548170717184
ACH-000259,-0.4205036499334031
ACH-000260,-0.3660319330741787
ACH-000261,-0.35110207101414026
ACH-000262,-0.1910336040591913
ACH-000263,-0.31184066026093177
ACH-000264,-0.3249626408349892
ACH-000265,-0.27851572234440897
ACH-000266,-0.5293065147840509
ACH-000272,-0.2558407699266192
ACH-000274,-0.4094856775377977
ACH-000277,-0.2499436001240555
ACH-000278,-0.5626050962265962
ACH-000279,-0.026806842704006264
ACH-000280,-0.2980547413398814
ACH-000281,-0.4104662337038731
ACH-000288,-0.25861579560228115
ACH-000291,-0.2727975362914533
ACH-000293,-0.5735111505043751
ACH-000294,-0.05643288762728053
ACH-000295,-0.15045570842314232
ACH-000296,-0.4028628365501178
ACH-000302,-0.13493232271035818
ACH-000304,-0.2362159746534445
ACH-000307,-0.5482924633823543
ACH-000308,-0.5223828285425012
ACH-000310,-0.1970817224995017
ACH-000311,-0.4383521878171964
ACH-000312,-0.3836482717066267
ACH-000315,-0.2450778233261244
ACH-000316,-0.14305316165511886
ACH-000317,-0.4011808030567189
ACH-000318,-0.29329011460677623
ACH-000319,-0.7970216825937596
ACH-000320,-0.22700478013375006
ACH-000322,-0.5150771550388386
ACH-000323,-0.4037371168846277
ACH-000324,-0.3274544612740842
ACH-000329,-0.24478534480507397
ACH-000330,-0.3932867368588925
ACH-000331,-0.4955142793447382
ACH-000332,-0.3901121724093076
ACH-000334,-0.2263291331165635
ACH-000335,-0.19918423934381527
ACH-000336,-0.4512604689372786
ACH-000337,-0.06138515092951768
ACH-000338,0.031700722228036826
ACH-000339,-0.26945089674755
ACH-000341,-0.2943368915761289
ACH-000348,-0.2929490283692344
ACH-000350,-0.3592572698628835
ACH-000352,-0.3613982259450644
