,ACHE (43)
ACH-000004,-0.14774008747147427
ACH-000005,-0.29072458583718713
ACH-000007,-0.17142793175529356
ACH-000009,-0.1133570797033278
ACH-000011,-0.0055520242465965965
ACH-000012,-0.18467345048400835
ACH-000013,-0.21537275075103254
ACH-000014,-0.293171462559676
ACH-000015,-0.15163278619013226
ACH-000017,-0.2399350884264565
ACH-000018,-0.1942078441649657
ACH-000019,-0.2528542605246786
ACH-000021,-0.3148769541405608
ACH-000022,-0.370221365806463
ACH-000025,-0.3552348131869832
ACH-000028,-0.3029850693427158
ACH-000030,-0.17488943797821474
ACH-000035,-0.27901708343603016
ACH-000036,-0.4120465771235362
ACH-000037,-0.3696086572010739
ACH-000039,-0.13882201328801608
ACH-000040,-0.2908584255099274
ACH-000041,-0.113243313885238
ACH-000042,-0.18219831407294176
ACH-000045,-0.12403663320387655
ACH-000047,-0.3896203300096169
ACH-000052,-0.4799521358128206
ACH-000053,-0.24527905020243776
ACH-000054,-0.1621268161021503
ACH-000055,-0.11102828220875667
ACH-000060,-0.15745853919310016
ACH-000067,-0.4190794827051276
ACH-000070,-0.13363338237813646
ACH-000075,-0.1490188703571836
ACH-000078,-0.33159810487568625
ACH-000082,-0.34650075016847603
ACH-000085,-0.15431899053754514
ACH-000086,0.028767249215645677
ACH-000087,-0.33338622999672235
ACH-000092,-0.2604349574552749
ACH-000095,-0.21769989834603407
ACH-000097,-0.2568427478976377
ACH-000098,-0.2150639943072472
ACH-000099,-0.2754239076187621
ACH-000108,-0.3370954496734752
ACH-000113,-0.001826448552608652
ACH-000116,-0.2187697205573966
ACH-000118,-0.22148322621387648
ACH-000120,-0.3721706259564223
ACH-000123,-0.2674306955632114
ACH-000127,-0.2197685909348258
ACH-000128,-0.3361415257843817
ACH-000132,-0.3240132263410943
ACH-000133,-0.11660328784435173
ACH-000137,-0.319660521944172
ACH-000138,-0.35513468777544344
ACH-000142,-0.30125418954981154
ACH-000143,-0.14508043295358927
ACH-000146,-0.11935668064329615
ACH-000148,-0.3955203629201529
ACH-000150,-0.22815697267818666
ACH-000152,-0.32006451910352385
ACH-000153,-0.14691453697357665
ACH-000159,-0.15783252747590024
ACH-000160,-0.2261368871045191
ACH-000163,-0.3629276582179127
ACH-000167,-0.3102219255028814
ACH-000168,-0.06805200881423247
ACH-000169,0.16256564028080614
ACH-000178,-0.2579871918007001
ACH-000183,-0.3405610718946862
ACH-000188,-0.11469774660709152
ACH-000189,-0.4718399599237736
ACH-000190,-0.26072244728679506
ACH-000198,-0.3111839435722995
ACH-000203,-0.01857150937581847
ACH-000204,-0.060750328509562634
ACH-000206,-0.097373418421507
ACH-000207,-0.14049671454909146
ACH-000208,-0.4921274509912453
ACH-000210,-0.9235054038515336
ACH-000211,-0.1382188575549358
