,PIGO (84720)
ACH-000004,-0.37342421249063
ACH-000005,-0.24983964652936674
ACH-000007,-0.2366328620715093
ACH-000009,-0.4641595324903158
ACH-000011,-0.3698547214542244
ACH-000012,-0.13435843529188654
ACH-000013,-0.2172693247542611
ACH-000014,-0.310780861653203
ACH-000015,-0.37799168604315697
ACH-000017,-0.2821532058634924
ACH-000018,-0.2255052187797233
ACH-000019,-0.18324769510413025
ACH-000021,-0.23634141884130105
ACH-000022,-0.24488792090060105
ACH-000025,-0.24061939465788446
ACH-000028,-0.21097461392463715
ACH-000030,-0.2998818306424009
ACH-000035,-0.3285878471015901
ACH-000036,-0.2638959939025645
ACH-000037,-0.29744022198432085
ACH-000039,-0.2908307641132474
ACH-000040,-0.35885073494169584
ACH-000041,-0.4350816042088943
ACH-000042,-0.2943268866872019
ACH-000045,-0.22013455521814354
ACH-000047,-0.46546239249533206
ACH-000052,-0.5255249731545361
ACH-000053,-0.1914625503620581
ACH-000054,-0.20706417913050704
ACH-000055,-0.37706313563731664
ACH-000060,-0.13676401039543598
ACH-000067,-0.25234943867588994
ACH-000070,-0.21867752117125225
ACH-000075,-0.3289611039883682
ACH-000078,-0.3831071619202425
ACH-000082,-0.2739344668188344
ACH-000085,-0.016910089842888085
ACH-000086,-0.2300192502289801
ACH-000087,-0.3740247799591725
ACH-000092,-0.40982787782339664
ACH-000095,-0.1846225289352864
ACH-000097,-0.19834281657385555
ACH-000098,-0.5710810207489044
ACH-000099,-0.4004770896047393
ACH-000108,-0.2525678361403482
ACH-000113,-0.18909845858192648
ACH-000116,-0.13944264951670945
ACH-000118,-0.2799396736823018
ACH-000120,-0.15795758269999838
ACH-000123,-0.34381137058910965
ACH-000127,-0.2494552605686136
ACH-000128,-0.32368684001835163
ACH-000132,-0.2495964737098075
ACH-000133,-0.22469142548517687
ACH-000137,-0.26903471780300525
ACH-000138,-0.32155357238919663
ACH-000142,-0.04742691659952414
ACH-000143,-0.4153109415306005
ACH-000146,-0.20796171876579095
ACH-000148,-0.4402123171956419
ACH-000150,-0.35015387457640823
ACH-000152,-0.2400643328769929
ACH-000153,-0.17550411492564244
ACH-000159,-0.3092899960894038
ACH-000160,-0.19745393190879995
ACH-000163,-0.41622610790360304
ACH-000167,-0.10960252837571513
ACH-000168,-0.3528483471541096
ACH-000169,-0.21960976197505075
ACH-000178,-0.2516964513390171
ACH-000183,-0.5527553975246183
ACH-000188,-0.3944549204567941
ACH-000189,-0.242832985786442
ACH-000190,-0.285254268686756
ACH-000198,-0.07805341903312353
ACH-000203,-0.5330414591570708
ACH-000204,-0.18317653978233456
ACH-000206,-0.6038602133771224
ACH-000207,-0.08209687743217771
ACH-000208,-0.22323774232690788
ACH-000210,-0.3984874536053302
ACH-000211,-0.19904268716459267
ACH-000215,-0.3710672214372214
ACH-000221,-0.19648739620395786
ACH-000222,-0.5026984405047792
ACH-000223,-0.19650091403193407
ACH-000226,-0.21761394498348235
ACH-000227,-0.2137148247402824
ACH-000228,-0.3549400697063883
ACH-000231,-0.3344153549329779
ACH-000232,-0.3669600827181971
ACH-000233,-0.2811269446018204
ACH-000234,-0.4351978952005645
ACH-000235,-0.2264636001233849
ACH-000237,-0.3553261889565186
ACH-000238,-0.3507840825574734
ACH-000242,-0.406991876553329
ACH-000243,-0.3056770334820403
ACH-000244,-0.4696512104283603
ACH-000246,-0.3292855367592081
ACH-000248,-0.10904408877171336
ACH-000250,-0.2731900200901975
ACH-000251,-0.2795994572578371
ACH-000252,-0.207771671176834
ACH-000253,-0.2040046838006247
ACH-000255,-0.2737630232622269
ACH-000256,-0.26724041496541073
ACH-000257,-0.3179403565215052
ACH-000258,-0.3822733899951785
ACH-000259,-0.1803879952653248
ACH-000260,-0.2141478497786032
ACH-000261,-0.3845070024600365
ACH-000262,-0.2354745404867157
ACH-000263,-0.1587465808853717
ACH-000264,-0.2684831656822853
ACH-000265,-0.3721681527561168
ACH-000266,-0.2646110152352825
ACH-000272,-0.44391538437562383
ACH-000274,-0.3886358556985578
ACH-000277,-0.3156388975494203
ACH-000278,-0.3161712961626297
ACH-000279,-0.04163328800222299
ACH-000280,-0.476217070915046
ACH-000281,-0.2528509410883101
ACH-000288,-0.17178820446066956
ACH-000291,-0.3401688866292216
ACH-000293,-0.1134263572266948
