,MTHFD2L (441024)
ACH-000004,-0.09836851794481018
ACH-000005,-0.36048663617940657
ACH-000007,-0.04914058531917048
ACH-000009,-0.039471676087053285
ACH-000011,-0.1093730040709312
ACH-000012,-0.28205977351141337
ACH-000013,-0.08602245932397773
ACH-000014,0.03206738490719863
ACH-000015,-0.09782982960790353
ACH-000017,-0.18247123878263907
ACH-000018,-0.12273216663181663
ACH-000019,0.005641552687265626
ACH-000021,-0.17582643131711154
ACH-000022,-0.2280432069551959
ACH-000025,-0.2396806122332383
ACH-000028,-0.1608827629751895
ACH-000030,-0.16352644349294987
ACH-000035,-0.06643412556611585
ACH-000036,-0.2089803770914344
ACH-000037,-0.1975908406148943
ACH-000039,-0.13025083842351834
ACH-000040,-0.0698119408989286
ACH-000041,-0.2532858815549853
ACH-000042,-0.14673294497027328
ACH-000045,-0.01926395912979585
ACH-000047,-0.26882657200123844
ACH-000052,-0.2547884280448881
ACH-000053,-0.10704987664660284
ACH-000054,-0.1858167425896433
ACH-000055,-0.17990480897288985
ACH-000060,-0.2106007131183572
ACH-000067,-0.23092104006302766
ACH-000070,-0.06965258169568607
ACH-000075,-0.26806995423177715
ACH-000078,-0.11317977313597695
ACH-000082,-0.11765565150300085
ACH-000085,-0.2508936853147499
ACH-000086,-0.21272128236765908
ACH-000087,-0.16491844233576025
ACH-000092,-0.2610114619314308
ACH-000095,-0.1742965942039758
ACH-000097,-0.1961386192392578
ACH-000098,-0.24879765060450176
ACH-000099,-0.15551577618963233
ACH-000108,-0.18550298071468288
ACH-000113,-0.11057260305155338
ACH-000116,-0.1492179345170067
ACH-000118,-0.1031787311932108
ACH-000120,0.05887346415459245
ACH-000123,-0.13022329432982466
ACH-000127,-0.17552678346318004
ACH-000128,-0.21875835741557745
ACH-000132,-0.2013572324791706
ACH-000133,-0.21592452104621812
ACH-000137,-0.22727278439258225
ACH-000138,-0.0459596297833596
ACH-000142,-0.25901312262366794
ACH-000143,-0.21761148676725914
ACH-000146,-0.04481970753743268
ACH-000148,-0.25693833635692914
ACH-000150,-0.057763805915029776
ACH-000152,-0.2820779191925559
ACH-000153,-0.13561819835964245
ACH-000159,-0.39368009569964185
ACH-000160,-0.2934159343612272
ACH-000163,-0.25223497084304525
ACH-000167,-0.45937766146381
ACH-000168,-0.15066115280104062
ACH-000169,-0.3054979152069831
ACH-000178,-0.14125470167164306
ACH-000183,-0.12756390477301052
ACH-000188,-0.2695415314593086
ACH-000189,-0.6299925110461365
ACH-000190,-0.06694722409143652
ACH-000198,-0.14253420688588453
ACH-000203,0.6038217875707375
ACH-000204,-0.29023087180720597
ACH-000206,-0.3817391543673222
ACH-000207,-0.08446963912594399
ACH-000208,0.016076212726533118
ACH-000210,-0.08332421377013799
ACH-000211,-0.19295058161803785
ACH-000215,-0.21023455169472735
ACH-000221,-0.1438298479933836
ACH-000222,-0.3228058372542786
ACH-000223,-0.1858074709541
ACH-000226,-0.26983534714856433
ACH-000227,-0.16936546721413975
ACH-000228,-0.3030636688371155
ACH-000231,-0.22607902484408604
ACH-000232,-0.2121468382236768
ACH-000233,-0.12306547080632615
ACH-000234,-0.052569195481838894
ACH-000235,-0.21094045304189055
ACH-000237,-0.26030130733801915
ACH-000238,-0.18440496284311803
ACH-000242,0.11523340987850082
ACH-000243,-0.1280130503880699
ACH-000244,-0.1556976852088724
ACH-000246,-0.09811954188328713
ACH-000248,-0.21423943284630972
ACH-000250,-0.07676188734768605
ACH-000251,-0.3101812872114925
ACH-000252,-0.4078798129113063
ACH-000253,-0.3073252895705688
ACH-000255,-0.2233234377731788
ACH-000256,-0.11287733934269838
ACH-000257,-0.14419427136196988
ACH-000258,-0.13583605304227134
ACH-000259,-0.18528840017393527
ACH-000260,-0.14530069042215935
ACH-000261,-0.12257879269474582
ACH-000262,-0.10627251469286966
ACH-000263,-0.004154674260491094
ACH-000264,-0.23696987141095374
ACH-000265,-0.26718049734415544
ACH-000266,-0.1236650273571949
ACH-000272,-0.1977970148483437
ACH-000274,-0.10837502688001703
ACH-000277,-0.07716196399179162
ACH-000278,-0.15499268964445334
ACH-000279,-0.157897588959001
ACH-000280,-0.14765335618274106
ACH-000281,-0.29013460076595393
ACH-000288,-0.06418573346671849
ACH-000291,-0.0849463675926516
ACH-000293,-0.22019660280286926
ACH-000294,-0.2369852598798343
ACH-000295,-0.345350968230258
ACH-000296,-0.26564272598576705
ACH-000302,-0.2850655492369585
ACH-000304,-0.2328054950133964
ACH-000307,-0.09091314655503407
ACH-000308,-0.1953507603937856
ACH-000310,-0.21146656241646825
ACH-000311,-0.322032009499652
ACH-000312,-0.07037528380156755
ACH-000315,-0.3592298904157585
ACH-000316,-0.07807776952892223
ACH-000317,-0.20800556082049748
ACH-000318,-0.33413357797802096
ACH-000319,-0.20544444865192973
ACH-000320,-0.09145862525072113
ACH-000322,-0.4184687078709831
ACH-000323,-0.2015704638869482
ACH-000324,-0.16009306008502702
ACH-000329,-0.18122568509021705
ACH-000330,-0.19864363664239235
ACH-000331,-0.006778416930166513
ACH-000332,-0.17629559442621992
ACH-000334,-0.17823305082501134
ACH-000335,-0.3593254313621644
ACH-000336,-0.11708780408652045
ACH-000337,-0.3804828895531956
ACH-000338,-0.3677807689106165
ACH-000339,-0.11957979754558196
ACH-000341,-0.13562859272176198
ACH-000348,-0.30082129743184544
ACH-000350,-0.007143488125238085
ACH-000352,-0.028916797372602186
ACH-000356,-0.1641486173771625
ACH-000361,-0.09473039678364674
ACH-000362,-0.10376388372333377
ACH-000363,-0.06866535869321269
ACH-000364,-0.3365665763491179
ACH-000365,-0.21694099493715432
ACH-000366,-0.11590271868353455
ACH-000368,-0.2783251362960643
ACH-000374,-0.0914019248317012
ACH-000375,-0.20249881231028488
ACH-000376,-0.22947892108489226
ACH-000381,-0.16542044732553646
ACH-000383,-0.1601592471824217
ACH-000387,-0.22082510681269396
ACH-000389,0.13501778293728067
ACH-000390,-0.2540122678971071
ACH-000393,-0.07817044999774309
ACH-000395,-0.21375518260446652
ACH-000396,-0.4700079211927712
ACH-000397,-0.04753534348382326
ACH-000401,-0.2565530819803909
ACH-000402,-0.3194113436930298
ACH-000403,-0.2537478753604893
ACH-000404,0.014924139737637138
