,RANGAP1 (5905)
ACH-000004,-0.9151692537279728
ACH-000005,-0.6852337276530805
ACH-000007,-0.7205420394215335
ACH-000009,-0.7105491390709154
ACH-000011,-0.4708662793948138
ACH-000012,-1.0106522421710922
ACH-000013,-0.9033643797272188
ACH-000014,-0.8619005737522775
ACH-000015,-0.7072634335388465
ACH-000017,-0.9244794374950916
ACH-000018,-0.7875392671645087
ACH-000019,-0.8368231625143047
ACH-000021,-0.8582977519152877
ACH-000022,-0.6132456563188986
ACH-000025,-0.7875447585194769
ACH-000028,-0.7471502810740367
ACH-000030,-1.0200645536207358
ACH-000035,-0.9495170468517484
ACH-000036,-0.7247093507002124
ACH-000037,-0.29194402267972697
ACH-000039,-0.7001548679192039
ACH-000040,-0.6437861107519609
ACH-000041,-0.7751843022284629
ACH-000042,-0.7450452695811564
ACH-000045,-0.6411986176921909
ACH-000047,-0.6844692077126123
ACH-000052,-0.7696446291887555
ACH-000053,-0.8004785179507649
ACH-000054,-0.5598684596367031
ACH-000055,-0.6585638593851502
ACH-000060,-0.9562594542899984
ACH-000067,-0.9241526676281464
ACH-000070,-0.8838070935404898
ACH-000075,-0.8525011827649941
ACH-000078,-0.5702848396788863
ACH-000082,-0.6976074766789443
ACH-000085,-0.812824923861101
ACH-000086,-0.8746926518165282
ACH-000087,-0.5226124914635357
ACH-000092,-0.8013670408199652
ACH-000095,-0.6986955770172522
ACH-000097,-0.9336261624701884
ACH-000098,-1.0055451033331435
ACH-000099,-0.5816861371705845
ACH-000108,-0.9375799150727008
ACH-000113,-0.6692455186209042
ACH-000116,-0.7196185482563071
ACH-000118,-0.8812423621650904
ACH-000120,-0.6247771644796225
ACH-000123,-0.6919377460925303
ACH-000127,-0.7439018286362147
ACH-000128,-0.8147352444185741
ACH-000132,-0.8447340499202589
ACH-000133,-0.8925917290807304
ACH-000137,-0.9420034379467648
ACH-000138,-0.7393450898791053
ACH-000142,-0.7932155388115332
ACH-000143,-0.6289433446476217
ACH-000146,-0.8624327085864214
ACH-000148,-0.6263051580373704
ACH-000150,-0.7347464690341352
