,PSMF1 (9491)
ACH-000004,-0.7687042888695841
ACH-000005,-0.4833303691897717
ACH-000007,-0.024907274894857608
ACH-000009,-0.014344918484110515
ACH-000011,-0.12820929831234731
ACH-000012,-0.2051196695483509
ACH-000013,-0.1708551925920732
ACH-000014,-0.07942617088500517
ACH-000015,-0.2994034388140684
ACH-000017,-0.3675377886494281
ACH-000018,-0.25722338031126035
ACH-000019,-0.2464527187032249
ACH-000021,-0.2474607935303407
ACH-000022,-0.04478980889860179
ACH-000025,-0.19518878183608604
ACH-000028,-0.34974701911506845
ACH-000030,-0.19757857254343208
ACH-000035,-0.14886746530610911
ACH-000036,-0.2331002812319021
ACH-000037,-0.27823031619688776
ACH-000039,-0.5185087326231166
ACH-000040,-0.03024915003025087
ACH-000041,-0.1721541942114055
ACH-000042,-0.5141141335171379
ACH-000045,-0.12824222102524133
ACH-000047,-0.3410896745951659
ACH-000052,-0.16926538897460716
ACH-000053,0.0007338022544721709
ACH-000054,-0.31775695352467104
ACH-000055,-0.5482019766545148
ACH-000060,-0.3532265793559322
ACH-000067,-0.19071207685468686
ACH-000070,-0.3969078583063145
ACH-000075,-0.1858973994709496
ACH-000078,-0.2657468755215702
ACH-000082,-0.5025909542859099
ACH-000085,-0.5590852955214877
ACH-000086,-0.004929662854962035
ACH-000087,-0.30504483620641465
ACH-000092,-0.3602947211498457
ACH-000095,-0.4585806029203766
ACH-000097,-0.4612080156258964
ACH-000098,0.08807734132514795
ACH-000099,-0.5398010767348365
ACH-000108,-0.1290809385035085
ACH-000113,-0.2679294730059251
ACH-000116,-0.2100526306941826
ACH-000118,-0.07068568442432475
ACH-000120,-0.5130748582163567
ACH-000123,-0.2839034411447188
ACH-000127,-0.14542417814292286
ACH-000128,-0.19180463312958546
ACH-000132,0.07876312259008518
ACH-000133,-0.13913622449209342
ACH-000137,-0.07443053178929765
ACH-000138,-0.2219855920286416
ACH-000142,0.0003735239612699324
ACH-000143,-0.22974260287736736
ACH-000146,-0.3508464188768359
ACH-000148,-0.1773364364155825
ACH-000150,-0.2907911601857477
ACH-000152,-0.2600642341993935
ACH-000153,-0.2344164582938984
ACH-000159,-0.2069686296501946
ACH-000160,-0.2309246869342496
ACH-000163,-0.12912557208798192
ACH-000167,1.148415667549744
ACH-000168,-0.6056784896758062
ACH-000169,-0.13471028205811042
ACH-000178,-0.18940924826280156
ACH-000183,-0.12069204963381318
ACH-000188,-0.38694055241493497
ACH-000189,-0.4564129906807414
ACH-000190,-0.3137249339501161
ACH-000198,-0.4585259631238538
ACH-000203,-0.6446736576070947
ACH-000204,-0.3808871847893549
ACH-000206,-0.2894792801016262
ACH-000207,-0.29081383904580665
ACH-000208,-0.1616296459867431
ACH-000210,-0.2588025777610071
ACH-000211,-0.3073792606558459
ACH-000215,0.011000965609041857
ACH-000221,-0.31772500164231776
ACH-000222,-0.13338410459627606
ACH-000223,-0.1802922931289152
ACH-000226,-0.6103001080377674
ACH-000227,-0.2490212125495841
ACH-000228,0.008282025581090403
ACH-000231,-0.8883753751978297
ACH-000232,0.08738423888402022
ACH-000233,-0.4434912607540006
ACH-000234,-0.1173956415893704
ACH-000235,-0.3527204609881455
ACH-000237,-0.3836055565056695
ACH-000238,-0.5854064458785235
ACH-000242,-0.6564601535298885
ACH-000243,-0.26012446744063233
ACH-000244,-0.2922356808357466
ACH-000246,-0.3539011243888436
ACH-000248,-0.3228937204135041
ACH-000250,-0.3490790807287428
ACH-000251,-0.6992242148312727
ACH-000252,-0.3169478914396585
ACH-000253,-0.3710463137843733
ACH-000255,-0.09196293246352256
ACH-000256,-0.3014102819885605
ACH-000257,-0.7334504806862313
ACH-000258,-0.8249921350288029
ACH-000259,-0.7510186860547081
ACH-000260,-0.06497609058972686
ACH-000261,-0.245501959863438
ACH-000262,0.04290184918512136
ACH-000263,-0.1876487502116088
ACH-000264,-0.2145045631686967
ACH-000265,0.18782732990928114
ACH-000266,-0.4798116243376214
ACH-000272,-0.1568043716638207
ACH-000274,-0.14759138386509138
ACH-000277,-0.1611376546016496
ACH-000278,-0.14222252299550167
ACH-000279,-0.08877459125498757
ACH-000280,-0.4256220528337339
ACH-000281,-0.14745019440093474
ACH-000288,-0.1452494738945716
ACH-000291,-0.14192776499544035
ACH-000293,-0.037111234730997984
ACH-000294,-0.5010623947284757
ACH-000295,-0.551226701919007
ACH-000296,-0.15983646165301904
ACH-000302,-0.6546289610365555
ACH-000304,-0.18261821732240494
ACH-000307,-0.2903885574022056
ACH-000308,-0.2729109470687857
ACH-000310,-0.5851075906370344
ACH-000311,-0.2870659877655754
ACH-000312,-0.5397009329335306
ACH-000315,-0.3825265379249985
ACH-000316,-0.3421332162693261
ACH-000317,0.004932033829119497
ACH-000318,-0.06745043708281746
ACH-000319,-0.07704943893934857
ACH-000320,0.015302241575310562
ACH-000322,-0.16187985254230006
ACH-000323,0.22378793090983
ACH-000324,-0.11884342235540435
ACH-000329,-0.1493673087992166
ACH-000330,-0.2414820733725584
ACH-000331,0.009145824048401807
ACH-000332,-0.2574909935864983
ACH-000334,-0.2260117248848935
ACH-000335,-0.6780109148097289
ACH-000336,-0.473626617327645
ACH-000337,-0.19435759087218907
ACH-000338,-0.1204170708110999
ACH-000339,-0.2353960007996437
ACH-000341,0.13748217811443866
ACH-000348,-0.225682854192948
ACH-000350,-0.23778335590095964
ACH-000352,-0.2787226437568724
ACH-000356,-0.21262604300609605
ACH-000361,-0.6491776001733855
ACH-000362,-0.4485140795398544
ACH-000363,-0.3242390886823753
ACH-000364,0.1246228537783793
ACH-000365,-0.3174783644247529
ACH-000366,-0.2352560201612343
ACH-000368,-0.1621278475909928
ACH-000374,-0.26790069397098193
ACH-000375,-0.4019126929716
ACH-000376,-0.18258505807364425
ACH-000381,-0.2041631259237969
ACH-000383,-0.2289681193805454
ACH-000387,-0.14888616992587264
ACH-000389,-0.22300483134809296
ACH-000390,-0.23655250221898635
ACH-000393,-0.2134974493490836
ACH-000395,-0.12865790688091602
ACH-000396,-0.08825359560032221
ACH-000397,-0.3232351759042696
ACH-000401,-0.2976679497190999
ACH-000402,-0.38255867217680795
ACH-000403,-0.238724910424032
ACH-000404,-0.39021348167884906
ACH-000406,-0.1899988554858547
ACH-000407,-0.328105920191328
ACH-000408,-0.2936002240087587
ACH-000410,-0.3789399745314045
ACH-000411,-0.12158387825847733
ACH-000414,-0.7568966205536978
ACH-000415,-0.2722504829235109
ACH-000416,0.02108653358217015
ACH-000420,-0.2889750173568785
ACH-000421,-0.23641434203405634
ACH-000424,-0.05825492183176247
ACH-000425,-0.19191933709579864
ACH-000426,-1.3721338001080692
ACH-000427,-0.3814872549001386
ACH-000433,-0.3225814345581993
ACH-000435,-0.5607189891964949
ACH-000436,-0.37112459862029
ACH-000444,-0.9674077155304855
ACH-000445,-0.01928412585222343
ACH-000448,-0.4639425577006597
