,YBEY (54059)
ACH-000004,-0.1456263265595937
ACH-000005,-0.08818989292137858
ACH-000007,-0.17232705360772949
ACH-000009,-0.13159222941853954
ACH-000011,-0.026182599752751418
ACH-000012,-0.16274478133080958
ACH-000013,-0.3307529274844073
ACH-000014,-0.07338548374730564
ACH-000015,-0.18752382073957502
ACH-000017,-0.1056946259314564
ACH-000018,-0.045561689839967286
ACH-000019,-0.3402973487875404
ACH-000021,-0.14786204345463028
ACH-000022,-0.13470470365010093
ACH-000025,-0.2136112583764737
ACH-000028,-0.28603052416534896
ACH-000030,-0.061012706399733864
ACH-000035,-0.19412862674395706
ACH-000036,-0.09549409228533956
ACH-000037,-0.27875904227783666
ACH-000039,0.0515324839407852
ACH-000040,-0.16395859059344775
ACH-000041,0.041792455125608884
ACH-000042,-0.09407026943060044
ACH-000045,-0.2917351193351046
ACH-000047,-0.17422032246915115
ACH-000052,-0.04455498309735606
ACH-000053,-0.10069243934944576
ACH-000054,0.0029932484947681505
ACH-000055,-0.20493042840814507
ACH-000060,-0.17930016025117454
ACH-000067,-0.03764485738716567
ACH-000070,-0.22884966515733746
ACH-000075,-0.22239248473363732
ACH-000078,-0.12717087452015904
ACH-000082,-0.17122549226539446
ACH-000085,-0.08546662480756476
ACH-000086,-0.26961247489831675
ACH-000087,-0.30280240070850056
ACH-000092,-0.09172917006008448
ACH-000095,0.010809874524184115
ACH-000097,-0.11851005459760999
ACH-000098,-0.15146365828510522
ACH-000099,-0.12748609525267734
ACH-000108,-0.2331196513283505
ACH-000113,-0.40747879232505
ACH-000116,-0.3012918833449421
ACH-000118,-0.3824651572656704
ACH-000120,-0.13373809407818693
ACH-000123,-0.08599376615236845
ACH-000127,-0.13307004412876144
ACH-000128,-0.0027171866657456035
ACH-000132,-0.17320819214535418
ACH-000133,-0.04370688406958149
ACH-000137,-0.10436718701638986
ACH-000138,-0.060581709628963275
ACH-000142,0.012227338348101146
ACH-000143,-0.15855159754400094
ACH-000146,-0.06543592957468562
ACH-000148,-0.14051526138407852
ACH-000150,-0.37553607330643024
ACH-000152,-0.21250753179983636
ACH-000153,-0.0102030289843986
ACH-000159,-0.07414257034537397
ACH-000160,-0.3507156459237545
ACH-000163,-0.05674216402920241
ACH-000167,-0.015555010235231568
ACH-000168,0.018449739030011045
ACH-000169,-0.09814915214770256
ACH-000178,-0.21233006741091312
ACH-000183,-0.02790118216479144
ACH-000188,0.0020094890450475925
ACH-000189,-0.2491047102957885
ACH-000190,-0.11773246849043872
ACH-000198,-0.4718907677047456
ACH-000203,-0.30930782289107894
ACH-000204,-0.19194185316159276
ACH-000206,-0.06243375415550929
ACH-000207,-0.34407712140431745
ACH-000208,-0.04836936758466456
ACH-000210,0.08275198781298754
ACH-000211,-0.13130777141734093
ACH-000215,-0.1488486298621743
ACH-000221,-0.14509802770540134
ACH-000222,-0.18068656736784744
ACH-000223,-0.2641489962889953
ACH-000226,-0.1490882863425171
ACH-000227,-0.31702467454605904
ACH-000228,-0.12115767614374648
ACH-000231,-0.06670334961153934
ACH-000232,-0.2123478746543961
ACH-000233,-0.2176328825820026
ACH-000234,-0.1596498748813091
ACH-000235,-0.08943858615863741
ACH-000237,0.02060436074574841
ACH-000238,-0.3433837721101581
ACH-000242,0.07622790342449118
ACH-000243,-0.17639883020476085
ACH-000244,-0.3512840061500831
ACH-000246,-0.16083220926891026
ACH-000248,-0.21222867664028108
ACH-000250,-0.057767026468208936
ACH-000251,-0.15317343231154346
ACH-000252,-0.0202634033944267
ACH-000253,-0.20874327680014867
ACH-000255,-0.18182991261855785
ACH-000256,-0.1946514751162936
ACH-000257,-0.19285781175929212
ACH-000258,-0.22758383691678905
ACH-000259,-0.3191911519772269
ACH-000260,-0.023667014595185148
ACH-000261,-0.05812184079680841
ACH-000262,0.07766214953478064
ACH-000263,-0.053667573012566375
ACH-000264,-0.1400010968703587
ACH-000265,-0.5216306850993263
ACH-000266,-0.19413963059886785
ACH-000272,-0.06968052892502427
ACH-000274,-0.19716601987014196
ACH-000277,-0.024775136565727003
ACH-000278,-0.007206141324532685
ACH-000279,-0.22075245734957807
ACH-000280,-0.11395979421183974
ACH-000281,-0.2707381965453917
ACH-000288,-0.22040314843886386
ACH-000291,-0.2814222901302901
ACH-000293,-0.1038149975882322
