,SNAP23 (8773)
ACH-000004,-0.8630196922724227
ACH-000005,-1.0555655378671314
ACH-000007,-0.8924619496953291
ACH-000009,-0.8152768031739664
ACH-000011,-0.9097898178291248
ACH-000012,-0.9520051192291202
ACH-000013,-1.088440253317361
ACH-000014,-0.23888210675344726
ACH-000015,-0.2652448166465334
ACH-000017,-0.863693210352185
ACH-000018,-0.5346555147975238
ACH-000019,-0.4413337132347586
ACH-000021,-0.17294414370764036
ACH-000022,-1.220858598424345
ACH-000025,-0.7895538484402058
ACH-000028,-0.3767430909426365
ACH-000030,-1.255733440504451
ACH-000035,-0.5489675879306591
ACH-000036,-0.17078837350973305
ACH-000037,-0.4033289696925551
ACH-000039,-0.281980497626105
ACH-000040,-0.3237910102001085
ACH-000041,-0.09502141278112416
ACH-000042,-0.6631511835049129
ACH-000045,-0.09857354541192052
ACH-000047,-0.2604024331940531
ACH-000052,-0.3226944525950627
ACH-000053,-1.1034551761356362
ACH-000054,-0.6355957491082843
ACH-000055,-0.8279565554066375
ACH-000060,-0.8034095421272209
ACH-000067,-0.12149285042269438
ACH-000070,-0.9722124388884072
ACH-000075,-0.32215859507708033
ACH-000078,-0.10699025721642573
ACH-000082,-0.17394055603286082
ACH-000085,-0.9476010755879248
ACH-000086,-1.1287123109973043
ACH-000087,-0.043618337978327766
ACH-000092,-1.2606706916831871
ACH-000095,-0.42403208417951743
ACH-000097,-0.18754184266572194
ACH-000098,-0.3995587997441768
ACH-000099,-0.007435639623627682
ACH-000108,-0.3247375015782635
ACH-000113,-0.5985396434702593
ACH-000116,-1.2122466698400785
ACH-000118,-0.5747939188307873
ACH-000120,-0.3845120188177216
ACH-000123,-0.7870211849563065
ACH-000127,-0.5397970452817678
ACH-000128,-0.4705316775461924
ACH-000132,-0.3538906770683494
ACH-000133,-0.9460780068608484
ACH-000137,-0.3322042397740797
ACH-000138,-0.3895604831344087
ACH-000142,-0.8549338385194968
ACH-000143,-0.09381086330208628
ACH-000146,-0.3297107756369055
