,GOLGA8N (643699)
ACH-000004,-0.27168762625534626
ACH-000005,-0.636298511460872
ACH-000007,-0.34565954542032656
ACH-000009,-0.44957318276939584
ACH-000011,-0.3979024801742788
ACH-000012,-0.46103270247839795
ACH-000013,-0.3748896271411778
ACH-000014,-0.4842056773751055
ACH-000015,-0.4740610738753296
ACH-000017,-0.2591809291136806
ACH-000018,-0.3553616240981916
ACH-000019,-0.2694940399627155
ACH-000021,-0.4645912439915163
ACH-000022,-0.2981867036095081
ACH-000025,-0.3223214816951176
ACH-000028,-0.3006431423263761
ACH-000030,-0.3656300422830235
ACH-000035,-0.2894363228837466
ACH-000036,-0.5928787280470821
ACH-000037,-0.2624442197849
ACH-000039,-0.30207682488052057
ACH-000040,-0.2846235042108628
ACH-000041,-0.3384658629566753
ACH-000042,-0.4545947967744123
ACH-000045,-0.2496893428872564
ACH-000047,-0.39006754517902376
ACH-000052,-0.18706359116205615
ACH-000053,-0.32897927184829234
ACH-000054,-0.33622404783237697
ACH-000055,-0.1901847764502768
ACH-000060,-0.2139822159532725
ACH-000067,-0.3705050221013204
ACH-000070,-0.35583301250825644
ACH-000075,-0.6132980001884489
ACH-000078,-0.3122400616452234
ACH-000082,-0.3103253678458945
ACH-000085,-0.16475177113625555
ACH-000086,-0.4626817057814731
ACH-000087,-0.17106035004361042
ACH-000092,-0.37110871241838267
ACH-000095,-0.380731304380568
ACH-000097,-0.4099215382110088
ACH-000098,-0.36898241217536826
ACH-000099,-0.3015839783117146
ACH-000108,-0.4095520964623338
ACH-000113,-0.4792037454135008
ACH-000116,-0.40648921061002297
ACH-000118,-0.2958223342362623
ACH-000120,-0.3942822785716901
ACH-000123,-0.2136304101245549
ACH-000127,-0.38610147799344413
ACH-000128,-0.410075696187826
ACH-000132,-0.4766926497124398
ACH-000133,-0.3832240764848348
ACH-000137,-0.2282451908890947
ACH-000138,-0.32356984018194
ACH-000142,-0.2465048972640909
ACH-000143,-0.3113620851539913
ACH-000146,-0.33033352800686056
ACH-000148,-0.3014730791461357
ACH-000150,-0.3238186843826815
ACH-000152,-0.22396671464081888
ACH-000153,-0.31664065877184994
ACH-000159,-0.4072289280336335
ACH-000160,-0.4574331322209137
ACH-000163,-0.17738096637763345
ACH-000167,-0.04050614409674586
ACH-000168,-0.2883788086393761
ACH-000169,-0.3957691257616513
ACH-000178,-0.4485838650214766
ACH-000183,-0.516647940290339
ACH-000188,-0.3272318464279064
ACH-000189,-0.4627814876088097
ACH-000190,-0.3883965326676844
ACH-000198,-0.4918297512176502
ACH-000203,-0.6069346939844067
ACH-000204,-0.3135497303789653
ACH-000206,-0.07012090444503652
ACH-000207,-0.4802058205967673
ACH-000208,-0.3484178330655372
ACH-000210,-0.34543566779413537
ACH-000211,-0.4692624556023461
ACH-000215,-0.2984847311843744
ACH-000221,-0.3189126299346243
ACH-000222,-0.4124323387162638
ACH-000223,-0.43711046202387294
ACH-000226,-0.23199649848715675
ACH-000227,-0.3615915995505592
ACH-000228,-0.2662420155642309
ACH-000231,-0.23894195811975374
ACH-000232,-0.37484175391636826
ACH-000233,-0.4022696421967267
ACH-000234,-0.3355990385378013
ACH-000235,-0.3932484211324692
ACH-000237,-0.2698472550287819
ACH-000238,-0.3703415891743298
ACH-000242,-0.2593254051171359
ACH-000243,-0.3753591806318371
ACH-000244,-0.27977701432956603
ACH-000246,-0.3762700453411164
ACH-000248,-0.3685073914034257
ACH-000250,-0.27860557898357863
ACH-000251,-0.3465930691444663
ACH-000252,-0.5455612320481101
ACH-000253,-0.3550134598719995
ACH-000255,-0.35032033104747506
ACH-000256,-0.2836889491765571
ACH-000257,-0.33637388313682376
ACH-000258,-0.4194779187979585
ACH-000259,-0.1976907253264546
ACH-000260,-0.30315402327680435
ACH-000261,-0.3931806602773383
ACH-000262,-0.3813523300524319
ACH-000263,-0.797634044607995
ACH-000264,-0.3485538772338404
ACH-000265,-0.3806424528717606
ACH-000266,-0.4971256721047878
ACH-000272,-0.4568834492975872
ACH-000274,-0.5672942538090164
ACH-000277,-0.35092842330008484
ACH-000278,-0.404115154021269
ACH-000279,-0.4491666562904009
ACH-000280,-0.34155967036057777
ACH-000281,-0.3841864043758772
ACH-000288,-0.4245004244938064
ACH-000291,-0.3424322994658203
ACH-000293,-0.2495843631063373
ACH-000294,-0.4983288822738096
ACH-000295,-0.5702523825089978
ACH-000296,-0.43950082972466137
ACH-000302,-0.38198257349181697
ACH-000304,-0.2735821590000769
ACH-000307,-0.46438958791742296
ACH-000308,-0.3238101336413709
ACH-000310,-0.27284980704666195
ACH-000311,-0.2656023615903557
ACH-000312,-0.34356871890594565
ACH-000315,-0.2483106504951056
ACH-000316,-0.535079277282393
ACH-000317,-0.4580133151573589
ACH-000318,-0.4585833739595132
ACH-000319,-0.3588234217079022
ACH-000320,-0.4202924413277306
ACH-000322,-0.28571188189301344
ACH-000323,-0.5021708265961057
ACH-000324,-0.4393107224147237
ACH-000329,-0.38559333939287416
ACH-000330,-0.2553616689606669
ACH-000331,-0.34959721672142563
ACH-000332,-0.2401572420637147
ACH-000334,0.11494826874658867
ACH-000335,-0.2473248282826288
ACH-000336,-0.4649025685459353
ACH-000337,-0.3760522780052885
ACH-000338,-0.3399950283707269
ACH-000339,-0.3680819135860977
ACH-000341,-0.2050781503560396
ACH-000348,-0.2632430191722308
ACH-000350,-0.2660607292415288
ACH-000352,-0.3201643788273688
ACH-000356,-0.3098549219658795
ACH-000361,-0.5137847782208567
ACH-000362,-0.412849035310011
ACH-000363,-0.2909094294764959
ACH-000364,-0.4355544160393625
ACH-000365,-0.35839952495185745
