,VAT1 (10493)
ACH-000004,-0.044792133371537486
ACH-000005,-0.31591094305369155
ACH-000007,-0.05477628911553264
ACH-000009,-0.2706752866191948
ACH-000011,-0.3143495935401039
ACH-000012,-0.3464884059404192
ACH-000013,-0.06766484773563161
ACH-000014,-0.14344943208382496
ACH-000015,-0.16551969817809628
ACH-000017,-0.24270057180756754
ACH-000018,-0.14252840259711108
ACH-000019,-0.1524203795106941
ACH-000021,-0.11926426750946985
ACH-000022,-0.108289596299435
ACH-000025,-0.16501790312538145
ACH-000028,-0.1988251112539256
ACH-000030,-0.15345082948138725
ACH-000035,-0.4019536157510896
ACH-000036,-0.1606428798658766
ACH-000037,-0.07705222269546136
ACH-000039,0.027592065746280484
ACH-000040,-0.3482085645299809
ACH-000041,-0.17001050373512702
ACH-000042,-0.08427641551870947
ACH-000045,-0.2735802519996136
ACH-000047,-0.24331959525078356
ACH-000052,-0.1434469622568933
ACH-000053,-0.1643358537035661
ACH-000054,-0.18273204586138336
ACH-000055,-0.2658028783209775
ACH-000060,-0.2535753221378205
ACH-000067,-0.3752619389752527
ACH-000070,-0.2001465640076834
ACH-000075,-0.1351512902249709
ACH-000078,-0.14235607220700644
ACH-000082,-0.2650050932535672
ACH-000085,-0.20999523759019464
ACH-000086,-0.3180145773773799
ACH-000087,-0.0009139341442986783
ACH-000092,-0.13456809774951364
ACH-000095,-0.14273824299340535
ACH-000097,-0.19476808267132914
ACH-000098,-0.2445721099703767
ACH-000099,-0.09451296615775903
ACH-000108,-0.06602776494563617
ACH-000113,-0.18114830189262845
ACH-000116,-0.2025523448178668
ACH-000118,-0.15723646636396876
ACH-000120,-0.12694772252080333
ACH-000123,-0.208170316854029
ACH-000127,-0.1826828581332229
ACH-000128,-0.10679449531270846
ACH-000132,-0.40949883527239184
ACH-000133,-0.1823916929231689
ACH-000137,-0.17364591520938494
ACH-000138,-0.18511113884069874
ACH-000142,-0.23560038064743435
ACH-000143,-0.2539455347138212
ACH-000146,-0.029679033918919587
ACH-000148,-0.17412793063434456
ACH-000150,-0.13619959759359096
ACH-000152,-0.1693758678222939
ACH-000153,-0.2962024756983584
ACH-000159,-0.17420658059454114
ACH-000160,-0.2831916586285729
ACH-000163,-0.35287658056492244
ACH-000167,0.0205462821775096
ACH-000168,-0.11818313665234664
ACH-000169,-0.13981570227184398
ACH-000178,-0.1457878911243501
ACH-000183,-0.14372378629611834
ACH-000188,-0.20793028326882404
ACH-000189,-0.29772871409325785
ACH-000190,-0.18013266660126215
ACH-000198,-0.155038389409026
ACH-000203,-0.13684899648146595
ACH-000204,-0.280293628393128
ACH-000206,-0.4666813358225495
ACH-000207,-0.056399780696832415
ACH-000208,-0.2914474623116246
ACH-000210,-0.2164019480044513
ACH-000211,-0.11113293095238426
ACH-000215,-0.14172676749725588
ACH-000221,-0.10552129758691538
ACH-000222,0.12640370253717131
ACH-000223,-0.1976308815017044
ACH-000226,-0.2840248497104777
ACH-000227,-0.18035595000018068
ACH-000228,-0.2656726883357477
ACH-000231,-0.1856710090356329
ACH-000232,-0.10560713840140888
ACH-000233,-0.02079911996350989
ACH-000234,-0.4012249838489759
ACH-000235,-0.07068689254561278
ACH-000237,-0.22864720444540465
ACH-000238,-0.17451419648652036
ACH-000242,-0.11684918397679088
ACH-000243,-0.19950018369263
ACH-000244,-0.04813563896267823
ACH-000246,-0.2480496350363041
ACH-000248,-0.29143415367598263
ACH-000250,-0.2546400404857869
ACH-000251,-0.26136794084557
ACH-000252,0.012008912994236669
ACH-000253,-0.2001644843758654
ACH-000255,-0.29106229402506056
ACH-000256,-0.11268234443275932
ACH-000257,-0.017834547073431482
ACH-000258,0.1078754446758013
ACH-000259,-0.28719132776506834
ACH-000260,-0.14857608392076807
ACH-000261,-0.095757901341741
ACH-000262,-0.15381529257866733
ACH-000263,-0.12999804741067902
ACH-000264,-0.2589934525945849
ACH-000265,-0.2537150965883592
ACH-000266,-0.12136252115605388
ACH-000272,-0.18257883823038787
ACH-000274,-0.18484216389979796
ACH-000277,-0.07621235841640538
ACH-000278,-0.10204414680683536
ACH-000279,-0.08221345701900433
ACH-000280,-0.07708501446655276
ACH-000281,-0.02049767197084939
ACH-000288,-0.3131069696219671
ACH-000291,-0.10308708002331918
ACH-000293,-0.16053049175349102
ACH-000294,-0.26499208889831577
ACH-000295,-0.09797198109104284
ACH-000296,-0.048251258896885835
ACH-000302,-0.1592511880137425
ACH-000304,0.023661747654252486
