,TNRC6C (57690)
ACH-000004,-0.12807797035315407
ACH-000005,-0.18924908205656155
ACH-000007,0.03643234810816647
ACH-000009,-0.03515356797933953
ACH-000011,0.013893010803670629
ACH-000012,-0.11721281192221646
ACH-000013,-0.01139411576150538
ACH-000014,-0.0411313617154575
ACH-000015,-0.01878994332677344
ACH-000017,-0.002647069637811795
ACH-000018,-0.12538090656768747
ACH-000019,-0.01807809395378213
ACH-000021,-0.07777730356834896
ACH-000022,-0.07472605575964315
ACH-000025,0.10507680552511264
ACH-000028,0.0603442725710126
ACH-000030,0.0006526172096288946
ACH-000035,-0.16013855242496922
ACH-000036,-0.16314108434117888
ACH-000037,-0.13412135560730992
ACH-000039,0.08241805018967556
ACH-000040,0.03248776029450784
ACH-000041,-0.07338918798212031
ACH-000042,-0.13319554354837615
ACH-000045,0.011485299633709423
ACH-000047,0.12171325658488125
ACH-000052,-0.16069293519406316
ACH-000053,-0.2552463154775683
ACH-000054,0.08681357776372353
ACH-000055,-0.01355765274156813
ACH-000060,0.038111673970627334
ACH-000067,-0.027372665275037417
ACH-000070,-0.07098454207317921
ACH-000075,-0.06317597680549605
ACH-000078,-0.10472770548409936
ACH-000082,-0.06534369148191632
ACH-000085,-0.0527089671446136
ACH-000086,0.004802319209241442
ACH-000087,0.13629256857610686
ACH-000092,0.09500490028384576
ACH-000095,-0.0014081861095697782
ACH-000097,0.006643443865829037
ACH-000098,-0.0555827833630444
ACH-000099,-0.039588855586314614
ACH-000108,-0.11429458751998753
ACH-000113,-0.01997535320631388
ACH-000116,0.009692442826105863
ACH-000118,-0.07886447087450545
ACH-000120,-0.1402369264518539
ACH-000123,0.0746506898552965
ACH-000127,-0.17976093640773064
ACH-000128,0.014594224697007734
ACH-000132,-0.01754472625069828
ACH-000133,-0.017229755166489853
ACH-000137,-0.006552691241546521
ACH-000138,-0.07357415269523335
ACH-000142,-0.2542082003625017
ACH-000143,0.23467752549324675
ACH-000146,0.1011775315398694
ACH-000148,-0.05291655935401735
ACH-000150,-0.17014477003574185
ACH-000152,-0.20009793596577036
ACH-000153,-0.1580818071933489
ACH-000159,0.04202239890841785
ACH-000160,-0.04121508159265465
ACH-000163,-0.08923701493531859
ACH-000167,-0.5799782608528276
ACH-000168,-0.19180823553071172
ACH-000169,-0.07934406764150727
ACH-000178,0.010584318023267906
ACH-000183,-0.06995009247335561
ACH-000188,-0.13407239929519868
ACH-000189,0.0632552796636136
ACH-000190,0.07529305130868283
ACH-000198,-0.03919150226861465
ACH-000203,0.10999906280001047
ACH-000204,0.00035651619532667565
ACH-000206,-0.297142087046234
ACH-000207,-0.38956257416172096
ACH-000208,-0.24060008660367155
ACH-000210,-0.3661596197389189
ACH-000211,-0.13023345906949074
ACH-000215,-0.051514924401585206
ACH-000221,0.1313006358813644
ACH-000222,-0.01972009433184729
ACH-000223,-0.08329599212466908
ACH-000226,0.0096124924554312
ACH-000227,-0.1139142318508998
ACH-000228,-0.0549485320543762
ACH-000231,-0.09520271518111333
ACH-000232,0.05548829764949443
ACH-000233,-0.028809680186149524
ACH-000234,-0.022535806259318527
ACH-000235,-0.0690269423063922
ACH-000237,0.04716132926556868
ACH-000238,-0.17413564187395353
ACH-000242,0.018376753054098627
ACH-000243,-0.11665077390970738
ACH-000244,0.004576751435628281
ACH-000246,-0.0917165901729712
ACH-000248,-0.2486526442916236
ACH-000250,-0.09567348426055552
ACH-000251,-0.20323092624260208
ACH-000252,-0.12513955791558826
ACH-000253,-0.1728603135493288
ACH-000255,-0.0681404598834289
ACH-000256,-0.17608212123276956
ACH-000257,0.02342883796095676
ACH-000258,-0.10909260397294288
ACH-000259,-0.1359430652988621
ACH-000260,0.039647442013291886
ACH-000261,-0.10158813889263328
ACH-000262,-0.011342374230230549
ACH-000263,-0.044934342047434433
ACH-000264,-0.2447915344354233
ACH-000265,-0.042923346393513036
ACH-000266,-0.0762117665927888
ACH-000272,-0.05620341406333432
ACH-000274,-0.1562324589316665
ACH-000277,0.12102420127405353
ACH-000278,0.00212487657377006
ACH-000279,-0.10144352882040908
ACH-000280,-0.21638530737815445
ACH-000281,-0.1796805746668132
ACH-000288,-0.15075969999177138
ACH-000291,0.024480556856198557
ACH-000293,0.1457923691716938
ACH-000294,0.013483938662944379
ACH-000295,-0.06122143656362854
ACH-000296,-0.02947830298112112
ACH-000302,-0.07112163527654301
ACH-000304,0.040040122698538516
ACH-000307,-0.03555823524022138
ACH-000308,-0.010125818847042486
ACH-000310,-0.23237402835105234
ACH-000311,-0.1016547351065216
ACH-000312,-0.015858743815602074
ACH-000315,-0.16361329886620934
ACH-000316,0.10399103882597877
ACH-000317,0.0641624264430924
ACH-000318,-0.026226547659588505
ACH-000319,0.005068895054188594
