,IGFN1 (91156)
ACH-000222,0.05351230503198922
ACH-000223,0.05183083501482736
ACH-000226,-0.1237688211104687
ACH-000227,-0.02489465460891764
ACH-000228,-0.0840544661450251
ACH-000231,-0.0034865688242036326
ACH-000232,0.034766827132034425
ACH-000233,-0.10571358129435038
ACH-000234,0.014283515807722278
ACH-000235,-0.06198424502006108
ACH-000237,-0.026991479070521785
ACH-000238,-0.03864977002561226
ACH-000242,0.013055411399078157
ACH-000243,0.022895263894929983
ACH-000244,0.0008432728034138599
ACH-000246,-0.14228059083495193
ACH-000248,-0.027957030990104933
ACH-000250,0.02023726428601069
ACH-000251,0.10533975578932582
ACH-000252,0.017562364215877542
ACH-000253,-0.04987025619133365
ACH-000255,0.003263529717421973
ACH-000256,0.13601769860062762
ACH-000257,0.09106840754889654
ACH-000258,-0.08470046818317478
ACH-000259,-0.0472026756462769
ACH-000260,0.018341620316932348
ACH-000261,0.04085237141615651
ACH-000262,-0.08937651066774355
ACH-000263,0.09127182273714504
ACH-000264,-0.0712119308416296
ACH-000265,0.04645276219635889
ACH-000266,-0.042192147604264936
ACH-000272,-0.10620198473915964
ACH-000274,-0.07597102995447197
ACH-000277,0.002387949003765833
ACH-000278,-0.007519846971211508
ACH-000279,-0.05658808932287961
ACH-000280,0.10257324978040858
ACH-000281,-0.06315684295504914
ACH-000288,-0.04830375491648417
ACH-000291,0.028888641347542605
ACH-000293,0.1264704417021516
ACH-000294,0.11047595815259297
ACH-000295,0.09880438651023757
ACH-000296,-0.07780410871291221
ACH-000302,-0.018018969315276183
ACH-000304,0.041556251904644737
ACH-000307,-0.018122282363020204
ACH-000308,0.09775853664364192
ACH-000310,-0.11143977792558
ACH-000311,-0.014927039817758815
ACH-000312,-0.2079257592866426
ACH-000315,0.14778427424999924
ACH-000316,0.1842014954233933
ACH-000317,-0.05759413986723596
ACH-000318,-0.16295611140288366
ACH-000319,0.07379547616263307
ACH-000320,0.08965865885368103
ACH-000322,-0.0989575891266764
ACH-000323,-0.04515571539128442
ACH-000324,-0.0901614211827402
ACH-000329,-0.036651308735704616
ACH-000330,-0.10176283125769896
ACH-000331,-0.11392308415778273
ACH-000332,-0.040346244057747976
ACH-000334,-0.15479341275978806
ACH-000335,0.13431314171977785
ACH-000336,0.03793460477054047
ACH-000337,-0.05523189900509457
ACH-000338,-0.6618368848314841
ACH-000339,0.06178746286856394
ACH-000341,-0.06207039634402541
ACH-000348,-0.08403238174994357
ACH-000350,-0.12867059765300196
ACH-000352,0.016525903977217996
ACH-000356,-0.18185704476447764
ACH-000361,-0.049999025803309255
ACH-000362,0.01288575067072413
ACH-000363,-0.08925801736712277
ACH-000364,-0.05614452552327826
ACH-000365,0.06859937922085065
ACH-000366,-0.08033987003089392
ACH-000368,-0.18145851502697466
ACH-000374,0.14888607981712226
ACH-000375,-0.043290282350262964
ACH-000376,-0.08426545848924144
