,FGFR1OP2 (26127)
ACH-000004,-0.10951358503162427
ACH-000005,-0.19508594027778586
ACH-000007,-0.18661813967251967
ACH-000009,-0.3119290272258683
ACH-000011,-0.05690961022288402
ACH-000012,-0.20714982607350665
ACH-000013,-0.234277818775016
ACH-000014,-0.1219347870685574
ACH-000015,-0.2647322417263603
ACH-000017,-0.33648278144965155
ACH-000018,-0.4281754734061328
ACH-000019,-0.2997663596974352
ACH-000021,-0.16929490570721412
ACH-000022,-0.2206940596199484
ACH-000025,-0.2261534535278883
ACH-000028,-0.2218043734864425
ACH-000030,-0.3786825129600895
ACH-000035,-0.4359329732024801
ACH-000036,-0.3901173122200132
ACH-000037,-0.0057038255011269065
ACH-000039,-0.06032846762645265
ACH-000040,-0.14393913633392622
ACH-000041,-0.13959683154945746
ACH-000042,-0.26609208115878563
ACH-000045,-0.3010429930479003
ACH-000047,-0.20475117853623973
ACH-000052,-0.181949912757615
ACH-000053,-0.2784280540905235
ACH-000054,-0.14157089618670274
ACH-000055,-0.17492596371141406
ACH-000060,-0.4718118028448468
ACH-000067,-0.12085090836346195
ACH-000070,-0.250437648738213
ACH-000075,-0.341518987516561
ACH-000078,-0.20635565044643994
ACH-000082,-0.3856865391723479
ACH-000085,-0.2870262805194924
ACH-000086,-0.38274950352463855
ACH-000087,-0.18226374804034132
ACH-000092,-0.3039436945523151
ACH-000095,-0.15084999395095547
ACH-000097,-0.16091782767036802
ACH-000098,-0.3912627945988271
ACH-000099,-0.04611548062319838
ACH-000108,-0.41642297853221855
ACH-000113,-0.24896254581938254
ACH-000116,-0.31556546286715603
ACH-000118,-0.2520110309059012
ACH-000120,-0.2930774612045733
ACH-000123,-0.2867153886502327
ACH-000127,-0.26941023788333657
ACH-000128,-0.3752358283784388
ACH-000132,-0.4994470109398791
ACH-000133,-0.4643598218783748
ACH-000137,-0.25737073001289656
ACH-000138,-0.4250638953503616
ACH-000142,-0.2815420811375477
ACH-000143,-0.24118292792086
ACH-000146,-0.3012424499239979
ACH-000148,-0.2925623441966844
ACH-000150,-0.18959340540994066
ACH-000152,-0.5235439235585038
ACH-000153,-0.3075695996410656
ACH-000159,-0.293102330022216
ACH-000160,-0.27804751331098376
ACH-000163,-0.33281255254055203
ACH-000167,-0.21438884731492544
ACH-000168,-0.2247417770060668
ACH-000169,-0.13167070089198193
ACH-000178,-0.5243462546948432
ACH-000183,-0.24287291528737215
ACH-000188,-0.2567482333981493
ACH-000189,-0.4589563270426757
ACH-000190,-0.4058194203960537
ACH-000198,-0.3785922900646688
ACH-000203,-0.4920913125011768
ACH-000204,-0.2422757620017025
ACH-000206,-0.5048549457399903
ACH-000207,-0.2527100296343901
ACH-000208,-0.029356531260949587
ACH-000210,-0.0052555369297499505
ACH-000211,-0.32721506924236404
ACH-000215,-0.3563515480380454
ACH-000221,-0.2277297311961039
ACH-000222,-0.1884802755836696
ACH-000223,-0.3289961813979267
ACH-000226,-0.2206505717919177
ACH-000227,-0.21106263607680129
ACH-000228,-0.25219458036350983
ACH-000231,-0.3531035240969597
ACH-000232,-0.29202006371857264
ACH-000233,-0.3359729228176378
ACH-000234,-0.2668625266137337
ACH-000235,-0.5535391044831032
ACH-000237,-0.32129827440078274
ACH-000238,-0.4714750308530705
ACH-000242,-0.3423866952328995
ACH-000243,-0.2308833384405403
ACH-000244,-0.4250979042495405
ACH-000246,-0.3260076303669281
ACH-000248,-0.30804816640935523
ACH-000250,-0.157340541271656
ACH-000251,-0.3101828519676545
ACH-000252,-0.4091349086064823
ACH-000253,-0.3639465706017352
ACH-000255,-0.5561550732125691
ACH-000256,-0.4093074056426577
ACH-000257,-0.1845452913221884
ACH-000258,-0.10960151466095693
ACH-000259,-0.3056135933325041
ACH-000260,-0.00550098187954226
ACH-000261,-0.2599471680767734
ACH-000262,-0.20759604748273675
ACH-000263,-0.4800124673249969
ACH-000264,-0.25625943151056435
ACH-000265,-0.2730969583459473
ACH-000266,-0.2816024953038335
ACH-000272,-0.30520111864068145
ACH-000274,-0.3033613200856174
ACH-000277,-0.2645583171588801
ACH-000278,-0.22297683894044054
ACH-000279,-0.2620874473665345
ACH-000280,-0.4185804233397109
ACH-000281,-0.4413790849464043
ACH-000288,-0.5648428754205057
ACH-000291,-0.1921521261280738
ACH-000293,-0.08109456247056228
ACH-000294,-0.35211762929981555
ACH-000295,-0.32527899404330224
ACH-000296,-0.25599801553675183
ACH-000302,-0.24476414328474336
ACH-000304,-0.030070044269172626
ACH-000307,-0.34045343509248777
ACH-000308,-0.1543233210791824
