,NLN (57486)
ACH-000004,-0.007025318854866689
ACH-000005,0.16433441942661112
ACH-000007,-0.16748281672515014
ACH-000009,-0.1710335592369818
ACH-000011,-0.0008948380070320662
ACH-000012,-0.031081494295862114
ACH-000013,0.01812990606974275
ACH-000014,-0.1469752002115506
ACH-000015,-0.14294675334388304
ACH-000017,0.028549091729069605
ACH-000018,-0.031076411978703432
ACH-000019,0.0934481494195941
ACH-000021,-0.07338967356054485
ACH-000022,-0.053350784568304985
ACH-000025,-0.042269438037088616
ACH-000028,-0.07139982758897674
ACH-000030,-0.01731689309860803
ACH-000035,0.020606527074458543
ACH-000036,-0.06591263778232978
ACH-000037,-0.048142583639345336
ACH-000039,-0.05550165862796443
ACH-000040,-0.12384171078444198
ACH-000041,0.060815173742980864
ACH-000042,-0.07323597609887086
ACH-000045,0.06288895242524062
ACH-000047,-0.1642463614859186
ACH-000052,-0.2454383828352861
ACH-000053,-0.024075460239804683
ACH-000054,-0.12579593936067462
ACH-000055,-0.0994004918136081
ACH-000060,-0.08474118741470707
ACH-000067,-0.09953594175439552
ACH-000070,0.0693541398840164
ACH-000075,-0.026767523584493774
ACH-000078,-0.0007855535048141982
ACH-000082,-0.08473907785333618
ACH-000085,-0.0956593876387984
ACH-000086,-0.0790412025175028
ACH-000087,-0.2752997069876812
ACH-000092,-0.15698190458373748
ACH-000095,-0.055177692607485236
ACH-000097,-0.15900498227075358
ACH-000098,-0.12710703070465154
ACH-000099,-0.029781085156599968
ACH-000108,-0.06377432697695401
ACH-000113,0.11153241213555228
ACH-000116,-0.03807556314585666
ACH-000118,0.027990636689014508
ACH-000120,0.0703854452501983
ACH-000123,-0.0839032513510702
ACH-000127,-0.06207056706372864
ACH-000128,-0.1113971123226675
ACH-000132,-0.08847952212144404
ACH-000133,-0.1084533280056441
ACH-000137,-0.20040547442389847
ACH-000138,0.032056356474149415
ACH-000142,-0.12536849161204305
ACH-000143,-0.005093053185020357
ACH-000146,-0.07370249970081287
ACH-000148,0.01605206016368648
ACH-000150,-0.011535081470729545
ACH-000152,-0.0024484286302956203
ACH-000153,-0.18750425185034972
ACH-000159,-0.05308700880936988
ACH-000160,-0.2709211373894535
ACH-000163,-0.03681115570209538
ACH-000167,-0.09585203377458816
ACH-000168,-0.08565771658372487
ACH-000169,-0.09982317923342524
ACH-000178,-0.04276700752450087
ACH-000183,-0.014261783651422447
ACH-000188,-0.12621675416478925
ACH-000189,-0.04147806434948364
ACH-000190,-0.11255718088974354
ACH-000198,-0.0275600971051714
ACH-000203,-0.4316824648385981
ACH-000204,-0.15403169211871978
ACH-000206,-0.005979805354994289
ACH-000207,0.03730280252637387
ACH-000208,0.1968112100077464
ACH-000210,-0.10476669839440884
ACH-000211,-0.1053767515970122
ACH-000215,-0.017232357181354727
ACH-000221,-0.012746037135779995
ACH-000222,0.038686593557176914
ACH-000223,-0.040853247899008335
ACH-000226,-0.007493232338786612
ACH-000227,-0.13693804928869988
ACH-000228,-0.061709502581756434
ACH-000231,-0.07823121944976975
ACH-000232,-0.15784163385282746
ACH-000233,0.008127220434635448
ACH-000234,-0.043457212613799416
ACH-000235,-0.0655198646150673
ACH-000237,-0.06328595645961207
ACH-000238,0.00475355345941379
ACH-000242,-0.011109750978080271
ACH-000243,-0.03891347480896586
ACH-000244,-0.1830946333442379
ACH-000246,0.03774110494772676
ACH-000248,-0.09152453810860826
ACH-000250,-0.03392777684871323
ACH-000251,-0.2512790856384836
ACH-000252,-0.14789298889350852
ACH-000253,-0.012061875560621023
ACH-000255,-0.1834342748938209
ACH-000256,-0.1194300966635467
ACH-000257,-0.09740997815768004
ACH-000258,-0.17868753220784245
ACH-000259,-0.044065450697623895
ACH-000260,-0.09449943133734404
ACH-000261,-0.03320546554582232
ACH-000262,-0.04963529376803115
ACH-000263,0.030765150755342762
ACH-000264,-0.026304566352699087
ACH-000265,0.0422690244768611
ACH-000266,-0.0700208925220808
ACH-000272,-0.06276010649759192
ACH-000274,-0.08587392238310114
ACH-000277,0.07334244264858232
ACH-000278,-0.15126242208961105
ACH-000279,-0.06967903679051023
ACH-000280,-0.02939992096399472
ACH-000281,0.1896818558168053
ACH-000288,0.06308804635291776
ACH-000291,0.02231747820053089
ACH-000293,-0.16812835789963085
ACH-000294,-0.003343430492663048
ACH-000295,-0.04291477830081774
ACH-000296,0.0823193504026998
ACH-000302,-0.05801607999159794
ACH-000304,-0.1285728284764972
ACH-000307,-0.03920065692565608
ACH-000308,0.009744834109766324
ACH-000310,0.04178952578232455
ACH-000311,-0.01280161378604812
ACH-000312,0.09977396285293616
ACH-000315,0.06536798741071302
ACH-000316,0.2051291162634716
ACH-000317,-0.03774348328932324
ACH-000318,-0.010935384896380356
ACH-000319,-0.14400044818920862
ACH-000320,0.0772223990506435
ACH-000322,0.0338422932341316
ACH-000323,-0.14546564560982694
ACH-000324,-0.04108320600279139
ACH-000329,-0.04700800606037932
ACH-000330,-0.020911300098701468
ACH-000331,-0.10332133188508344
ACH-000332,-0.0480058855753494
ACH-000334,0.03627038661240648
ACH-000335,-0.14275035487220505
ACH-000336,-0.17270415039466816
ACH-000337,0.2097335051008144
ACH-000338,0.17038620262334372
ACH-000339,-0.04784813529337609
ACH-000341,-0.0064211018606347365
ACH-000348,0.06126691832237116
ACH-000350,-0.055976932904702174
ACH-000352,0.027968477250351745
ACH-000356,-0.02902106722951813
ACH-000361,0.035612622284672615
ACH-000362,-0.0292042253923181
ACH-000363,-0.11248606429038582
