,FAU (2197)
ACH-000004,-1.4021822530646009
ACH-000005,-1.8165068076726456
ACH-000007,-1.4415242857022563
ACH-000009,-1.5880853681758949
ACH-000011,-1.6711812927678469
ACH-000012,-1.360956887105087
ACH-000013,-1.2812316813287137
ACH-000014,-1.5251746437547098
ACH-000015,-1.5272171879421137
ACH-000017,-1.2730815144618266
ACH-000018,-1.4768508747919684
ACH-000019,-1.3748383217991198
ACH-000021,-1.3736608110195925
ACH-000022,-1.5630061589866506
ACH-000025,-1.473251088502568
ACH-000028,-1.3786569238948725
ACH-000030,-1.512898383376916
ACH-000035,-1.3317242414838206
ACH-000036,-1.2595540967657093
ACH-000037,-1.8223552550986493
ACH-000039,-1.3764144455110645
ACH-000040,-1.3117107444234346
ACH-000041,-1.5313772596827817
ACH-000042,-1.3521141716316936
ACH-000045,-1.5437441933455258
ACH-000047,-1.3294565219511705
ACH-000052,-1.1366977444823931
ACH-000053,-1.3108366481983351
ACH-000054,-1.3895229444676314
ACH-000055,-1.4500190603363057
ACH-000060,-1.6242877837014236
ACH-000067,-1.4522876469567223
ACH-000070,-1.4446533253683818
ACH-000075,-1.2241470744909262
ACH-000078,-1.296822781499508
ACH-000082,-1.3177774407736915
ACH-000085,-1.4999311260430248
ACH-000086,-1.3494988550143363
ACH-000087,-1.1528138098126446
ACH-000092,-1.4014741225546676
ACH-000095,-1.3156704948821751
ACH-000097,-1.4025837442978584
ACH-000098,-1.3660922606532024
ACH-000099,-1.238845779428868
ACH-000108,-1.3662785771837276
ACH-000113,-1.5788369352232945
ACH-000116,-1.2344103208469943
ACH-000118,-1.2951046364712255
ACH-000120,-1.276336540169508
ACH-000123,-1.5719655521165663
ACH-000127,-1.3203363278963869
ACH-000128,-1.429982602524491
ACH-000132,-1.396905096245323
ACH-000133,-1.5252914539233189
ACH-000137,-1.5390442420843091
ACH-000138,-1.473946489014838
ACH-000142,-1.1525562112347498
ACH-000143,-1.4241898673739342
ACH-000146,-1.5880474323822018
ACH-000148,-1.5545238452933443
ACH-000150,-1.5897383828414826
ACH-000152,-1.2226074102453457
ACH-000153,-1.5528110731218905
ACH-000159,-1.2995725956784874
ACH-000160,-1.4246073346629091
ACH-000163,-1.4414612659298855
ACH-000167,-1.44662936510784
ACH-000168,-1.6623448919352115
ACH-000169,-1.5060570073265716
ACH-000178,-1.2238898654291874
ACH-000183,-1.3815840318204324
ACH-000188,-1.3010247023360424
ACH-000189,-1.7268612243614092
ACH-000190,-1.5306538594698476
ACH-000198,-1.4080189806566203
ACH-000203,-1.5028528197532371
ACH-000204,-1.4153097087856292
ACH-000206,-1.7564817947213218
ACH-000207,-1.3244768757999832
ACH-000208,-1.425563617335475
ACH-000210,-1.3803183541764399
ACH-000211,-1.4458292158750763
ACH-000215,-1.3008352996278774
ACH-000221,-1.7658200792262884
ACH-000222,-1.4706390896887966
ACH-000223,-1.3148581720793922
ACH-000226,-1.4439735707147938
ACH-000227,-1.3272225484977678
ACH-000228,-1.3816110741582581
ACH-000231,-1.2555833935491922
ACH-000232,-1.512312824791224
ACH-000233,-1.4478624478926747
ACH-000234,-1.778712425523843
ACH-000235,-1.2989263173221512
ACH-000237,-1.6357193371542538
ACH-000238,-1.1919456131797548
ACH-000242,-1.0541141566629435
ACH-000243,-1.300793889825265
ACH-000244,-1.430604719329538
ACH-000246,-1.5661306001139386
ACH-000248,-1.3247113245961697
ACH-000250,-1.3396933783579692
ACH-000251,-1.5498936992769383
ACH-000252,-1.3157610290579538
ACH-000253,-1.4134688783745342
ACH-000255,-1.47412075089156
ACH-000256,-1.4768887374043784
ACH-000257,-1.2934549245721292
ACH-000258,-1.027211798759094
ACH-000259,-1.3983963623749651
ACH-000260,-1.4648705507294384
ACH-000261,-1.4447298439409704
ACH-000262,-1.5790405211810483
ACH-000263,-1.360092193054654
ACH-000264,-1.3888995336746897
ACH-000265,-1.6748281888747143
ACH-000266,-1.3192011360504987
ACH-000272,-1.2769760151292653
ACH-000274,-1.3336167050532022
ACH-000277,-1.419064844198405
ACH-000278,-1.4129845271746246
ACH-000279,-1.180774251252655
ACH-000280,-1.3756429777409764
ACH-000281,-1.4517675298170318
ACH-000288,-1.3600924628969366
ACH-000291,-1.3702921456273762
ACH-000293,-1.7934917392383425
ACH-000294,-1.6904662758549232
ACH-000295,-1.2795268760914813
ACH-000296,-1.2833398443080513
ACH-000302,-1.3746228977304529
ACH-000304,-1.4553177309594898
ACH-000307,-1.528623135034198
ACH-000308,-1.4119523773166842
ACH-000310,-1.312276153938284
ACH-000311,-1.5262594950117176
ACH-000312,-1.33726699071691
ACH-000315,-1.831685357121136
ACH-000316,-1.3727249092608929
ACH-000317,-1.5389204284479605
ACH-000318,-1.5371570895842082
ACH-000319,-1.4200839604460367
ACH-000320,-1.3340925650624123
ACH-000322,-1.2871714348954568
ACH-000323,-1.482695564297896
ACH-000324,-1.3931765950358297
ACH-000329,-1.3267326724174404
ACH-000330,-1.160886852312775
ACH-000331,-1.4920853402004506
ACH-000332,-1.2960299081828954
ACH-000334,-1.4894920145534876
ACH-000335,-1.3104254673990192
ACH-000336,-1.6637800134585448
ACH-000337,-1.6069257862205053
ACH-000338,-1.394760059730947
ACH-000339,-1.4028010906963326
ACH-000341,-1.551664179222804
ACH-000348,-1.3596054392817258
ACH-000350,-1.5101210415392152
ACH-000352,-1.421021261942564
ACH-000356,-1.6058231121575106
ACH-000361,-1.453274460755724
ACH-000362,-1.4967431142701562
ACH-000363,-1.3715083694201875
ACH-000364,-1.4634700874940585
ACH-000365,-1.4653315677204364
ACH-000366,-1.4688633742778656
ACH-000368,-1.5251499507682067
ACH-000374,-1.3435546120392583
ACH-000375,-1.470550137338415
ACH-000376,-1.3205635777295717
ACH-000381,-1.2199458640622889
ACH-000383,-1.2415233624913158
ACH-000387,-1.512063048085542
ACH-000389,-1.192640405360128
ACH-000390,-1.2060832785225948
ACH-000393,-1.2451406508626166
ACH-000395,-1.5550350556320052
ACH-000396,-1.418642098120502
ACH-000397,-1.3769566531814916
ACH-000401,-1.4426459318549698
ACH-000402,-1.3366284960130876
ACH-000403,-1.4604659007113872
ACH-000404,-1.6870205859627658
ACH-000406,-1.5702071903755066
ACH-000407,-1.4190203459322432
ACH-000408,-1.2292322879221622
ACH-000410,-1.5658619723948233
ACH-000411,-1.355100663084872
ACH-000414,-1.44264050084566
ACH-000415,-1.4392491052019871
ACH-000416,-1.2405855695790335
ACH-000420,-1.231801052206267
ACH-000421,-1.4469127355015687
ACH-000424,-1.2510308252004216
ACH-000425,-1.3901902945860805
ACH-000426,-2.11361313479673
ACH-000427,-1.2668222023938127
ACH-000433,-1.4952137486289718
ACH-000435,-1.0919321547983938
ACH-000436,-1.2957939454076155
ACH-000444,-1.3959924956595098
ACH-000445,-1.4181624128268842
ACH-000448,-1.308695743545834
ACH-000450,-1.3867133610139082
ACH-000452,-1.6095421581959366
ACH-000454,-1.2939392830401246
ACH-000458,-1.6210019137398215
ACH-000459,-1.3274964221391572
ACH-000460,-1.4877341491129856
ACH-000461,-1.053489941503584
ACH-000463,-1.336977849841703
ACH-000464,-1.2898884719394628
ACH-000466,-1.3642926748045707
ACH-000467,-1.2410737305969302
ACH-000468,-1.4912719050069199
ACH-000469,-1.230889081972124
ACH-000470,-1.2608888944607084
ACH-000471,-1.36118583688065
ACH-000472,-1.3000877196918834
ACH-000473,-1.3906678515051318
ACH-000475,-1.4723383417439304
ACH-000476,-1.4694907349698654
ACH-000477,-1.9505055136407308
ACH-000479,-1.0870972724528856
ACH-000480,-1.4953767350884757
ACH-000481,-1.3319579197183742
ACH-000483,-1.6556110077726414
ACH-000484,-1.2012052981559893
ACH-000485,-1.2113198534466658
ACH-000486,-1.4657657129627453
ACH-000487,-1.3718138021891395
ACH-000488,-1.3660255574348539
ACH-000490,-1.215581659907605
ACH-000491,-1.516341748822834
ACH-000495,-1.3756764294396284
ACH-000496,-1.4464766595503529
ACH-000499,-1.6807766665753794
ACH-000500,-1.3746023812669377
ACH-000502,-1.3727223561822013
ACH-000503,-1.1640309186411515
ACH-000505,-1.4287611730260643
ACH-000507,-1.3258082963611586
ACH-000510,-1.3436942091847115
ACH-000511,-1.4023113608768962
ACH-000512,-1.3163723997671493
ACH-000516,-1.3041563333890016
ACH-000517,-1.3677028233319617
ACH-000518,-1.4124992976799733
ACH-000520,-1.5885864532295182
ACH-000521,-1.3451189225928444
ACH-000522,-1.3564058333669538
ACH-000524,-1.6148374494162718
