,MFSD4 (148808)
ACH-000004,-0.08165458907128141
ACH-000005,-0.06978907333764703
ACH-000007,-0.01865862735216161
ACH-000009,-0.04414327373951795
ACH-000011,-0.16647212145111462
ACH-000012,-0.0461706646252666
ACH-000013,-0.09808373177347626
ACH-000014,0.09145094533023763
ACH-000015,0.0295893487751546
ACH-000017,-0.27105618603255144
ACH-000018,-0.2415215965573136
ACH-000019,-0.27534913036869463
ACH-000021,-0.03807975262111341
ACH-000022,-0.06289609199514325
ACH-000025,-0.1263706114961781
ACH-000028,-0.1315410153093854
ACH-000030,0.109568616794751
ACH-000035,0.022603166886371703
ACH-000036,0.048851555126504895
ACH-000037,-0.1892273998765964
ACH-000039,-0.027058355001701
ACH-000040,0.03705913859465799
ACH-000041,-0.012153614797011105
ACH-000042,-0.0795453679941121
ACH-000045,-0.013520570982815885
ACH-000047,-0.13451503445291976
ACH-000052,0.02565944735074564
ACH-000053,-0.0984873590605864
ACH-000054,0.04828527872607587
ACH-000055,-0.05572604999630578
ACH-000060,0.0075848101173511375
ACH-000067,0.01977750804259669
ACH-000070,-0.1451288098838855
ACH-000075,-0.07589293155643717
ACH-000078,-0.04166002176660067
ACH-000082,0.05778474065893462
ACH-000085,-0.19553196603129191
ACH-000086,-0.15301161362912188
ACH-000087,-0.17038917967537884
ACH-000092,-0.07451406022149983
ACH-000095,0.04283946246527938
ACH-000097,-0.03157209834220503
ACH-000098,0.08403930259278634
ACH-000099,-0.09751741190098223
ACH-000108,-0.203971920907351
ACH-000113,-0.2802892676524472
ACH-000116,-0.036551817630078025
ACH-000118,-0.017527854979929824
ACH-000120,0.008426411824182944
ACH-000123,0.007436796562561722
ACH-000127,-0.008101043267410811
ACH-000128,-0.068128089472835
ACH-000132,-0.03587156469167658
ACH-000133,0.1766107617122284
ACH-000137,-0.02246222328560009
ACH-000138,-0.0293144964618563
ACH-000142,-0.06727350178289196
ACH-000143,-0.06474928879369644
ACH-000146,0.014084000980881231
ACH-000148,-0.04315774513070191
ACH-000150,-0.03277620484916414
ACH-000152,-0.0009996031252689065
ACH-000153,0.12763824554172634
ACH-000159,-0.10648743759708923
ACH-000160,0.039806447971529324
