,PTMA (5757)
ACH-000004,-0.5865740332312936
ACH-000005,-0.5532108513184648
ACH-000007,-0.35513219431506005
ACH-000009,-0.3692154026338197
ACH-000011,-0.4079661143898191
ACH-000012,-0.4629963460785798
ACH-000013,-0.14591706473155427
ACH-000014,-0.3179386670557904
ACH-000015,-0.4015491981036509
ACH-000017,-0.3994828932854455
ACH-000018,-0.4076571344572473
ACH-000019,-0.4599986284168624
ACH-000021,-0.3982852188813717
ACH-000022,-0.4754059403013421
ACH-000025,-0.3738926734642033
ACH-000028,-0.5563803981586454
ACH-000030,-0.2656251216121731
ACH-000035,-0.3510973902126275
ACH-000036,-0.6479091242245982
ACH-000037,-0.5764731978459479
ACH-000039,-0.3244926001015304
ACH-000040,-0.4473321588299098
ACH-000041,-0.3570804877236938
ACH-000042,-0.4845099707722617
ACH-000045,-0.5166225744869503
ACH-000047,-0.2493421454888781
ACH-000052,-0.3244503452630246
ACH-000053,-0.4449366459791412
ACH-000054,-0.4285149902894193
ACH-000055,-0.5558900657358767
ACH-000060,-0.31830754972535097
ACH-000067,-0.4943872326693689
ACH-000070,-0.40263779733573457
ACH-000075,-0.3715626042751439
ACH-000078,-0.5966959921180481
ACH-000082,-0.33161051153066856
ACH-000085,-0.398672303291246
ACH-000086,-0.3596048124832674
ACH-000087,-0.3568918184859347
ACH-000092,-0.4310486408756163
ACH-000095,-0.4607239674120541
ACH-000097,-0.6268906160491146
ACH-000098,-0.4211695742827723
ACH-000099,-0.5068320832380323
ACH-000108,-0.4737239868749516
ACH-000113,-0.7162350293803801
ACH-000116,-0.21097204130518876
ACH-000118,-0.27842123592729784
ACH-000120,-0.4088153365863675
ACH-000123,-0.18980283037414994
ACH-000127,-0.3298229419249147
ACH-000128,-0.486815492793536
ACH-000132,-0.3412314947994616
ACH-000133,-0.3383477886760419
ACH-000137,-0.4932938930716024
ACH-000138,-0.3971433355109954
ACH-000142,-0.3537151672345291
ACH-000143,-0.4841568287956905
ACH-000146,-0.7769784158044699
ACH-000148,-0.4296052147260444
ACH-000150,-0.3447720352037617
ACH-000152,-0.4473595524313982
ACH-000153,-0.4753602488186153
ACH-000159,-0.3268102341771024
ACH-000160,-0.4230205155339009
ACH-000163,-0.5183063686910742
ACH-000167,-0.7189512484841816
ACH-000168,-0.3109855996004523
ACH-000169,-0.3217698719791713
ACH-000178,-0.40778826825509
ACH-000183,-0.5969605306484815
ACH-000188,-0.4825281662794337
ACH-000189,-0.5496092548589817
ACH-000190,-0.5867442374017576
ACH-000198,-0.5084178909055891
ACH-000203,-0.32725761762597416
ACH-000204,-0.4900141429918045
ACH-000206,-0.3120822553549166
ACH-000207,-0.4445485643219387
ACH-000208,-0.4260813905737499
ACH-000210,-0.354029376642384
ACH-000211,-0.4269506082243024
ACH-000215,-0.3913367293492296
ACH-000221,-0.18374211438707025
ACH-000222,-0.35341510368276274
ACH-000223,-0.30914163555022683
ACH-000226,-0.6809053380096095
ACH-000227,-0.45076491751501896
ACH-000228,-0.16138686160209306
ACH-000231,-0.5044010239518645
