,ZSCAN5B (342933)
ACH-000004,-0.1366634014807198
ACH-000005,-0.09021705107491974
ACH-000007,-0.2405142690918297
ACH-000009,-0.16075701593956054
ACH-000011,-0.10857067115885796
ACH-000012,-0.016047696406024426
ACH-000013,-0.18914112346238854
ACH-000014,-0.04591040391607461
ACH-000015,-0.09048936819249308
ACH-000017,0.05077675575803206
ACH-000018,-0.2395519730646649
ACH-000019,-0.161263929992075
ACH-000021,-0.08786196735000881
ACH-000022,-0.24577558645169406
ACH-000025,0.009873293530435126
ACH-000028,-0.008681551249785814
ACH-000030,-0.3858959262016533
ACH-000035,0.12187261866420508
ACH-000036,-0.05631187089987584
ACH-000037,-0.03305203322506895
ACH-000039,-0.14176963073850726
ACH-000040,0.03759252998094408
ACH-000041,0.07223972215868481
ACH-000042,0.023305950399132084
ACH-000045,-0.13664493555799004
ACH-000047,0.021212377167567
ACH-000052,-0.06868490456207492
ACH-000053,-0.1725468222523937
ACH-000054,-0.2081951178122424
ACH-000055,0.2412859638303069
ACH-000060,0.053139877725608055
ACH-000067,-0.12382437394825163
ACH-000070,0.05509031434062368
ACH-000075,-0.2257137634368213
ACH-000078,-0.22302507177181927
ACH-000082,-0.06726204450169349
ACH-000085,-0.011807349665563046
ACH-000086,-0.15711711544576534
ACH-000087,-0.15557174612222713
ACH-000092,-0.16490825868592118
ACH-000095,-0.20055028459071295
ACH-000097,-0.2602162916616854
ACH-000098,-0.1917280050554524
ACH-000099,-0.21756233773294772
ACH-000108,-0.0075508553017861035
ACH-000113,-0.09762154501802278
ACH-000116,0.11738137642684225
ACH-000118,0.09350527215778427
ACH-000120,0.1969164183513348
ACH-000123,-0.042179443271885685
ACH-000127,-0.10647797590470827
ACH-000128,-0.17742457640584822
ACH-000132,-0.0020772691129176822
ACH-000133,-0.11562559185655948
ACH-000137,0.197827972213828
ACH-000138,-0.19122190989657886
ACH-000142,-0.09448590245207472
ACH-000143,-5.399459852957357e-05
ACH-000146,-0.18718049044576526
ACH-000148,0.010283710736580529
ACH-000150,0.1542680893132708
ACH-000152,-0.1139071642537092
ACH-000153,-0.1253032654846491
ACH-000159,-0.11406197249443725
ACH-000160,-0.11472714468144855
ACH-000163,-0.13709523420196298
ACH-000167,-0.14824863920016426
ACH-000168,-0.2523253084357535
ACH-000169,0.013842985447544608
ACH-000178,-0.10573460824001353
ACH-000183,0.003016444609762855
ACH-000188,0.07579918388173562
ACH-000189,0.017747500495816946
ACH-000190,0.0004363419772263994
ACH-000198,-0.3052054177366397
ACH-000203,0.20966359957761327
