,HN1 (51155)
ACH-000004,-0.22796322702357194
ACH-000005,-0.2123078401505209
ACH-000007,-0.034366152390970746
ACH-000009,-0.06181252224969443
ACH-000011,-0.0168971607405959
ACH-000012,-0.08367167154746258
ACH-000013,-0.030787918608881183
ACH-000014,0.18721892043640265
ACH-000015,-0.033498906734737016
ACH-000017,-0.07923587436968245
ACH-000018,0.0742956988714252
ACH-000019,0.07087444122083501
ACH-000021,-0.08879071333764181
ACH-000022,-0.19897805980187544
ACH-000025,-0.023346480325117432
ACH-000028,-0.06676615880736965
ACH-000030,-0.07031481832360563
ACH-000035,-0.2057463712776905
ACH-000036,0.012269944254044023
ACH-000037,0.029492976568251308
ACH-000039,-0.19241128603404994
ACH-000040,0.04811703931322276
ACH-000041,0.01846049484311119
ACH-000042,-0.0986387410618829
ACH-000045,-0.031098068884725518
ACH-000047,-0.1068576456394124
ACH-000052,-0.11196016349578447
ACH-000053,-0.10576802284275592
ACH-000054,-0.04053022823381977
ACH-000055,-0.3256729251662022
ACH-000060,-0.1225520315666989
ACH-000067,-0.019338887282084317
ACH-000070,-0.05484350493943058
ACH-000075,0.08934218154523328
ACH-000078,-0.16693386769497254
ACH-000082,-0.10741570198955704
ACH-000085,-0.052609741211525916
ACH-000086,-0.13392141433335514
ACH-000087,-0.25292050551220163
ACH-000092,-0.0063882456611320864
ACH-000095,-0.19054629229322206
ACH-000097,-0.08617482494592586
ACH-000098,-0.17422198434380975
ACH-000099,-0.1575282045687839
ACH-000108,-0.09006455189718594
ACH-000113,-0.0017349996110538695
ACH-000116,-0.13681322012828895
ACH-000118,-0.045317853438164434
ACH-000120,-0.014631293509855328
ACH-000123,-0.06410353587407526
ACH-000127,-0.04335938578920488
ACH-000128,-0.16566270868719465
ACH-000132,-0.016234842448495414
ACH-000133,0.029332706884842706
ACH-000137,-0.03141833710843156
ACH-000138,-0.2147113687577752
ACH-000142,-0.07058037439019753
ACH-000143,-0.1118584979518206
ACH-000146,0.0020853541833396
ACH-000148,-0.02448730271003831
ACH-000150,-0.10093783181473262
ACH-000152,-0.07883776376866057
ACH-000153,-0.23452188652703634
ACH-000159,-0.06548075804957261
ACH-000160,-0.10128876085619257
ACH-000163,-0.12054710998315207
ACH-000167,-0.27909860319394963
ACH-000168,-0.1199041900977968
ACH-000169,-0.027267616389897498
ACH-000178,-0.013246899303700772
ACH-000183,-0.15391179081740786
ACH-000188,0.03084049449712089
ACH-000189,-0.11543275192173855
ACH-000190,-0.2331305171919635
ACH-000198,-0.08281012160422482
ACH-000203,-0.2178249991285375
ACH-000204,-0.140138316946301
ACH-000206,-0.18205849620084133
ACH-000207,-0.06419789687037852
ACH-000208,-0.2950582110336589
ACH-000210,0.003099249427849171
ACH-000211,-0.06787551300298747
ACH-000215,0.0034535550674731955
ACH-000221,-0.008352935292140014
ACH-000222,-0.0697485514946831
ACH-000223,-0.1279412983625622
ACH-000226,-0.15498184539150614
ACH-000227,-0.040362893129132736
ACH-000228,-0.11742490949726432
ACH-000231,-0.004744001318840482
ACH-000232,0.025422303431750486
ACH-000233,-0.24300024302758755
ACH-000234,-0.11769340565886527
ACH-000235,-0.04860919032284046
ACH-000237,0.029832890322831363
ACH-000238,-0.08406194195677827
ACH-000242,0.2500802583351504
ACH-000243,-0.11270478808657736
ACH-000244,0.1116531801673637
ACH-000246,-0.02286845276114705
ACH-000248,-0.1531221097965392
ACH-000250,-0.04547990118102199
ACH-000251,-0.2330200932967695
ACH-000252,-0.04291723649658412
ACH-000253,-0.19495014062375327
ACH-000255,-0.2003315048932248
ACH-000256,0.12366303229914954
ACH-000257,0.12312938537068667
ACH-000258,-0.0033628918902041584
ACH-000259,-0.0995477900358081
ACH-000260,-0.11241529484869103
ACH-000261,-0.1728103466949235
ACH-000262,-0.09715518652720058
ACH-000263,-0.1189344581405656
ACH-000264,0.0458121952924856
ACH-000265,0.008588903754128168
ACH-000266,-0.0873129163581351
ACH-000272,-0.057989087380077076
ACH-000274,-0.1631122377824205
ACH-000277,-0.1008868470858532
ACH-000278,-0.09573295210934048
ACH-000279,-0.057107904546948376
ACH-000280,-0.15322111248314407
ACH-000281,0.09818139106125233
ACH-000288,-0.10193255825287624
ACH-000291,-0.1108439844364684
ACH-000293,-0.0965216911983739
ACH-000294,0.01587290992718965
ACH-000295,-0.05911255002618775
ACH-000296,-0.04731191100983809
ACH-000302,-0.06859644003024615
ACH-000304,-0.2396983999429583
ACH-000307,-0.07686500811683306
ACH-000308,-0.0039042186092213423
ACH-000310,-0.07981092343891856
ACH-000311,-0.1082817024265269
ACH-000312,-0.04207394310566191
ACH-000315,0.025653842308954317
ACH-000316,-0.2413234105059369
ACH-000317,0.2603508467812872
ACH-000318,-0.33651984285812897
ACH-000319,-0.0965777147569511
ACH-000320,-0.08849682290527758
ACH-000322,-0.1121649619245213
ACH-000323,0.00881220233179777
ACH-000324,-0.04618373328282905
ACH-000329,-0.103437364979026
ACH-000330,-0.10341672041260938
ACH-000331,-0.0942283028665145
ACH-000332,-0.032132586709715034
ACH-000334,-0.09404583355884834
ACH-000335,-0.052471922254441854
ACH-000336,-0.4508861887669106
ACH-000337,-0.17231594926974814
ACH-000338,0.11554953129423078
ACH-000339,0.023858497612888642
ACH-000341,-0.07844024209319651
ACH-000348,-0.21059810204314292
ACH-000350,-0.10205541983449658
ACH-000352,0.04939604195743933
ACH-000356,-0.06504594211466272
ACH-000361,-0.18458216859700569
ACH-000362,-0.15275898320688455
ACH-000363,-0.08631804726934228
ACH-000364,-0.15856779062071485
ACH-000365,-0.0032132082810696623
ACH-000366,-0.056745074231992765
ACH-000368,0.016339183613625578
ACH-000374,-0.07256639426179605
ACH-000375,-0.053619321645999134
ACH-000376,-0.06872756397024878
ACH-000381,-0.07880493377030963
ACH-000383,-0.14474545698998206
ACH-000387,0.006474960592273979
ACH-000389,-0.09102892534353417
ACH-000390,-0.06387550544587085
ACH-000393,-0.07669768559724582
ACH-000395,-0.10470124141119352
ACH-000396,-0.3765959949055621
ACH-000397,-0.0729400772791114
ACH-000401,-0.16351774064661245
ACH-000402,-0.27513020804909466
ACH-000403,-0.15403148267176014
ACH-000404,0.2608634650969582
ACH-000406,-0.1314908567990661
ACH-000407,-0.03854801953989034
ACH-000408,0.039485320200299066
ACH-000410,0.05881644224651575
ACH-000411,-0.14278293477708107
ACH-000414,0.04365547874891591
