,RASA4B (100271927)
ACH-000004,0.11278331559361784
ACH-000005,0.3667501955514447
ACH-000007,-0.1844267146088156
ACH-000009,0.2018265632505339
ACH-000011,-0.3916067075254383
ACH-000012,0.1452982942871264
ACH-000013,0.10373438228863203
ACH-000014,-0.03232834749461474
ACH-000015,0.19935311855880666
ACH-000017,0.05226159428419448
ACH-000018,0.0354614268685456
ACH-000019,0.16108931511815913
ACH-000021,-0.30162482747961017
ACH-000022,0.014118162701136153
ACH-000025,0.16232493421338445
ACH-000028,-0.2929294123103237
ACH-000030,0.10783449982195052
ACH-000035,-0.05515963714080933
ACH-000036,-0.010063689574840485
ACH-000037,0.05983857071081865
ACH-000039,0.16011119248470618
ACH-000040,0.0958430400491486
ACH-000041,0.386314136017949
ACH-000042,0.18432786750053548
ACH-000045,0.1661151121145521
ACH-000047,0.1392017721046093
ACH-000052,0.22103514792237314
ACH-000053,0.14429960279968188
ACH-000054,0.022421676688387352
ACH-000055,0.040617011681516366
ACH-000060,-0.048896710838921005
ACH-000067,0.04934668338418507
ACH-000070,0.09624434156316036
ACH-000075,-0.02620915137519128
ACH-000078,0.4494317509950673
ACH-000082,0.1648647789434504
ACH-000085,-0.030468124974532523
ACH-000086,0.19563071830092704
ACH-000087,0.07911765024875529
ACH-000092,0.18683107062938425
ACH-000095,-0.016707269128377784
ACH-000097,0.10551192388132127
ACH-000098,0.007980752961191785
ACH-000099,-0.17816385181216046
ACH-000108,0.06275518448077154
ACH-000113,-0.10186134236971314
ACH-000116,0.0218907311289987
ACH-000118,0.01802618821974248
ACH-000120,-0.1544035814057794
ACH-000123,0.1741318717729877
ACH-000127,-0.1262357908345271
ACH-000128,0.1243906688472734
ACH-000132,0.07855317552588285
ACH-000133,-0.01984527667138209
ACH-000137,0.02633663283501131
ACH-000138,0.02082161516879331
ACH-000142,-0.11570879019703414
ACH-000143,0.0538781337713885
ACH-000146,0.12202437939129453
ACH-000148,0.12495255900418575
ACH-000150,0.28547974953279803
ACH-000152,-0.08148608364024283
ACH-000153,0.03274492897076568
