,NARF (26502)
ACH-000004,-0.2826848001879093
ACH-000005,0.2012063909722756
ACH-000007,-0.13366477072367447
ACH-000009,-0.04957517579404142
ACH-000011,-0.0365871358678712
ACH-000012,-0.03498306771116805
ACH-000013,0.0010330107909161047
ACH-000014,-0.035329974678481715
ACH-000015,0.0008193646539998099
ACH-000017,-0.12338823332407445
ACH-000018,-0.056509350749041586
ACH-000019,-0.12578153695478986
ACH-000021,-0.07472964590319488
ACH-000022,-0.057204664019274376
ACH-000025,-0.2290969597626904
ACH-000028,-0.06520758762069195
ACH-000030,-0.03484535703805353
ACH-000035,-0.08507023436112096
ACH-000036,-0.1775502395928068
ACH-000037,-0.08589473307652401
ACH-000039,-0.004814336614157928
ACH-000040,-0.10823619757308664
ACH-000041,-0.10100485464521768
ACH-000042,-0.16948147048409046
ACH-000045,-0.38231069957556296
ACH-000047,-0.18252119958356008
ACH-000052,-0.10994380029770902
ACH-000053,-0.011894659212177642
ACH-000054,-0.07876362030803516
ACH-000055,-0.1821804967262311
ACH-000060,-0.11712140265892762
ACH-000067,-0.04709955723326395
ACH-000070,0.005686564032704472
ACH-000075,-0.06722291271641599
ACH-000078,-0.15018033775189352
ACH-000082,-0.1197148846008811
ACH-000085,-0.2362331343825952
ACH-000086,0.04936048236547018
ACH-000087,-0.11505442951948926
ACH-000092,0.04878539240756378
ACH-000095,-0.08326548896526062
ACH-000097,-0.06785451613440527
ACH-000098,-0.06095957203379875
ACH-000099,-0.26439139525293803
ACH-000108,-0.13183256345231495
ACH-000113,-0.16678554702455858
ACH-000116,-0.1697906093410541
ACH-000118,-0.17941208888185728
ACH-000120,-0.4119961392732724
ACH-000123,-0.054998445141000864
ACH-000127,-0.022193682464774104
ACH-000128,-0.2125920560649685
ACH-000132,-0.02172410845800361
ACH-000133,0.061194056261541466
ACH-000137,-0.10026368731770242
ACH-000138,-0.09552060680009493
ACH-000142,-0.09475954376492078
ACH-000143,-0.19504301291968396
ACH-000146,-0.11979699949251743
ACH-000148,-0.12258067683487538
ACH-000150,-0.08250603097022123
ACH-000152,-0.08496415440184675
ACH-000153,0.09646628573790504
ACH-000159,-0.053276308314063256
ACH-000160,-0.20739412063964352
ACH-000163,-0.1796650248427045
ACH-000167,0.028576934905745106
ACH-000168,-0.1988403115595213
ACH-000169,-0.06355435450438371
ACH-000178,0.02435135602996308
ACH-000183,-0.03779735171463508
ACH-000188,0.0004145029954132886
ACH-000189,-0.11350048786133808
ACH-000190,0.02395237638880375
ACH-000198,-0.04370458669783876
ACH-000203,-0.15614820310383878
ACH-000204,-0.18079106295594768
ACH-000206,-0.07181822382622345
ACH-000207,-0.025107428779822846
ACH-000208,0.08348646675233201
ACH-000210,-0.2856979189914236
ACH-000211,-0.10680319754677604
ACH-000215,-0.07562430592581497
ACH-000221,-0.10320251822204528
ACH-000222,-0.027264102962500102
ACH-000223,0.007274832987337691
ACH-000226,-0.088193130209819
ACH-000227,-0.002262966274377424
ACH-000228,-0.12458704028109616
ACH-000231,-0.035312766587977884
ACH-000232,0.046268366215217564
ACH-000233,-0.14492917337368474
ACH-000234,-0.04234811690669075
ACH-000235,-0.07577413485187709
ACH-000237,-0.026985116263133185
ACH-000238,-0.06870268585050716
ACH-000242,0.018420997020546673
ACH-000243,-0.09582692326608212
ACH-000244,-0.10025480690861834
ACH-000246,-0.11282523714637975
ACH-000248,-0.2298681763427708
ACH-000250,-0.1294048757317873
ACH-000251,-0.06105498430466854
ACH-000252,0.009603451856120278
ACH-000253,-0.0950002128812686
ACH-000255,-0.07692445423226695
ACH-000256,-0.10510089022655784
ACH-000257,-0.3200625122372888
ACH-000258,0.021264073488019262
ACH-000259,-0.19956628082606606
ACH-000260,-0.13157707559735934
ACH-000261,-0.08579942512274734
ACH-000262,-0.1334974870875425
ACH-000263,-0.32423818102336394
ACH-000264,-0.10241978926092524
ACH-000265,0.009634010370115022
ACH-000266,-0.12114357991343395
ACH-000272,-0.04059326423803008
ACH-000274,-0.14728328608384247
ACH-000277,-0.20294729167096195
ACH-000278,-0.11043467745659977
ACH-000279,-0.14840994831385174
ACH-000280,-0.06571036932352002
ACH-000281,-0.13156865998850426
ACH-000288,-0.12324742513890817
ACH-000291,-0.00362352915121009
ACH-000293,-0.03745757680206442
ACH-000294,-0.4125537059926356
ACH-000295,-0.213044276114376
ACH-000296,-0.14150716624490048
ACH-000302,-0.1025598957423082
ACH-000304,0.12507434337005804
ACH-000307,-0.1082733926118278
ACH-000308,-0.0382760754951127
ACH-000310,-0.3875106993012989
ACH-000311,-0.06496724574517866
ACH-000312,-0.12232226957460675
ACH-000315,-0.03963035238063567
ACH-000316,-0.057480461179725564
ACH-000317,-0.12625025441013582
ACH-000318,-0.18483158827928192
ACH-000319,-0.05384311386385547
ACH-000320,0.035905552156083466
ACH-000322,-0.09631802157326903
ACH-000323,-0.18257311904017973
ACH-000324,-0.19786841825075768
ACH-000329,-0.1292906267045309
ACH-000330,-0.03656864581208796
ACH-000331,-0.0964750651655626
ACH-000332,-0.10948354460973604
ACH-000334,0.09868725347032736
ACH-000335,0.014348352077622712
ACH-000336,-0.1949093994303551
ACH-000337,-0.15563333761049716
ACH-000338,0.4624332809576833
ACH-000339,-0.062244527157824914
ACH-000341,-0.107207891382643
ACH-000348,-0.004273592710400387
ACH-000350,-0.1952196747633136
ACH-000352,-0.27970992848603604
ACH-000356,0.04879023272265632
ACH-000361,-0.009583372389697323
ACH-000362,-0.2829918564021344
ACH-000363,-0.13149679749154009
ACH-000364,0.02213567723456966
ACH-000365,-0.11033075449001173
ACH-000366,0.01581346454928704
ACH-000368,-0.11497086790036636
ACH-000374,-0.1733243359972627
ACH-000375,-0.0897715232763017
ACH-000376,-0.057952274630868036
ACH-000381,-0.11382362618492875
ACH-000383,-0.11738063718240298
ACH-000387,-0.03163688936117439
ACH-000389,-0.1543572446844468
ACH-000390,-0.0958549626927648
ACH-000393,-0.1381899413076644
ACH-000395,0.10590423666147797
ACH-000396,-0.1362341390543645
ACH-000397,-0.04067424385832885
ACH-000401,-0.014543101873725947
ACH-000402,-0.07706199516868985
ACH-000403,-0.11039423490472518
ACH-000404,-0.0014176631481154591
ACH-000406,-0.09249206134585901
ACH-000407,-0.11359308060267932
ACH-000408,-0.12371917236387772
ACH-000410,-0.021814539977273537
ACH-000411,-0.06564232704634157
ACH-000414,-0.06778828746230571
ACH-000415,-0.08898728179301076
ACH-000416,-0.05290790871529805
ACH-000420,-0.0958458935907996
ACH-000421,-0.18560611332341068
ACH-000424,-0.3085971421585906
ACH-000425,-0.07338552522906823
ACH-000426,-0.019297163764760136
ACH-000427,-0.053163332930758415
ACH-000433,-0.11779897384872252
ACH-000435,-0.1799934968232904
ACH-000436,-0.0009938402203610577
ACH-000444,-0.05739389411924582
ACH-000445,0.0021612412052610963
ACH-000448,-0.16094230637462614
ACH-000450,-0.06753431350889809
ACH-000452,-0.0350947263997455
ACH-000454,0.06501791144484903
ACH-000458,-0.09223309424169734
ACH-000459,-0.16415384802924765
ACH-000460,-0.14318077828300105
ACH-000461,-0.1311546900522453
ACH-000463,-0.03854457461780995
ACH-000464,0.03402071752330312
ACH-000466,-0.1367995091934654
ACH-000467,-0.11090458958113313
ACH-000468,-0.016153394407818794
ACH-000469,-0.12963336727874766
ACH-000470,-0.15425650738200847
ACH-000471,-0.02513828758659369
ACH-000472,-0.14306187747302634
ACH-000473,-0.12054978442538335
ACH-000475,-0.13789706634906684
ACH-000476,-0.14475866342555765
ACH-000477,-0.11675406410642795
ACH-000479,0.1433183250078018
ACH-000480,-0.1271430142999716
ACH-000481,-0.031017959621696088
ACH-000483,-0.03986010436991766
ACH-000484,-0.19300404313344988
ACH-000485,-0.0723068439748343
ACH-000486,-0.0028830881433757898
ACH-000487,-0.055414919253622616
ACH-000488,-0.12708824139355865
ACH-000490,-0.04402057872228195
ACH-000491,-0.07755942081096795
ACH-000495,-0.07992750440757818
ACH-000496,-0.0289347114798794
ACH-000499,-0.12218266488041694
