,FAIM (55179)
ACH-000004,-0.15310533444078314
ACH-000005,-0.07194756453790169
ACH-000007,-0.21368226091421105
ACH-000009,-0.22930155752168094
ACH-000011,-0.20581952755026672
ACH-000012,-0.21610252601106225
ACH-000013,-0.23077125059764356
ACH-000014,-0.3336215507025179
ACH-000015,-0.2580190697395604
ACH-000017,-0.3782159255297807
ACH-000018,-0.10298034814898904
ACH-000019,-0.34918699626536703
ACH-000021,-0.22747981027038844
ACH-000022,-0.21136225918042495
ACH-000025,-0.2604895825197132
ACH-000028,-0.1100809507641826
ACH-000030,-0.17247092722648058
ACH-000035,-0.3422275372696572
ACH-000036,-0.3081582474253013
ACH-000037,-0.1637116672259202
ACH-000039,-0.2258902794701968
ACH-000040,-0.27860318204663137
ACH-000041,-0.2800939469598822
ACH-000042,-0.3311544618622202
ACH-000045,-0.2503476631724578
ACH-000047,-0.1155921233351325
ACH-000052,-0.09188292174003627
ACH-000053,-0.19770881956458072
ACH-000054,-0.2360561654774915
ACH-000055,-0.1724029820537676
ACH-000060,-0.31758098107486554
ACH-000067,-0.264999120509205
ACH-000070,-0.3228966399032674
ACH-000075,-0.3452092046957861
ACH-000078,-0.3588952921462888
ACH-000082,-0.20443128349053613
ACH-000085,-0.39532086848481
ACH-000086,-0.20266351238409056
ACH-000087,-0.1842579646221228
ACH-000092,-0.32010743057683017
ACH-000095,-0.2564744972554093
ACH-000097,-0.17076234467661242
ACH-000098,-0.2744255482452864
ACH-000099,-0.18611637908911186
ACH-000108,-0.32526042697332
ACH-000113,-0.2447974408086455
ACH-000116,-0.08526426094076676
ACH-000118,-0.13536851277211212
ACH-000120,-0.1568450686014544
ACH-000123,-0.16483696835915368
ACH-000127,-0.2473395028590064
ACH-000128,-0.2035744599038075
ACH-000132,-0.2300150740706123
ACH-000133,-0.2819324605574711
ACH-000137,-0.09463328796456297
ACH-000138,-0.2394605669948851
ACH-000142,-0.2384135597103463
ACH-000143,-0.4076632492170557
ACH-000146,-0.16246665039427055
ACH-000148,-0.13446609273889895
ACH-000150,-0.3459488503806035
ACH-000152,-0.28253472310889194
ACH-000153,-0.16234386831515205
ACH-000159,-0.22972856990459126
ACH-000160,-0.2750051829005275
ACH-000163,-0.209394777768513
ACH-000167,-0.30348276653957146
ACH-000168,-0.2538037593103403
ACH-000169,-0.32028891907531903
ACH-000178,-0.202596514004582
ACH-000183,-0.2762347261316501
ACH-000188,-0.18822339564502816
ACH-000189,-0.2057143790452462
ACH-000190,-0.22997353045766786
ACH-000198,-0.1607108845444628
ACH-000203,-0.09500066244760312
ACH-000204,-0.198734163769346
ACH-000206,-0.3774246701990956
ACH-000207,-0.2402861086006932
ACH-000208,-0.32191898187308304
ACH-000210,-0.12306376820826775
ACH-000211,-0.2699964041266174
ACH-000215,-0.2578419029550805
ACH-000221,-0.18433552841704265
ACH-000222,-0.3029928120097145
ACH-000223,-0.2636088173680293
ACH-000226,-0.195039802808694
ACH-000227,-0.326747129824714
ACH-000228,-0.2382320420829695
ACH-000231,-0.24082576146453985
ACH-000232,-0.22417877013634854
ACH-000233,-0.29050046815079955
ACH-000234,-0.3150052821664465
ACH-000235,-0.2508854590511668
ACH-000237,-0.17054052763699462
ACH-000238,-0.10879314660101784
ACH-000242,0.024286122083546236
ACH-000243,-0.16469264021492688
ACH-000244,-0.16871410628391964
ACH-000246,-0.21652916505517308
ACH-000248,-0.2276752632404181
ACH-000250,-0.17026688524109665
ACH-000251,-0.2932519056494192
ACH-000252,-0.2273186474586554
ACH-000253,-0.24785700315746256
ACH-000255,-0.23251513251113626
ACH-000256,-0.14496124062461838
ACH-000257,-0.061972867982250275
ACH-000258,-0.16610805011032356
ACH-000259,-0.2451658788699969
