,AMY2A (279)
ACH-000004,-0.23732252301948806
ACH-000005,-0.20337978339006266
ACH-000007,-0.24396241883443676
ACH-000009,-0.07821962302273472
ACH-000011,-0.13701827375891334
ACH-000012,-0.21765784726959625
ACH-000013,-0.40421433584055
ACH-000014,-0.18618246678968348
ACH-000015,-0.17990998779443376
ACH-000017,-0.1562263371976057
ACH-000018,0.04410088020138896
ACH-000019,-0.23035602859168414
ACH-000021,-0.2111642967552382
ACH-000022,-0.13201405747991793
ACH-000025,-0.2530058911619383
ACH-000028,-0.20040817615502846
ACH-000030,-0.3867521942074636
ACH-000035,-0.08879208822275582
ACH-000036,-0.4133596358488769
ACH-000037,-0.28576875355844034
ACH-000039,-0.1941043362717517
ACH-000040,-0.20661942054711935
ACH-000041,-0.13347868453553502
ACH-000042,-0.15456904261790758
ACH-000045,-0.4545213031006133
ACH-000047,-0.1961015661025598
ACH-000052,-0.1278367832097697
ACH-000053,-0.2759788622129504
ACH-000054,-0.4819200416695688
ACH-000055,-0.1976661780598859
ACH-000060,-0.2806237097607889
ACH-000067,-0.461324650953093
ACH-000070,-0.02628873992595907
ACH-000075,-0.20658534116938174
ACH-000078,-0.5880650226187071
ACH-000082,-0.2423541425536733
ACH-000085,-0.3296020876441518
ACH-000086,-0.5023184199704364
ACH-000087,-0.13690197622642
ACH-000092,-0.15397250917868915
ACH-000095,-0.2562458169134453
ACH-000097,-0.17275303228489405
ACH-000098,-0.3565003761604751
ACH-000099,-0.29201070302126986
ACH-000108,-0.06430267986284426
ACH-000113,-0.2947368781611874
ACH-000116,-0.10460150569672676
ACH-000118,-0.15118209179279218
ACH-000120,-0.010830721792755429
ACH-000123,-0.1705516779732149
ACH-000127,-0.13819754600328732
ACH-000128,-0.4268589386135151
ACH-000132,-0.1289913049651262
ACH-000133,-0.2440662635367268
ACH-000137,-0.2307632268402567
ACH-000138,-0.19520908250947186
ACH-000142,-0.4018825748201047
ACH-000143,-0.2549862591627698
ACH-000146,-0.4231500392032107
ACH-000148,-0.14529500919113422
ACH-000150,-0.053553422590685774
ACH-000152,-0.2796274454962261
ACH-000153,-0.30402581017394903
ACH-000159,-0.5007236259854033
ACH-000160,-0.04770928527119274
ACH-000163,-0.16410941229058865
ACH-000167,-0.6184536072590677
ACH-000168,-0.3941796998005029
ACH-000169,-0.37162828034804574
ACH-000178,-0.22496409124047329
ACH-000183,-0.2217102874701496
ACH-000188,-0.506056560579039
ACH-000189,-0.30697392664459505
ACH-000190,-0.016691914445273386
ACH-000198,-0.2649526801998453
ACH-000203,-0.5077642755438846
ACH-000204,-0.09268307077279436
ACH-000206,-0.01816509502734584
ACH-000207,-0.2493146783880167
ACH-000208,-0.2918023595534555
ACH-000210,-0.09887492196130923
ACH-000211,-0.3079188168147907
ACH-000215,-0.21651253320359973
ACH-000221,-0.342723261898019
ACH-000222,-0.06179960101529135
ACH-000223,-0.3754041077668851
ACH-000226,-0.25524069798918153
ACH-000227,-0.3937303550907768
ACH-000228,-0.2485156767773381
ACH-000231,-0.13245261775970932
ACH-000232,-0.163946067911064
ACH-000233,-0.1782662451015175
ACH-000234,-0.2626180143765523
ACH-000235,-0.1565724354904819
ACH-000237,-0.3642039545212907
ACH-000238,-0.24271200722957245
ACH-000242,-0.34924617860917023
ACH-000243,-0.2590556485122654
ACH-000244,-0.3928059275347655
ACH-000246,-0.21260958774176064
ACH-000248,-0.2904502043228418
ACH-000250,-0.3911034515100144
ACH-000251,-0.12893522524491302
ACH-000252,-0.2952421684302769
ACH-000253,-0.3034616256277998
ACH-000255,-0.2235285786118209
ACH-000256,-0.3534530494468074
ACH-000257,-0.2743215107771094
ACH-000258,-0.22780295607089354
ACH-000259,-0.3931927097625876
ACH-000260,-0.17943756197785268
ACH-000261,-0.34458508507035235
ACH-000262,-0.33618593133759417
ACH-000263,-0.6850847680949248
ACH-000264,-0.2657737726337936
ACH-000265,-0.26508861407109746
ACH-000266,-0.08711322899741518
ACH-000272,-0.4085519434300113
ACH-000274,-0.3190071535456848
ACH-000277,-0.2855392078383091
ACH-000278,-0.32550250359759675
ACH-000279,-0.17323984307610685
ACH-000280,-0.3338314247424881
ACH-000281,-0.1007300188941452
ACH-000288,-0.2925567125586209
ACH-000291,-0.15142372857145614
ACH-000293,-0.3986358909713472
ACH-000294,-0.4900782690592004
ACH-000295,-0.4435069409777568
ACH-000296,-0.2559238246929132
ACH-000302,-0.42032488760003256
ACH-000304,-0.3480744226435264
ACH-000307,-0.2934976290908289
ACH-000308,-0.39134803372401344
ACH-000310,-0.4379000766278776
ACH-000311,-0.20118585893946744
ACH-000312,-0.1388300527792787
ACH-000315,-0.26326300536159325
ACH-000316,-0.33716264886314234
ACH-000317,-0.5372620544692971
ACH-000318,-0.223916398969243
ACH-000319,-0.3137689561738528
ACH-000320,-0.37265920841496897
ACH-000322,-0.14903452733620207
ACH-000323,-0.13808502535890574
ACH-000324,-0.4891812605219066
ACH-000329,-0.4216851769598374
ACH-000330,-0.294907644939313
ACH-000331,-0.1854662835918384
ACH-000332,-0.4504247130156134
ACH-000334,-0.17706067905803874
ACH-000335,-0.3435655004297397
ACH-000336,-0.2654747877529693
ACH-000337,-0.1041943883655482
ACH-000338,-0.5909398941527663
ACH-000339,-0.07709779611058247
ACH-000341,-0.2494851424818401
ACH-000348,-0.3117507150364401
ACH-000350,-0.13677361756629275
ACH-000352,-0.2948101634982613
ACH-000356,-0.04705072259243915
ACH-000361,-0.31184803505016806
ACH-000362,-0.5405094786044927
ACH-000363,-0.033946661677899566
ACH-000364,-0.2592142979005935
ACH-000365,-0.2037073594226155
ACH-000366,-0.32773451877853305
ACH-000368,-0.3149985458400905
ACH-000374,-0.1789469616333044
ACH-000375,-0.14301419969437226
ACH-000376,-0.4808222560927953
ACH-000381,-0.12730726295859066
ACH-000383,-0.3604157959873509
ACH-000387,-0.16457737166350644
ACH-000389,-0.3855316922936149
ACH-000390,-0.5079810061748169
ACH-000393,-0.32594768951709513
ACH-000395,-0.3970196757891433
ACH-000396,-0.15613354388686548
ACH-000397,-0.23654833675430725
ACH-000401,-0.3161031009026174
ACH-000402,-0.3480061312777586
ACH-000403,-0.2531644965594257
ACH-000404,0.062208502967399736
ACH-000406,-0.13670969944203468
ACH-000407,-0.292740252897066
ACH-000408,-0.3273509709048097
ACH-000410,-0.29862637289335864
ACH-000411,-0.20662847163595446
ACH-000414,-0.015032087034654463
ACH-000415,-0.34177913634729784
ACH-000416,-0.4935091381395952
ACH-000420,-0.3321035241432085
ACH-000421,-0.1256209064567487
ACH-000424,-0.21762133813262005
ACH-000425,-0.2850237799882496
ACH-000426,-0.2546254204535157
ACH-000427,-0.2614185389226796
ACH-000433,-0.43558523580039377
ACH-000435,-0.19349298428523745
ACH-000436,-0.26955926891847604
ACH-000444,-0.1271991984661372
ACH-000445,-0.05950201058095931
ACH-000448,-0.39348192722401787
ACH-000450,-0.3649643378512942
ACH-000452,-0.2366663742117969
ACH-000454,-0.00046552837614013986
ACH-000458,-0.060396776186239336
ACH-000459,-0.1693115336114015
ACH-000460,-0.22018611582006706
ACH-000461,-0.4374546709827651
ACH-000463,-0.21805589774096765
ACH-000464,-0.3263904748849419
ACH-000466,-0.4160174972883093
ACH-000467,-0.20983290477033475
ACH-000468,-0.3883507150271858
ACH-000469,-0.3928337101299445
ACH-000470,-0.11670467764203085
ACH-000471,-0.1864594661013312
ACH-000472,-0.18537404467838936
ACH-000473,-0.12129527843518348
ACH-000475,-0.3325126998459955
ACH-000476,-0.5081723675016597
ACH-000477,-0.18604141286326964
ACH-000479,-0.4159328236764918
ACH-000480,-0.1014323136008712
ACH-000481,-0.3169974585463564
ACH-000483,-0.2437223424911694
ACH-000484,-0.1968239181167093
ACH-000485,-0.2872910909202111
ACH-000486,-0.3374197560415939
ACH-000487,-0.15781263650160812
ACH-000488,-0.2755085187261252
ACH-000490,-0.07266140031263117
ACH-000491,-0.22570244989026175
ACH-000495,-0.35083931720811923
ACH-000496,-0.2536437839073809
ACH-000499,-0.15776034151085874
ACH-000500,-0.28841484820213065
ACH-000502,-0.17358490367876586
ACH-000503,-0.001257327687664901
ACH-000505,-0.3751208076988101
ACH-000507,-0.365769087149008
ACH-000510,-0.2364919692812867
ACH-000511,-0.3033296184101869
ACH-000512,-0.4306548757800413
ACH-000516,-0.012012768626179155
ACH-000517,-0.2749294453853658
ACH-000518,-0.4041041860512452
ACH-000520,-0.29910274135018106
ACH-000521,-0.42142313385801067
ACH-000522,-0.19964042352539335
ACH-000524,-0.2473143088499152
ACH-000527,-0.07606457628265054
ACH-000528,-0.2185192761381738
ACH-000537,-0.12812017746697382
ACH-000541,-0.5518023589538328
ACH-000542,-0.3622268108109554
ACH-000544,-0.22811986273576676
ACH-000545,-0.43502144824322303
ACH-000547,-0.1731027999911736
ACH-000548,-0.5025351703366778
ACH-000549,-0.2339967302370931
ACH-000550,-0.2715685654660929
ACH-000552,-0.1328550405711312
ACH-000556,-0.26417824864991146
ACH-000557,-0.11746556890816265
ACH-000569,-0.329428432717536
ACH-000570,-0.3629162725428966
