,SLC35B2 (347734)
ACH-000004,0.0361956827539392
ACH-000005,-0.14743230563382426
ACH-000007,-0.12228311647977047
ACH-000009,-0.2368351771733763
ACH-000011,-0.13387470052219674
ACH-000012,-0.08235714765360827
ACH-000013,-0.16687212138780422
ACH-000014,-0.25770092690503604
ACH-000015,-0.5502141000615536
ACH-000017,0.08457352102692538
ACH-000018,-0.1853842938985883
ACH-000019,-0.1252719633281073
ACH-000021,-0.32844203297420155
ACH-000022,-0.07047346112418068
ACH-000025,-0.3220203916523417
ACH-000028,-0.2819981153592631
ACH-000030,-0.07227175509089134
ACH-000035,-0.28969887790110044
ACH-000036,-0.4298551569696332
ACH-000037,-0.045599034366817406
ACH-000039,-0.4334391550381932
ACH-000040,-0.2625433460503829
ACH-000041,-0.25468231232638444
ACH-000042,-0.26276404257650005
ACH-000045,-0.06772384509699853
ACH-000047,-0.2703665843935097
ACH-000052,-0.23598330056333516
ACH-000053,-0.029658692605426168
ACH-000054,-0.2319949896850421
ACH-000055,-0.5091659889656742
ACH-000060,-0.1967838937601729
ACH-000067,-0.2206312059635024
ACH-000070,-0.5092786008681701
ACH-000075,-0.5780291804359191
ACH-000078,-0.28739358181030616
ACH-000082,-1.0465541945680048
ACH-000085,-0.2950956700770529
ACH-000086,-0.4668135019828512
ACH-000087,-0.5342526260614479
ACH-000092,-0.2504148408296211
ACH-000095,-0.1463478601738249
ACH-000097,-0.07049207710465465
ACH-000098,-1.0413976212817864
ACH-000099,-0.5141518215361746
ACH-000108,-0.05411868222896312
ACH-000113,-0.10926076725835301
ACH-000116,-0.14152513846941872
ACH-000118,-0.11866707006125493
ACH-000120,-0.2565519257186853
ACH-000123,-0.4574590131383594
ACH-000127,-0.10341554514282507
ACH-000128,-0.4215544158161653
ACH-000132,-0.4905830884284574
ACH-000133,-0.2840013468670409
ACH-000137,-0.10102937545484438
ACH-000138,-0.2568321468295811
ACH-000142,-0.5131728941963964
ACH-000143,-0.4038744918286309
ACH-000146,-0.14830897640844806
ACH-000148,-0.5060574030478596
ACH-000150,-0.4764713139050235
ACH-000152,-0.4309041121227669
ACH-000153,-0.29747579956891057
ACH-000159,-0.17307738380017929
ACH-000160,-0.3278834025262156
ACH-000163,-0.5055012816096549
ACH-000167,-0.2437273911715004
ACH-000168,-0.17129098930295894
ACH-000169,-0.17394928294606776
ACH-000178,-0.12873764581432245
ACH-000183,-0.3586417440929525
ACH-000188,-0.2859771483488944
ACH-000189,-0.098307310897422
ACH-000190,-0.4194443962879999
ACH-000198,-0.18194084349112505
ACH-000203,-0.3608876978542685
ACH-000204,-0.4779838812230977
ACH-000206,-0.1966961961369368
ACH-000207,-0.5483504557900062
ACH-000208,-0.15049011825778205
ACH-000210,-0.4393208674267646
ACH-000211,-0.1457420540974107
ACH-000215,0.06036784018150158
ACH-000221,-0.26696915240086705
ACH-000222,-0.4625816523232173
ACH-000223,-0.18653315712735105
ACH-000226,-0.044456362833009064
ACH-000227,-0.13176547309294134
ACH-000228,-0.3754514346397748
ACH-000231,-0.31475531645638977
ACH-000232,-0.4566215319134114
ACH-000233,-0.11074307061684158
ACH-000234,-0.012062959821592726
ACH-000235,-0.07467065043837334
ACH-000237,-0.19684929349501468
ACH-000238,-0.5981214118381434
ACH-000242,-0.3819148903132725
ACH-000243,-0.4194486875825369
ACH-000244,-0.1527851826579177
ACH-000246,-0.2265538477969231
ACH-000248,-0.15333514648855529
ACH-000250,-0.21819617763293664
ACH-000251,-0.11742111057832673
ACH-000252,-0.322518387424408
ACH-000253,0.03739624531047588
ACH-000255,-0.504837114150549
ACH-000256,-0.016945967159616392
ACH-000257,-0.3458888100251136
ACH-000258,-0.06685314652081803
ACH-000259,-0.4335476111191146
ACH-000260,-0.06552602401747655
ACH-000261,-0.3912861206275211
ACH-000262,-0.09675290901996332
ACH-000263,-0.10703471864360428
ACH-000264,-0.16163815266730688
ACH-000265,-0.2342314834290387
ACH-000266,-0.09835340290935718
ACH-000272,-0.2523253640365175
ACH-000274,-0.0867623975497133
ACH-000277,-0.018876085423836297
ACH-000278,-0.044476725735924934
ACH-000279,-0.11750483068015255
ACH-000280,-0.4997931151946863
ACH-000281,-0.1820627445317937
ACH-000288,-0.4224725651117884
ACH-000291,-0.1146843918883993
ACH-000293,-0.3213007897706624
ACH-000294,0.011746933533867266
ACH-000295,-0.5409972112862703
ACH-000296,-0.13092271052419066
ACH-000302,-0.21267253157726046
ACH-000304,0.04496523353301702
ACH-000307,-0.5910011853855855
ACH-000308,-0.11854274779180313
ACH-000310,-0.1415065677964581
ACH-000311,-0.5501205563033493
ACH-000312,-0.2023629007667585
ACH-000315,0.1561069269677753
ACH-000316,-0.795040521728386
ACH-000317,-0.1948499186689664
ACH-000318,-0.17497956289103278
ACH-000319,-0.3271188274554427
ACH-000320,-0.3277796224543834
ACH-000322,-0.2535428639834737
ACH-000323,-0.1486167235563219
ACH-000324,-0.2740056075927016
ACH-000329,-0.2666795943856635
ACH-000330,-0.3864724251897243
ACH-000331,-0.5729960928761998
ACH-000332,-0.3334527834417126
ACH-000334,0.004813693183573206
ACH-000335,-0.6929781340321753
ACH-000336,-0.08822659735086072
ACH-000337,-0.27082631899087434
ACH-000338,-0.549899640483647
ACH-000339,-0.14598905488397484
ACH-000341,-0.18453481916795594
ACH-000348,-0.029112917836170364
ACH-000350,0.05306679851531786
ACH-000352,-0.16801829863127066
ACH-000356,-0.3774852943846417
ACH-000361,-0.6652315718918216
ACH-000362,-0.30247494147131965
ACH-000363,-0.024286543216353287
ACH-000364,-0.9163385950664358
ACH-000365,-0.07475430944797024
ACH-000366,-0.27998511941776943
ACH-000368,-0.8175532677457471
ACH-000374,-0.6911752509612529
ACH-000375,-0.3520115896121052
