,SAMHD1 (25939)
ACH-000004,-0.16220658518701106
ACH-000005,-0.18119602681435928
ACH-000007,-0.08231032160133075
ACH-000009,-0.08112262652942548
ACH-000011,-0.06332024495955507
ACH-000012,0.025536556356397202
ACH-000013,-0.08409658337097771
ACH-000014,-0.22819157445028046
ACH-000015,-0.20225430753358964
ACH-000017,-0.328343236649692
ACH-000018,-0.29469287310266434
ACH-000019,-0.1707353880177052
ACH-000021,-0.2080455476122978
ACH-000022,-0.06694871085330914
ACH-000025,-0.2353713136947273
ACH-000028,-0.1250362698339572
ACH-000030,-0.3711953309812101
ACH-000035,-0.08713991657322809
ACH-000036,-0.2464091368175366
ACH-000037,0.034483515850773215
ACH-000039,-0.1245710159128564
ACH-000040,-0.03014074764185605
ACH-000041,-0.01649950711554367
ACH-000042,-0.2329134469579101
ACH-000045,0.2294368996855346
ACH-000047,-0.3241587759881198
ACH-000052,-0.2628170152586163
ACH-000053,-0.19721866960989395
ACH-000054,-0.1630402073555036
ACH-000055,0.09864943217118603
ACH-000060,-0.07991588706473761
ACH-000067,-0.12283105711540887
ACH-000070,-0.2070306181221342
ACH-000075,-0.14078492555415334
ACH-000078,-0.09769828916749287
ACH-000082,-0.24093428484474494
ACH-000085,-0.492990781511023
ACH-000086,-0.2418149361484181
ACH-000087,-0.0507336518659828
ACH-000092,-0.21813769003095285
ACH-000095,-0.1277358652268712
ACH-000097,-0.20265135412454768
ACH-000098,0.05243795634783451
ACH-000099,-0.025424744427312
ACH-000108,-0.31940770871881136
ACH-000113,-0.6052225887386044
ACH-000116,-0.09651876642382567
ACH-000118,-0.19910230734652112
ACH-000120,-0.19652994954990166
ACH-000123,-0.11457081076377874
ACH-000127,-0.0021687358553958203
ACH-000128,-0.15810304082887688
ACH-000132,-0.11565585352792668
ACH-000133,-0.4108543575472733
ACH-000137,-0.07859531596716579
ACH-000138,-0.07810403587787275
ACH-000142,-0.21823646797976454
ACH-000143,-0.2373013540488603
ACH-000146,-0.11790297766327472
ACH-000148,-0.207550205944796
ACH-000150,0.003613504456534043
ACH-000152,0.05895197548767
ACH-000153,0.021489914660860962
ACH-000159,-0.19246224539774967
ACH-000160,-0.11742734818506585
ACH-000163,-0.14473748240282047
ACH-000167,-0.035067418710086284
ACH-000168,-0.0970900099010142
ACH-000169,-0.15173678223384834
ACH-000178,-0.1308002530517834
ACH-000183,-0.19704001018832396
ACH-000188,-0.12007510920505912
ACH-000189,-0.3656085029896176
ACH-000190,-0.17961225752832186
ACH-000198,-0.062415604350082976
ACH-000203,-0.275134405276959
ACH-000204,-0.08682997647858456
ACH-000206,-0.2804926213418896
ACH-000207,-0.2699283517718111
ACH-000208,0.0038063654645207117
ACH-000210,0.057747334710651986
ACH-000211,-0.18282901110287028
ACH-000215,-0.1350104442274894
ACH-000221,-0.04705598037730604
ACH-000222,-0.16016933438351902
ACH-000223,-0.05096530259100223
ACH-000226,-0.10699231270540817
ACH-000227,-0.2674269576680418
ACH-000228,-0.1420855708260531
ACH-000231,-0.17289555707010573
ACH-000232,-0.15420315123540726
ACH-000233,-0.14343275425596816
ACH-000234,-0.2918564337710508
ACH-000235,-0.20636295612661934
ACH-000237,-0.08588196350752461
ACH-000238,-0.18251895100924767
ACH-000242,-0.20683259766275375
ACH-000243,-0.05914402059941106
ACH-000244,-0.2397412583942081
ACH-000246,-0.3315973072370441
ACH-000248,-0.2596351797015949
ACH-000250,-0.12215188085735115
ACH-000251,-0.3752491503165345
ACH-000252,-0.20142720351593613
ACH-000253,-0.20691594411796235
ACH-000255,-0.27302645890297195
ACH-000256,-0.12397265241018972
ACH-000257,-0.21896454494918105
ACH-000258,-0.303744529190736
ACH-000259,-0.13637933186291956
ACH-000260,-0.16852281279195205
ACH-000261,-0.2849345718901416
ACH-000262,-0.13350369361672906
ACH-000263,-0.03926937439899685
ACH-000264,-0.21682165150091068
ACH-000265,-0.09221485499892756
ACH-000266,-0.11899060547012832
ACH-000272,-0.1771413251139684
ACH-000274,-0.2818677427231728
ACH-000277,-0.4774749275090008
ACH-000278,-0.20329659474775452
ACH-000279,-0.129296456065182
ACH-000280,-0.16886896505657334
ACH-000281,-0.2252332010211637
ACH-000288,-0.08620218017939553
ACH-000291,-0.21335790675582272
ACH-000293,-0.17483597668613068
ACH-000294,-0.1141844341418244
ACH-000295,-0.1300770404787812
ACH-000296,-0.19261672980468691
ACH-000302,-0.16816564655506872
ACH-000304,-0.23019637683225416
ACH-000307,-0.046228246081865036
ACH-000308,-0.14739842897060748
ACH-000310,-0.005473746785058646
ACH-000311,-0.08697985294714229
ACH-000312,-0.1888653913506137
ACH-000315,-0.4211586998713194
ACH-000316,-0.016321207292819596
ACH-000317,-0.0920567295693902
ACH-000318,-0.15982665735280008
ACH-000319,-0.05578433274786336
ACH-000320,-0.16816663276401725
ACH-000322,-0.3499237902021238
ACH-000323,-0.13576902564770418
ACH-000324,-0.0503198692771609
ACH-000329,-0.14082444140419045
ACH-000330,-0.411101761593678
ACH-000331,-0.1663392505605342
ACH-000332,-0.17485551737944546
ACH-000334,-0.2483730443844496
ACH-000335,-0.10786976115804954
ACH-000336,-0.5419816299551283
ACH-000337,-0.3655830162081576
ACH-000338,0.05039273437591239
ACH-000339,-0.18597824736204527
ACH-000341,-0.36472180377801294
ACH-000348,-0.11945536760976905
ACH-000350,-0.1936809226122473
ACH-000352,-0.20559383596383748
ACH-000356,-0.2326629446346933
ACH-000361,-0.08532771278639174
ACH-000362,-0.0803689931924942
ACH-000363,-0.16706863403786446
ACH-000364,-0.12816443355368734
ACH-000365,-0.2916024409054101
ACH-000366,-0.2032204792895677
ACH-000368,-0.22628659410921306
ACH-000374,-0.18337544771255693
ACH-000375,-0.010196607700303296
ACH-000376,-0.18299784684425172
ACH-000381,-0.28557284010836004
ACH-000383,-0.07024930217660214
ACH-000387,-0.2483229182803458
ACH-000389,-0.04813810015422253
ACH-000390,-0.20945071507265772
ACH-000393,-0.1536405096520003
ACH-000395,-0.2439530234450918
ACH-000396,-0.15771380572556926
ACH-000397,-0.21957868241206055
ACH-000401,-0.4321845357185511
ACH-000402,0.006571551134385139
ACH-000403,-0.2572317012142145
ACH-000404,-0.3990811993874267
ACH-000406,0.018328710594763216
ACH-000407,-0.08586284739835318
ACH-000408,-0.25586783260086843
ACH-000410,-0.2948132721253274
ACH-000411,-0.17926721382014602
ACH-000414,-0.1582137356877746
ACH-000415,-0.1464952258660187
ACH-000416,-0.16950161231179986
