,MT1A (4489)
ACH-000004,-0.10312048012477533
ACH-000005,0.0367389239520015
ACH-000007,-0.13886773974189065
ACH-000009,-0.05762242440521444
ACH-000011,-0.0005574017587912809
ACH-000012,-0.2040678997420277
ACH-000013,-0.11082700929986647
ACH-000014,-0.2798084259008352
ACH-000015,-0.019833525775797646
ACH-000017,-0.2729592846547405
ACH-000018,-0.13912769202692896
ACH-000019,-0.186750616872058
ACH-000021,-0.10738857646898156
ACH-000022,-0.19583157819480004
ACH-000025,-0.11533466000161333
ACH-000028,-0.1518302502157086
ACH-000030,-0.14342348832648155
ACH-000035,-0.13549211432933458
ACH-000036,-0.11368979250370324
ACH-000037,-0.14850614345069313
ACH-000039,-0.32283658948883304
ACH-000040,-0.05771607432559508
ACH-000041,-0.16609798451952412
ACH-000042,-0.1943795826338685
ACH-000045,-0.19888387981751893
ACH-000047,-0.1273606536027386
ACH-000052,-0.181401836408224
ACH-000053,-0.21811920129273912
ACH-000054,-0.18771262192262264
ACH-000055,-0.20349812259467992
ACH-000060,-0.2163421916692433
ACH-000067,0.019693929775477757
ACH-000070,-0.17825461426002676
ACH-000075,-0.2384504265955049
ACH-000078,-0.17074468514228475
ACH-000082,-0.23118948770503525
ACH-000085,-0.1354565040240427
ACH-000086,-0.2741981625683857
ACH-000087,-0.08557271945449504
ACH-000092,-0.2465564295509761
ACH-000095,-0.3044444878301601
ACH-000097,-0.2105680601287171
ACH-000098,-0.238442404435302
ACH-000099,-0.07964074018329105
ACH-000108,-0.06549046203122767
ACH-000113,-0.12634577904576494
ACH-000116,-0.17613801816000912
ACH-000118,-0.11238669227528444
ACH-000120,-0.05009021945357083
ACH-000123,-0.07152637608324759
ACH-000127,-0.12210255234122913
ACH-000128,-0.2122145051098141
ACH-000132,-0.2381506426145912
ACH-000133,-0.14167899037719794
ACH-000137,-0.24022319541182946
ACH-000138,-0.10496033886541158
ACH-000142,-0.13235837711247833
ACH-000143,-0.07269422581791389
ACH-000146,-0.12497266773087233
ACH-000148,-0.1663246725317211
ACH-000150,-0.23150658061540824
ACH-000152,-0.27207516720879543
ACH-000153,-0.3635316255327284
ACH-000159,-0.02420251305599289
ACH-000160,-0.24755777823410904
ACH-000163,-0.012472085462573288
ACH-000167,0.34944216922987115
ACH-000168,-0.31428836751242506
ACH-000169,-0.12501567961539706
ACH-000178,-0.1742758710467114
ACH-000183,-0.21448388241455651
ACH-000188,-0.0782159495254042
ACH-000189,-0.11506116903709825
ACH-000190,-0.3358912394043455
ACH-000198,-0.13460430086394354
ACH-000203,-0.32644479582521585
ACH-000204,-0.299269608603114
ACH-000206,-0.0580855466417871
ACH-000207,-0.20675908284339864
ACH-000208,-0.03333028573549016
ACH-000210,-0.1728259843098728
ACH-000211,-0.17053559998993906
ACH-000215,-0.1970223030105107
ACH-000221,-0.1595037229399116
ACH-000222,-0.06320814349298316
ACH-000223,-0.19920083558917748
ACH-000226,-0.2930545849171577
ACH-000227,-0.20315623920272927
ACH-000228,-0.08802631744305515
ACH-000231,-0.15174542156141554
ACH-000232,-0.03417118598220238
ACH-000233,-0.1909971315481088
ACH-000234,-0.13788714912254604
ACH-000235,-0.1988913298164552
ACH-000237,-0.2313487732190532
ACH-000238,-0.13169954349265767
ACH-000242,-0.20368143116511106
ACH-000243,-0.07431895326437897
ACH-000244,-0.037020157799584084
ACH-000246,-0.15161987798922882
ACH-000248,-0.2572273636670904
ACH-000250,-0.1965029158802932
ACH-000251,-0.10912513932839404
ACH-000252,-0.12238240185890613
ACH-000253,-0.15313673055870286
ACH-000255,-0.07732184161127774
ACH-000256,-0.0747057348989234
ACH-000257,-0.14727754619814534
ACH-000258,-0.14057236949505747
ACH-000259,-0.15508315301285922
ACH-000260,-0.150172156539428
ACH-000261,-0.15291021318092593
ACH-000262,-0.2006066147403704
ACH-000263,0.037655173402194216
ACH-000264,-0.1808150663215229
ACH-000265,-0.0319405383134835
ACH-000266,-0.2179958107084972
ACH-000272,-0.09899289738585317
ACH-000274,-0.0872058839766876
ACH-000277,-0.1865845374798838
ACH-000278,-0.15920119506480787
ACH-000279,-0.13061818525878136
ACH-000280,-0.15457789612751674
ACH-000281,-0.04207751585408842
ACH-000288,-0.3095771995105009
ACH-000291,-0.07399290531091167
ACH-000293,-0.12773442226716006
ACH-000294,-0.21477978118511004
ACH-000295,-0.0016719188251860509
ACH-000296,-0.030853527207104187
ACH-000302,-0.1214217244204104
ACH-000304,-0.09504095391660276
ACH-000307,-0.1257032131993495
ACH-000308,-0.15428241004647755
ACH-000310,-0.2518698716278249
ACH-000311,-0.0808207153667982
ACH-000312,-0.1337564839946672
ACH-000315,-0.04147959742495368
ACH-000316,-0.2526616341992748
ACH-000317,-0.16229990911339726
ACH-000318,-0.1017142348694288
ACH-000319,-0.19196078360576446
ACH-000320,-0.17409511451609552
ACH-000322,-0.260355017175227
ACH-000323,-0.18513099314235432
ACH-000324,-0.13360132404698188
ACH-000329,-0.3055788063319355
ACH-000330,-0.1587496448301038
ACH-000331,-0.2206595603855441
ACH-000332,-0.17241500664937282
ACH-000334,-0.33412708097400146
ACH-000335,-0.3186076484168627
ACH-000336,-0.18525427850747214
ACH-000337,-0.1432621756380798
ACH-000338,-0.3092147115936867
ACH-000339,-0.14247280041890467
ACH-000341,-0.16144283537544565
ACH-000348,-0.17986721568992864
ACH-000350,-0.2269299125981005
ACH-000352,-0.17600954205909775
ACH-000356,-0.10779893876888362
ACH-000361,-0.1244236807117794
ACH-000362,-0.12330821612411948
ACH-000363,-0.14944005994675613
ACH-000364,-0.10728984371274757
ACH-000365,-0.1671708805648867
ACH-000366,-0.12125421280262208
ACH-000368,-0.2730419464998887
ACH-000374,-0.2773552212788201
ACH-000375,-0.0679719283783388
ACH-000376,-0.09767059829760004
ACH-000381,-0.1974903654430625
ACH-000383,-0.19163381314891095
ACH-000387,-0.13962839655202025
ACH-000389,-0.2562398126711743
ACH-000390,-0.19875728271575474
ACH-000393,-0.1688643105255025
ACH-000395,-0.27953715822196445
ACH-000396,0.13288579683180626
ACH-000397,-0.2792505895487846
ACH-000401,-0.13005005222299246
ACH-000402,-0.22407320383128124
ACH-000403,-0.1960227749291589
ACH-000404,-0.21999846965496286
ACH-000406,-0.1492699794676675
ACH-000407,-0.1248417203723322
ACH-000408,-0.036757983111657316
ACH-000410,-0.17328716791583115
ACH-000411,-0.14733389659638896
ACH-000414,-0.0911923761492923
ACH-000415,-0.13309238563295908
ACH-000416,-0.23372622749923214
ACH-000420,-0.15189523164893645
ACH-000421,-0.14068720562075632
ACH-000424,-0.052091163634810665
ACH-000425,-0.12713787483103126
ACH-000426,-0.176062188897121
ACH-000427,-0.3183647037298725
ACH-000433,0.02467255052763309
ACH-000435,-0.3991667048815253
ACH-000436,-0.3387606687036404
ACH-000444,-0.026034889180866147
ACH-000445,-0.2732286744210439
ACH-000448,-0.18941938883819415
ACH-000450,-0.08992707756669714
ACH-000452,-0.11330849011054953
ACH-000454,-0.22485249544218672
ACH-000458,-0.21770535237334
ACH-000459,-0.04918710844903517
ACH-000460,-0.2098559637245303
ACH-000461,-0.24646951611717116
ACH-000463,-0.16926952411496002
ACH-000464,-0.03556087065456938
ACH-000466,-0.2500743394849609
ACH-000467,-0.13403959459151682
ACH-000468,-0.09614275587484444
ACH-000469,-0.11492178972596985
ACH-000470,-0.22656627670293386
ACH-000471,-0.12917853248683214
ACH-000472,-0.17226362731217698
ACH-000473,-0.2088334455436403
ACH-000475,-0.20183494549860245
ACH-000476,-0.2054956821379969
ACH-000477,-0.19693146187897512
ACH-000479,-0.012012697854173277
ACH-000480,-0.046628107685998336
ACH-000481,-0.1015506276715366
ACH-000483,-0.35065027101214546
ACH-000484,0.061024468522872
ACH-000485,-0.2098214289660399
ACH-000486,-0.08259855409601559
ACH-000487,-0.1466134950239016
ACH-000488,-0.1808755725474844
ACH-000490,-0.09564527272231714
ACH-000491,-0.0011233037880486426
ACH-000495,-0.04156162465541667
ACH-000496,-0.2296295790759199
ACH-000499,-0.1655187877923998
ACH-000500,0.0652982857536135
ACH-000502,-0.1332174444160689
ACH-000503,-0.07430203178899525
ACH-000505,-0.2424209297647249
ACH-000507,-0.20879625773589067
ACH-000510,-0.13613769631265155
ACH-000511,-0.2417326702762934
ACH-000512,-0.2955258076299477
ACH-000516,-0.17406140146863014
ACH-000517,-0.27292383320613633
ACH-000518,-0.11830329812550855
ACH-000520,-0.43094014122711255
ACH-000521,-0.06454815181777131
ACH-000522,-0.3031836870436803
ACH-000524,-0.18303216172145345
ACH-000527,-0.17430271920340593
ACH-000528,-0.19916034860210985
ACH-000537,-0.11324231049395493
ACH-000541,-0.3770154673865225
ACH-000542,-0.19675930681587828
ACH-000544,-0.1672558944392028
ACH-000545,-0.2532815333283215
ACH-000547,-0.3211041109335647
ACH-000548,-0.2715468205174422
ACH-000549,-0.17162454771883592
ACH-000550,-0.2227083627702387
ACH-000552,-0.21259989960946998
ACH-000556,-0.3116871000040975
ACH-000557,-0.2530609242487051
ACH-000569,-0.3255254907273431
ACH-000570,-0.04159816553125535
ACH-000571,-0.2677571710471557
ACH-000573,-0.13243660150422792
ACH-000576,-0.16713649260351154
ACH-000579,0.062035289333652974
ACH-000580,-0.013019283419023859
ACH-000584,-0.08438348454862933
