,GPAA1 (8733)
ACH-000004,0.028215858819692945
ACH-000005,0.2224301774647091
ACH-000007,-0.05325941798814531
ACH-000009,-0.09822967642823137
ACH-000011,-0.2964706721006544
ACH-000012,-0.04141886115247409
ACH-000013,0.03154390540705948
ACH-000014,-0.07862822814481507
ACH-000015,-0.12667441615382807
ACH-000017,-0.33964695682485296
ACH-000018,-0.30734041450311644
ACH-000019,-0.09574033023162623
ACH-000021,-0.03120785076593825
ACH-000022,-0.01304989218654832
ACH-000025,-0.07490714931976522
ACH-000028,-0.05273151561689272
ACH-000030,-0.0801651464151716
ACH-000035,-0.17572421764305898
ACH-000036,-0.054280544186249606
ACH-000037,-0.07166793007504957
ACH-000039,-0.0447368226931266
ACH-000040,-0.1985420293113537
ACH-000041,0.0026242421749755602
ACH-000042,-0.3341804612684605
ACH-000045,-0.16774839942990202
ACH-000047,-0.3111291079379183
ACH-000052,-0.13237104542941067
ACH-000053,-0.10298647105491232
ACH-000054,-0.19438271220955952
ACH-000055,-0.05718570936541099
ACH-000060,-0.31330482070780397
ACH-000067,-0.12360473667453163
ACH-000070,-0.05346493752670749
ACH-000075,-0.20518075567756575
ACH-000078,-0.10229170718404293
ACH-000082,-0.18931084088134725
ACH-000085,0.1703354397121956
ACH-000086,-0.14794246727438404
ACH-000087,-0.2058452890633212
ACH-000092,-0.1839737601193596
ACH-000095,-0.027259368766998048
ACH-000097,-0.26771150489177425
ACH-000098,-0.22245792410425286
ACH-000099,-0.2309356021775688
ACH-000108,-0.2403572434014259
ACH-000113,-0.08167402267279973
ACH-000116,-0.13749362372386675
ACH-000118,-0.2900151444404953
ACH-000120,-0.1426429120216031
ACH-000123,-0.15847896323211896
ACH-000127,-0.13751648468178113
ACH-000128,-0.2208619161337629
ACH-000132,-0.04095840848457148
ACH-000133,-0.17372402587613528
ACH-000137,-0.09419162613988777
ACH-000138,-0.2139840102835864
ACH-000142,0.054277080092836716
ACH-000143,-0.16451260480746785
ACH-000146,-0.05441034010709262
ACH-000148,-0.10034449379094056
ACH-000150,-0.5004088915503595
ACH-000152,-0.09623633808612007
ACH-000153,-0.043091779913969175
ACH-000159,-0.10986586230124876
ACH-000160,-0.05293662060721943
ACH-000163,-0.24781556248219425
ACH-000167,0.14940789496617787
ACH-000168,0.18386910512644725
ACH-000169,-0.12692533540162387
ACH-000178,-0.1693908034380015
ACH-000183,-0.4352445307507176
ACH-000188,-0.056003372451475256
ACH-000189,-0.002462307893194823
ACH-000190,-0.29959912889249424
ACH-000198,-0.2012965929925627
ACH-000203,-0.3267859347105099
ACH-000204,-0.13809855826778736
ACH-000206,0.05306636557379648
ACH-000207,-0.2525985185731748
ACH-000208,-0.4187752905351089
ACH-000210,0.002046626556358945
ACH-000211,-0.14330420631458254
ACH-000215,-0.07803679170880719
ACH-000221,0.07700275240273789
ACH-000222,-0.28726604071318
ACH-000223,-0.2949444616677369
ACH-000226,-0.06520812135987808
ACH-000227,-0.041823758193421226
ACH-000228,-0.06346221141854479
ACH-000231,-0.06399356286610261
ACH-000232,-0.34726935212107385
ACH-000233,-0.09172998254342883
ACH-000234,-0.3585548940705914
ACH-000235,-0.08136555899221204
ACH-000237,-0.24068439668736505
ACH-000238,-0.08177992893329436
ACH-000242,-0.2909653145809477
ACH-000243,-0.1588131702440823
ACH-000244,-0.225881480502704
ACH-000246,-0.2772716996371276
ACH-000248,-0.1617464838771536
ACH-000250,-0.19909991678807906
ACH-000251,-0.04209291432269094
ACH-000252,-0.2895841726476248
ACH-000253,-0.1831831051177611
ACH-000255,-0.07025379647584254
ACH-000256,-0.2814815145276425
ACH-000257,-0.08556324298419797
ACH-000258,-0.1825520011010883
ACH-000259,-0.17371016219338006
ACH-000260,-0.1268317690071803
ACH-000261,-0.10049030371845036
ACH-000262,-0.021979237003196827
ACH-000263,-0.4602939331089552
ACH-000264,-0.11324551345106412
ACH-000265,-0.1561798286220872
ACH-000266,-0.2293204037829789
ACH-000272,-0.2546435794861666
ACH-000274,-0.1814458587514241
ACH-000277,-0.7623823214342754
ACH-000278,-0.31422056705473983
ACH-000279,-0.07358107144189747
ACH-000280,-0.37844716134498735
ACH-000281,-0.3005065041173505
ACH-000288,0.01454219477978973
ACH-000291,-0.17703456773326015
ACH-000293,0.12065750620496116
ACH-000294,0.003905458929021536
ACH-000295,-0.1393775712619171
ACH-000296,-0.07243909504502204
ACH-000302,-0.17966077900431765
ACH-000304,-0.3096550855361009
ACH-000307,-0.2486786124706357
ACH-000308,-0.13734470892282347
ACH-000310,-0.07652499643743896
ACH-000311,-0.1613329604642912
ACH-000312,-0.21181962234408572
ACH-000315,-0.11180177143073852
ACH-000316,-0.11203374996681033
ACH-000317,-0.1382623723529171
ACH-000318,-0.06892370354470796
ACH-000319,-0.10202971695664086
ACH-000320,-0.3485374060752243
ACH-000322,-0.1189771725710334
ACH-000323,-0.09826534179051302
ACH-000324,-0.3307006587002129
ACH-000329,-0.07986976992147052
ACH-000330,0.031326521172585775
ACH-000331,-0.2551351079098078
ACH-000332,-0.14260920658392587
