,TMPRSS11F (389208)
ACH-000004,0.19369287389853565
ACH-000005,0.061808153594454
ACH-000007,0.3772483145732346
ACH-000009,0.2494775681710001
ACH-000011,0.2572499425019017
ACH-000012,0.24439691440101136
ACH-000013,0.33494823639487
ACH-000014,0.2929229557581759
ACH-000015,0.30688818035779264
ACH-000017,0.25514477361159044
ACH-000018,0.013231870850564459
ACH-000019,0.3628723548948589
ACH-000021,0.3247705478080431
ACH-000022,0.2256614925509181
ACH-000025,0.3126760121304337
ACH-000028,0.3006332523150741
ACH-000030,0.2622680558583831
ACH-000035,0.23268290728416116
ACH-000036,0.24020871122754986
ACH-000037,0.30230391789573524
ACH-000039,0.3749138322827431
ACH-000040,0.2318623115087846
ACH-000041,0.2430753201958068
ACH-000042,0.299930031384832
ACH-000045,0.32033621079875296
ACH-000047,0.28888034315738026
ACH-000052,0.13276929938768992
ACH-000053,0.21606531355310285
ACH-000054,0.3414093584670059
ACH-000055,0.3774715111702967
ACH-000060,0.2375920833233949
ACH-000067,0.3699609190889248
ACH-000070,0.3189005068634176
ACH-000075,0.06438782951175118
ACH-000078,0.2553141332173608
ACH-000082,0.22898794231145236
ACH-000085,0.2576213950125971
ACH-000086,0.3906436433840063
ACH-000087,0.26258437644699106
ACH-000092,0.2626072678573828
ACH-000095,0.24244539056232398
ACH-000097,0.3026779425745149
ACH-000098,0.1846305259800824
ACH-000099,0.3015364522933893
ACH-000108,0.243360096871474
ACH-000113,0.24048483867173925
ACH-000116,0.20311452693644289
ACH-000118,0.2230321192092773
ACH-000120,0.2962045062012195
ACH-000123,0.13211523053665256
ACH-000127,0.3247555323241525
ACH-000128,0.2789243512566251
ACH-000132,0.3507850835122284
ACH-000133,0.3112252725470443
ACH-000137,0.22481421448126454
ACH-000138,0.2691789129572287
ACH-000142,0.2846158017132401
ACH-000143,0.38349333945809216
ACH-000146,0.2625452503044289
ACH-000148,0.2550390724501421
ACH-000150,0.2535731978603093
ACH-000152,0.3651955100814455
ACH-000153,0.09328725544799048
ACH-000159,0.26237247225173205
ACH-000160,0.24528870467177485
ACH-000163,0.1882800723527796
ACH-000167,0.0636858115688331
ACH-000168,0.2962972681151139
ACH-000169,0.2739402816981392
ACH-000178,0.2172240547667082
ACH-000183,0.2264931089754511
ACH-000188,0.2515531506532324
ACH-000189,0.060678481311492574
ACH-000190,0.1851594131163172
ACH-000198,0.3004594220232593
ACH-000203,0.6061484669410738
ACH-000204,0.26440219737367066
ACH-000206,0.4450049732159913
ACH-000207,0.3477801245943783
ACH-000208,0.2132004902856012
ACH-000210,0.275041056263544
ACH-000211,0.2847075390311279
ACH-000215,0.32090101051427583
ACH-000221,0.2171792641676175
ACH-000222,0.2160579173169523
ACH-000223,0.2665534908827015
ACH-000226,0.3493882062666497
ACH-000227,0.3734224394731561
ACH-000228,0.2000923136251456
ACH-000231,0.2993784264900452
ACH-000232,0.40492525656130973
ACH-000233,0.2033701912928801
ACH-000234,0.2898880992202385
ACH-000235,0.29511012341717435
