,MEIG1 (644890)
ACH-000004,0.2609505680784994
ACH-000005,0.18075895807685086
ACH-000007,0.2799956522356013
ACH-000009,0.24828945359016105
ACH-000011,0.3072910003808507
ACH-000012,0.2302001385726417
ACH-000013,0.246322466972546
ACH-000014,0.22735697365002255
ACH-000015,0.27903300811403003
ACH-000017,0.17363770107787455
ACH-000018,0.3149808879284955
ACH-000019,0.3113587510593379
ACH-000021,0.1807946736036591
ACH-000022,0.2478161193601868
ACH-000025,0.3282087960728483
ACH-000028,0.2891139739316702
ACH-000030,0.19620967485898974
ACH-000035,0.17160619048128978
ACH-000036,0.2647025010963392
ACH-000037,0.2819556747928748
ACH-000039,0.2914804255203355
ACH-000040,0.3190620289286221
ACH-000041,0.29193927207182685
ACH-000042,0.21497292454945133
ACH-000045,0.3087662986467733
ACH-000047,0.3288681942749629
ACH-000052,0.28042477833017304
ACH-000053,0.2040725746938377
ACH-000054,0.3199399968854377
ACH-000055,0.24900973514713934
ACH-000060,0.20550178948552048
ACH-000067,0.28043009996600105
ACH-000070,0.1929699816023817
ACH-000075,0.29888744481120044
ACH-000078,0.3027285884618957
ACH-000082,0.2985937448127075
ACH-000085,0.1835902852842756
ACH-000086,0.32144157451444205
ACH-000087,0.4423407278367819
ACH-000092,0.2056400669795861
ACH-000095,0.2310506707400142
ACH-000097,0.2372949246814967
ACH-000098,0.2926551703075128
ACH-000099,0.2662864419035069
ACH-000108,0.1684960104348434
ACH-000113,0.28598636458100607
ACH-000116,0.185943030424584
ACH-000118,0.2675316716080948
ACH-000120,0.337685581782153
ACH-000123,0.2459334629305968
ACH-000127,0.19320094611854735
ACH-000128,0.25227523043192285
ACH-000132,0.34390836639113265
ACH-000133,0.3377749836768509
ACH-000137,0.3004507071153874
ACH-000138,0.274099544041892
ACH-000142,0.2560047702344072
ACH-000143,0.3577526763143753
ACH-000146,0.2957510710661244
ACH-000148,0.3105082676983921
ACH-000150,0.16369165228950305
ACH-000152,0.28093777722884644
ACH-000153,0.1333977391095101
ACH-000159,0.2032124231132684
ACH-000160,0.19164571397631047
ACH-000163,0.1893486347890013
ACH-000167,-0.09588544841605696
ACH-000168,0.17785721427337695
ACH-000169,0.29299339155145193
ACH-000178,0.2052742851701677
ACH-000183,0.23742689452701105
ACH-000188,0.2298682608510497
ACH-000189,0.18806447927461384
ACH-000190,0.26672134359549565
ACH-000198,0.16490897331647386
ACH-000203,0.33624256676253084
ACH-000204,0.39366641059885504
ACH-000206,0.35993515563737544
ACH-000207,0.2296187006565468
ACH-000208,0.1926393477051417
ACH-000210,0.1322521515109268
ACH-000211,0.2724548935078938
ACH-000215,0.2609760716302335
ACH-000221,0.2399415548964668
ACH-000222,0.1976771260748237
