,TIAM1 (7074)
ACH-000004,-0.4656754999467861
ACH-000005,0.027916140890861668
ACH-000007,-0.06969635268800574
ACH-000009,-0.016529817079185213
ACH-000011,0.004941828541206078
ACH-000012,-0.1151013874342209
ACH-000013,-0.021377255499057137
ACH-000014,0.035472163242126785
ACH-000015,-0.1310079790082359
ACH-000017,-0.01891430573322905
ACH-000018,0.0906653215453327
ACH-000019,0.10386387232255387
ACH-000021,0.06440980214004575
ACH-000022,-0.02123105181177127
ACH-000025,0.031024318366938333
ACH-000028,-0.07106899351125115
ACH-000030,-0.12185275126349332
ACH-000035,-0.012653965182851648
ACH-000036,0.00501977017623706
ACH-000037,0.0746762975383182
ACH-000039,0.007461572484067861
ACH-000040,0.0993647009467763
ACH-000041,-0.07145871683221378
ACH-000042,-0.1365273818838365
ACH-000045,-0.06874451106644293
ACH-000047,-0.07782453833933876
ACH-000052,-0.1340384043944459
ACH-000053,0.0003124311903837758
ACH-000054,-0.1826431712839513
ACH-000055,-0.012574076863423685
ACH-000060,-0.17184993444756266
ACH-000067,-0.049092473779683315
ACH-000070,-0.1448117074505575
ACH-000075,-0.09400197443950076
ACH-000078,0.030268933783612444
ACH-000082,-0.15064621335594985
ACH-000085,-0.013661373795049362
ACH-000086,-0.014334548624372376
ACH-000087,-0.050532424547654005
ACH-000092,-0.04827216021354753
ACH-000095,-0.018820129540899514
ACH-000097,-0.10227949872978463
ACH-000098,-0.08474065986890712
ACH-000099,-0.02333212807220125
ACH-000108,-0.09925872730519268
ACH-000113,-0.01755857741851245
ACH-000116,-0.12741702585743106
ACH-000118,0.07039376595915861
ACH-000120,-0.12291818823783325
ACH-000123,-0.026595501753264927
ACH-000127,-0.09272526836829692
ACH-000128,-0.08227512087068023
ACH-000132,-0.035812717220185634
ACH-000133,-0.11011258811462203
ACH-000137,-0.18266462841690528
ACH-000138,0.011377458655036414
ACH-000142,-0.09202556449313172
ACH-000143,-0.02705177520952995
ACH-000146,0.03069591299954873
ACH-000148,0.017543395173413426
ACH-000150,-0.08395285086070586
ACH-000152,-0.054445909871088494
ACH-000153,-0.10349926608929028
ACH-000159,-0.11012647067966773
ACH-000160,0.0377147814399447
ACH-000163,-0.06003508542596906
ACH-000167,0.024704129888669032
ACH-000168,-0.21807058009189206
ACH-000169,-0.007087779842767989
ACH-000178,-0.10958537036749508
ACH-000183,-0.16650968851727593
ACH-000188,-0.21375842329541292
ACH-000189,-0.02167806132398437
ACH-000190,-0.0529833017187976
ACH-000198,-0.17801519455936174
ACH-000203,-0.259308189651335
ACH-000204,-0.04349374816325765
ACH-000206,-0.24683515570499714
ACH-000207,-0.032336701118231115
ACH-000208,-0.07126314538846612
ACH-000210,-0.3650097914051637
ACH-000211,-0.07580493466848635
ACH-000215,-0.08439171036657447
ACH-000221,-0.06706931054099198
ACH-000222,-0.2917605544747752
ACH-000223,-0.050946013836753734
ACH-000226,-0.07598146046859851
ACH-000227,-0.16905417079422982
ACH-000228,-0.1294064863852476
ACH-000231,-0.07815781511403433
