,NOA1 (84273)
ACH-000004,-0.16933765289086491
ACH-000005,-0.29671868124019785
ACH-000007,-0.3124574185889917
ACH-000009,-0.18229257227983134
ACH-000011,0.05017080769216427
ACH-000012,-0.2375350863060373
ACH-000013,-0.4052748128522859
ACH-000014,-0.4233246522301186
ACH-000015,-0.39869338464793175
ACH-000017,-0.2851617850639596
ACH-000018,-0.16686562884004633
ACH-000019,-0.3280481433196425
ACH-000021,-0.1542668735715475
ACH-000022,-0.3252913048702277
ACH-000025,-0.15814717885310756
ACH-000028,-0.5904282734931887
ACH-000030,-0.10705308447691186
ACH-000035,-0.20918125863802015
ACH-000036,-0.003943446506478429
ACH-000037,-0.33016272729514723
ACH-000039,-0.06737081266564204
ACH-000040,-0.20832844639668374
ACH-000041,-0.3227518428108792
ACH-000042,-0.059576208893529985
ACH-000045,-0.6155806244294652
ACH-000047,-0.34834631148413586
ACH-000052,-0.3540337333732969
ACH-000053,-0.08595580733544997
ACH-000054,-0.04184401143600718
ACH-000055,-0.1954620786373092
ACH-000060,-0.1675432810539271
ACH-000067,-0.08564741562451729
ACH-000070,-0.2414367675727142
ACH-000075,-0.3518061241721583
ACH-000078,-0.13667358416717512
ACH-000082,-0.2492853968657853
ACH-000085,-0.10325244506433012
ACH-000086,-0.3232444635109553
ACH-000087,-0.11210181234005673
ACH-000092,-0.3387117257347775
ACH-000095,-0.2042741662258365
ACH-000097,-0.188521119006458
ACH-000098,-0.3102758649657589
ACH-000099,-0.10062261416756052
ACH-000108,-0.22506309659720705
ACH-000113,-0.8141971165820392
ACH-000116,-0.2299974503920979
ACH-000118,-0.4400422699967369
ACH-000120,-0.184281110641168
ACH-000123,-0.16808203366981686
ACH-000127,-0.27317690069883915
ACH-000128,-0.4938254350743206
ACH-000132,-0.1973504535519264
ACH-000133,-0.29148050822676097
ACH-000137,-0.194911722742933
ACH-000138,-0.1742797841457968
ACH-000142,-0.22044069292434126
ACH-000143,-0.346001433881922
ACH-000146,-0.17219866316852245
ACH-000148,-0.4225356185640676
ACH-000150,-0.3090223781729297
ACH-000152,-0.2470543297251592
ACH-000153,-0.6414423393437781
