,SLC25A38 (54977)
ACH-000004,-0.08101886772866643
ACH-000005,0.09742295014188143
ACH-000007,0.13909132945982616
ACH-000009,-0.06970170741220233
ACH-000011,-0.033208702606475037
ACH-000012,0.07606292719321713
ACH-000013,-0.021898526369940517
ACH-000014,-0.21369675508971875
ACH-000015,-0.22152952489488592
ACH-000017,-0.06470833916473684
ACH-000018,-0.10841536803926173
ACH-000019,0.07956446467843574
ACH-000021,-0.09750096763108068
ACH-000022,-0.06391207953112261
ACH-000025,-0.13298681542558552
ACH-000028,-0.11790301576782435
ACH-000030,-0.07520091060734686
ACH-000035,0.023172007851039532
ACH-000036,-0.1387172218070773
ACH-000037,-0.10015760504893488
ACH-000039,-0.15013632078305186
ACH-000040,-0.17999761367651915
ACH-000041,-0.011875293741213494
ACH-000042,-0.058535896246079876
ACH-000045,-0.13803184202917754
ACH-000047,-0.09784361137014334
ACH-000052,0.2035516033171917
ACH-000053,-0.09701331141390346
ACH-000054,0.004780339083803638
ACH-000055,-0.05738987272043886
ACH-000060,-0.14645518007465058
ACH-000067,-0.18611439705419572
ACH-000070,-0.17713832697545456
ACH-000075,-0.04073090447921572
ACH-000078,-0.2246617067860848
ACH-000082,-0.06290810839987833
ACH-000085,0.019717437368769016
ACH-000086,-0.2129254356179046
ACH-000087,-0.13259537473124994
ACH-000092,-0.07204202306144468
ACH-000095,-0.15563742023525198
ACH-000097,-0.031856069908636785
ACH-000098,-0.15198290560410446
ACH-000099,-0.040181167856379464
ACH-000108,-0.03980497506613472
ACH-000113,-0.2865305784761691
ACH-000116,0.05892182646636316
ACH-000118,0.026855150676125074
ACH-000120,-0.1084245156327476
ACH-000123,-0.08588949185487088
ACH-000127,-0.1058256177807047
ACH-000128,-0.10297886016834164
ACH-000132,-0.1438182976936178
ACH-000133,-0.16488038029514224
ACH-000137,0.07297421718408338
ACH-000138,-0.1317773241939284
ACH-000142,-0.1782330378832579
ACH-000143,-0.03038456193800997
ACH-000146,-0.06295981494385597
ACH-000148,-0.10391675748550663
ACH-000150,-0.19098344121120694
ACH-000152,0.05755704555046645
ACH-000153,-0.16787638339185204
ACH-000159,-0.22397738319527624
ACH-000160,-0.002383282989293213
ACH-000163,-0.12133731342117247
ACH-000167,0.0686950934259753
ACH-000168,-0.234433862932596
ACH-000169,-0.04183682532362721
ACH-000178,-0.016763032341104784
ACH-000183,0.04846177477244912
ACH-000188,-0.059184910599935976
ACH-000189,-0.3946889439017854
ACH-000190,0.02846486518073125
ACH-000198,-0.1827694741098575
ACH-000203,-0.12139597593770465
ACH-000204,-0.2413984795035337
ACH-000206,-0.17816802779902766
ACH-000207,-0.06741056305729608
ACH-000208,0.0977007078123167
ACH-000210,0.22425967723729645
ACH-000211,-0.17902970101116725
ACH-000215,-0.11137382141527977
ACH-000221,-0.1224699205480383
ACH-000222,-0.1272714772109188
ACH-000223,-0.09939000469270776
ACH-000226,-0.047745253100563635
ACH-000227,-0.07261909893685849
ACH-000228,0.04814967592011502
ACH-000231,-0.1691967193735181
ACH-000232,-0.14413221745768404
ACH-000233,-0.11052340075935184
ACH-000234,-0.15918477791891325
ACH-000235,-0.029108721600607908
ACH-000237,-0.0210370155699704
ACH-000238,-0.06352725972225072
ACH-000242,-0.4446392901414679
ACH-000243,0.025775673019433527
ACH-000244,0.04581014938479762
ACH-000246,-0.17280584654813258
ACH-000248,-0.1033599501973818
ACH-000250,-0.116182091143422
ACH-000251,-0.009479845536805786
ACH-000252,-0.020740660882784544
ACH-000253,-0.011107303896423532
ACH-000255,-0.1231074675511172
ACH-000256,0.1419833115676649
ACH-000257,0.15375434104729516
ACH-000258,0.07727625974148393
ACH-000259,-0.1333018181192937
ACH-000260,-0.038381034096780085
ACH-000261,-0.15881400638504212
ACH-000262,-0.041670586459103584
ACH-000263,-0.09913014696901144
ACH-000264,-0.25476012108732105
ACH-000265,0.02459534005666321
ACH-000266,-0.031775953171730306
ACH-000272,-0.13461454192506914
ACH-000274,-0.09857461606968916
ACH-000277,-0.0110000946513599
ACH-000278,-0.0038771110316322853
ACH-000279,-0.20516153606816392
ACH-000280,-0.02242612885641621
ACH-000281,-0.11706200605740075
ACH-000288,-0.0835365500403415
ACH-000291,-0.2413204111447733
ACH-000293,-0.0801538814882248
ACH-000294,-0.14960899974207392
ACH-000295,0.07230140809459544
ACH-000296,0.01067850012098139
ACH-000302,0.055540068551704624
ACH-000304,-0.1867216860896619
ACH-000307,-0.06628430624638998
ACH-000308,-0.05296737411988805
ACH-000310,-0.122611337873527
ACH-000311,-0.2087891156276717
ACH-000312,-0.05178503612767946
ACH-000315,-0.2005614349955488
ACH-000316,0.07761500831039472
ACH-000317,-0.05229979924936416
ACH-000318,-0.14211405562797633
ACH-000319,-0.12706293352943518
ACH-000320,-0.06596723361441348
ACH-000322,-0.005827328368703451
ACH-000323,-0.07405228604800944
ACH-000324,-0.020067856549636155
ACH-000329,-0.16628342289514625
ACH-000330,0.08915935529539958
ACH-000331,-0.06388496609305762
ACH-000332,-0.12232272902177782
ACH-000334,-0.2946778187345024
ACH-000335,-0.31421784847782525
ACH-000336,-0.15242954752096147
ACH-000337,0.011701232894870796
ACH-000338,-0.25054338549490746
ACH-000339,-0.00369682361010381
ACH-000341,-0.14047998033514625
ACH-000348,0.0160706836207122
ACH-000350,0.13690463437484765
ACH-000352,0.0005699448314049224
ACH-000356,-0.07065489413087331
ACH-000361,-0.06410998605532832
ACH-000362,-0.24274975517951716
ACH-000363,-0.06681047466798115
ACH-000364,-0.021430100152085248
ACH-000365,-0.14286025029894814
ACH-000366,0.011444759200928393
ACH-000368,-0.004966321791397426
ACH-000374,-0.000589069878872709
ACH-000375,0.016208038479449037
ACH-000376,-0.17232520431957776
ACH-000381,-0.1514036509282982
ACH-000383,-0.08315443967789234
ACH-000387,-0.16516881160387967
ACH-000389,-0.1884682678190172
ACH-000390,-0.25353805586641426
ACH-000393,-0.193764331382756
ACH-000395,-0.1957734300337376
ACH-000396,-0.1423261160986562
ACH-000397,0.0519993969976325
ACH-000401,-0.04607521406774319
ACH-000402,0.2560275733371421
ACH-000403,-0.1561239850128512
ACH-000404,-0.20140314681164428
ACH-000406,-0.13429647993343574
ACH-000407,-0.1560038862034612
ACH-000408,-0.1610048598094906
ACH-000410,-0.18646237399036156
ACH-000411,-0.1675135009335299
ACH-000414,-0.1676773259844682
ACH-000415,-0.13935851019810985
ACH-000416,-0.15532318987340976
ACH-000420,0.0335734151349192
ACH-000421,0.006669947723060689
