,GTF2A2 (2958)
ACH-000004,-0.8954219647071681
ACH-000005,-0.7808468413514675
ACH-000007,-1.0491287541627214
ACH-000009,-1.0199629111542612
ACH-000011,-0.8821397013358266
ACH-000012,-1.3270357902614536
ACH-000013,-1.1333677423547104
ACH-000014,-1.1711678894089341
ACH-000015,-1.047491424679662
ACH-000017,-0.9386230439283598
ACH-000018,-1.1378767016019555
ACH-000019,-0.7084037475878739
ACH-000021,-0.702042325879536
ACH-000022,-0.9127354125603406
ACH-000025,-1.1480344648213026
ACH-000028,-0.8973322412131551
ACH-000030,-1.1286658217831722
ACH-000035,-1.24221375831148
ACH-000036,-0.9782366681969412
ACH-000037,-0.5907377261022275
ACH-000039,-1.009185630373858
ACH-000040,-0.9316268479955092
ACH-000041,-1.087560409079945
ACH-000042,-1.0725878102533792
ACH-000045,-0.905924410203122
ACH-000047,-1.0013834260615595
ACH-000052,-1.29272073049858
ACH-000053,-0.9600713509158724
ACH-000054,-0.9862489826941908
ACH-000055,-1.0650669258728187
ACH-000060,-0.9243762228702304
ACH-000067,-0.9202172754218249
ACH-000070,-1.1153721833314423
ACH-000075,-0.7270648057385348
ACH-000078,-0.9877565525562232
ACH-000082,-0.9601990645561236
ACH-000085,-1.1352507348576102
ACH-000086,-1.013122911690696
ACH-000087,-1.2816229992105246
ACH-000092,-0.8685168421143439
ACH-000095,-1.082080097940231
ACH-000097,-1.0495988337415167
ACH-000098,-0.9083226955210748
ACH-000099,-0.8119554398526629
ACH-000108,-1.030855698029988
ACH-000113,-0.7050765385600997
ACH-000116,-1.2187106876205045
ACH-000118,-1.0044751428617384
ACH-000120,-0.9271999868213509
ACH-000123,-1.053228150919845
ACH-000127,-1.0685995914809363
ACH-000128,-1.049194382312232
ACH-000132,-1.1361369283113183
ACH-000133,-0.9697509582836004
ACH-000137,-1.136134093460206
ACH-000138,-0.9164374362866798
ACH-000142,-0.9749450568299152
ACH-000143,-1.094329760032907
ACH-000146,-0.8587188483141596
ACH-000148,-0.9250518600452534
ACH-000150,-1.0841748445335957
ACH-000152,-0.912419897513158
ACH-000153,-0.9941747959726006
ACH-000159,-0.8367361207760025
ACH-000160,-0.6145206950533705
ACH-000163,-0.9626318497271834
ACH-000167,-0.3417047438810843
ACH-000168,-0.8261539211829072
ACH-000169,-1.0767609672118283
ACH-000178,-1.1061548155695553
ACH-000183,-0.8561052407018284
ACH-000188,-1.0072179899488023
ACH-000189,-1.0566521517025915
ACH-000190,-0.5179206632828883
ACH-000198,-0.8751719126829527
ACH-000203,-0.6869020662106291
ACH-000204,-0.9243368161509664
ACH-000206,-0.8595510417170611
ACH-000207,-0.838718136991512
ACH-000208,-1.25280211593207
ACH-000210,-0.9552022087586218
ACH-000211,-0.9044022206553018
ACH-000215,-0.9329048138234184
ACH-000221,-1.1037751355835466
ACH-000222,-1.1261670281368614
ACH-000223,-1.0443738834140532
ACH-000226,-0.9564585251117792
ACH-000227,-0.7637954792199618
ACH-000228,-0.9651734501743422
ACH-000231,-1.2442920901016603
ACH-000232,-0.984499746585914
ACH-000233,-0.9194470630289694
ACH-000234,-0.9974232260706644
ACH-000235,-0.9136532704679556
ACH-000237,-0.977529922841464
ACH-000238,-1.0006195265465356
ACH-000242,-0.708572095649031
ACH-000243,-1.1337016690137078
ACH-000244,-0.7395981786407824
ACH-000246,-0.9787166840783132
ACH-000248,-0.9733588729517456
ACH-000250,-1.0156132570960053
ACH-000251,-1.1603764419329043
ACH-000252,-0.9911755581442866
ACH-000253,-0.9498226108600092
ACH-000255,-1.124677137899072
ACH-000256,-1.1454272770868148
ACH-000257,-1.103406891596083
ACH-000258,-1.1363518197340312
ACH-000259,-0.8850133648929632
ACH-000260,-1.0706800836728492
ACH-000261,-1.070542721575716
ACH-000262,-1.1331091087141143
ACH-000263,-1.0616240786762414
ACH-000264,-0.8185492787645231
ACH-000265,-0.9133352496419284
ACH-000266,-0.8814438193061235
ACH-000272,-1.2267913279148477
ACH-000274,-0.8885677386498375
ACH-000277,-0.713711766609575
ACH-000278,-0.9123816759080344
ACH-000279,-0.9362329575708064
ACH-000280,-1.1095609871972527
ACH-000281,-1.1021148179861773
ACH-000288,-0.9160004525494296
ACH-000291,-1.129118165585028
ACH-000293,-0.9726611056255992
ACH-000294,-1.0216773127562029
ACH-000295,-1.1116374305474033
ACH-000296,-1.0567613321248002
ACH-000302,-0.9704997617434834
ACH-000304,-1.1862020770155166
ACH-000307,-1.099615757001186
ACH-000308,-0.9202285048193964
ACH-000310,-0.7142197052152538
ACH-000311,-0.83372993709874
ACH-000312,-1.045050002118147
ACH-000315,-1.3352146658862705
ACH-000316,-0.9970584049729898
ACH-000317,-1.2213079523748265
ACH-000318,-1.030890418311765
ACH-000319,-1.1016765557625736
ACH-000320,-1.0219825982258892
ACH-000322,-1.0055128355669
ACH-000323,-0.9305468358782792
ACH-000324,-1.1361204197543893
ACH-000329,-0.8704771829221546
ACH-000330,-1.085817860678912
ACH-000331,-0.8679007660324717
ACH-000332,-0.9975746869528114
ACH-000334,-1.2924390690542555
ACH-000335,-1.178726672145769
ACH-000336,-0.4745024734131361
ACH-000337,-1.1175324652648608
ACH-000338,-0.9574065093052188
ACH-000339,-0.9429575158575809
ACH-000341,-0.7352737222414993
ACH-000348,-0.9422639396275744
ACH-000350,-0.8449585350005872
ACH-000352,-1.0192273822949711
ACH-000356,-0.9437316185163144
ACH-000361,-1.1458436324952304
ACH-000362,-0.7995006588410017
ACH-000363,-1.010178469631277
ACH-000364,-0.9654686321408584
ACH-000365,-0.9626602236568264
ACH-000366,-0.9269424491141912
ACH-000368,-0.96078134823903
ACH-000374,-1.0274382270948428
ACH-000375,-0.6540139439427961
ACH-000376,-0.8701893150775072
ACH-000381,-0.8722499193872991
ACH-000383,-0.917280117137426
ACH-000387,-0.8811257011923792
ACH-000389,-0.7802898208624803
ACH-000390,-1.1070051636391856
ACH-000393,-1.2489438893113172
ACH-000395,-0.8576372318786659
ACH-000396,-1.223505009598858
ACH-000397,-0.98364577696905
ACH-000401,-0.8306229285663185
ACH-000402,-1.345153371418372
ACH-000403,-0.9691731474140372
ACH-000404,-1.3178307529979478
ACH-000406,-0.8553533959518609
ACH-000407,-1.2463177035193984
ACH-000408,-1.1649270923285506
ACH-000410,-1.2404259387694134
ACH-000411,-0.7941888330114966
ACH-000414,-1.176918656819616
ACH-000415,-1.248882589725574
ACH-000416,-1.0877739890206433
ACH-000420,-0.7929590795917344
ACH-000421,-0.9621714121332108
ACH-000424,-1.067325787981953
ACH-000425,-0.9363076086453777
ACH-000426,-1.2633162693290554
ACH-000427,-0.8828185272342693
