,MPLKIP (136647)
ACH-000004,0.12459942500289675
ACH-000005,0.08447401782856333
ACH-000007,-0.19671940068286747
ACH-000009,-0.14697630460782654
ACH-000011,-0.0986681680524897
ACH-000012,-0.18092638499346608
ACH-000013,-0.1428209153445986
ACH-000014,-0.2334611220081535
ACH-000015,-0.014226423173652981
ACH-000017,-0.029918585657815636
ACH-000018,-0.2366837487980239
ACH-000019,-0.17747704791072133
ACH-000021,-0.12579812140249694
ACH-000022,0.018627776622518483
ACH-000025,-0.21087241302644028
ACH-000028,-0.10776807529623993
ACH-000030,-0.02570897582132047
ACH-000035,-0.15925717351783727
ACH-000036,-0.09534963971127333
ACH-000037,-0.20740560422523552
ACH-000039,-0.2291238358679296
ACH-000040,-0.043876360780168606
ACH-000041,-0.06859564811859874
ACH-000042,-0.0889668478939534
ACH-000045,-0.14457338150986201
ACH-000047,-0.025603796280766783
ACH-000052,-0.0825905160571788
ACH-000053,-0.16759010763147913
ACH-000054,-0.24574888021985725
ACH-000055,0.040978701120544365
ACH-000060,-0.040053421263759485
ACH-000067,-0.07674879888507806
ACH-000070,-0.3138048405553006
ACH-000075,-0.14279147557159866
ACH-000078,0.04527880806979349
ACH-000082,-0.20510096046436493
ACH-000085,-0.18787310357422846
ACH-000086,0.02872966206744608
ACH-000087,-0.052150350645056784
ACH-000092,-0.01389841674969603
ACH-000095,-0.12659001567663386
ACH-000097,-0.1774421217944068
ACH-000098,-0.08112049865784432
ACH-000099,-0.18684220416843086
ACH-000108,0.021209289237716738
ACH-000113,0.0008089516993491965
ACH-000116,-0.08731452865026594
ACH-000118,-0.05198964526135203
ACH-000120,-0.0743408403486917
ACH-000123,-0.16844606899533582
ACH-000127,-0.15868537389949053
ACH-000128,-0.1421553959968806
ACH-000132,-0.07788677233669318
ACH-000133,-0.17321230145980338
ACH-000137,-0.19631336516737494
ACH-000138,-0.06089939885161823
ACH-000142,-0.05430662627465895
ACH-000143,-0.055885962606113136
ACH-000146,-0.08790471324269447
ACH-000148,-0.05236821954489386
ACH-000150,-0.08222827527746479
ACH-000152,-0.21226356594960846
ACH-000153,-0.344338239333373
ACH-000159,-0.20223349249402664
ACH-000160,0.0053097520192473355
ACH-000163,-0.0492816334555103
ACH-000167,-0.2654187614631629
ACH-000168,-0.02215021334632954
ACH-000169,-0.2856080065708303
ACH-000178,-0.1844654698500868
ACH-000183,-0.12554417933558487
ACH-000188,-0.26659344678831204
ACH-000189,-0.08820537412660237
ACH-000190,-0.2085444585653348
ACH-000198,-0.08228481290461714
ACH-000203,-0.41954407628725937
ACH-000204,-0.4151547818713905
