,GLTP (51228)
ACH-000004,-0.20452959766180845
ACH-000005,0.23285567609889934
ACH-000007,0.07931501816466599
ACH-000009,-0.0168442023172388
ACH-000011,-0.1105605702803489
ACH-000012,-0.16225746022565
ACH-000013,-0.12475520911871467
ACH-000014,-0.1299651867652803
ACH-000015,0.02662065801557769
ACH-000017,-0.15605685795309004
ACH-000018,0.072643212621473
ACH-000019,0.14998886599857764
ACH-000021,-0.1539909446683813
ACH-000022,-0.02067659154934255
ACH-000025,-0.2966574711140212
ACH-000028,-0.024801126466127175
ACH-000030,-0.2697266988306504
ACH-000035,0.0701789860005582
ACH-000036,0.032757864937510546
ACH-000037,-0.07742046974104565
ACH-000039,-0.12416612405614033
ACH-000040,-0.16060465130295878
ACH-000041,-0.09963119563634068
ACH-000042,-0.3208765207487653
ACH-000045,-0.28670685004097257
ACH-000047,0.032619433672492
ACH-000052,0.04879529275436858
ACH-000053,-0.06653195194534273
ACH-000054,0.003281646992461538
ACH-000055,0.0076624482027909235
ACH-000060,-0.1848755843611484
ACH-000067,-0.3697312863088112
ACH-000070,-0.3684838820248719
ACH-000075,-0.0074685555625565595
ACH-000078,-0.1830904645759869
ACH-000082,-0.0030544895881814416
ACH-000085,0.0799687100852681
ACH-000086,-0.15875718383171716
ACH-000087,-0.12909925846424394
ACH-000092,-0.07831947529536211
ACH-000095,0.024627965393074484
ACH-000097,-0.06244060170149795
ACH-000098,-0.2214775641265496
ACH-000099,-0.0010789746434499974
ACH-000108,-0.07226525513224384
ACH-000113,-0.0477939087087087
ACH-000116,-0.10581868450391818
ACH-000118,-0.010924727848038905
ACH-000120,-0.11017440003061567
ACH-000123,-0.11367930577460125
ACH-000127,-0.17028986270019555
ACH-000128,-0.030976620339566545
ACH-000132,-0.12543606639920896
ACH-000133,-0.2130169601109021
ACH-000137,-0.01612795455626989
ACH-000138,-0.2144033239896618
ACH-000142,-0.26586449864527395
ACH-000143,-0.04265575922599547
ACH-000146,-0.17613787398682615
ACH-000148,-0.14996839303099666
ACH-000150,0.041257107968869416
ACH-000152,-0.07350702859198373
ACH-000153,-0.3590059614668527
ACH-000159,-0.11202608166139767
ACH-000160,-0.1550963123380156
ACH-000163,0.017306959538695984
ACH-000167,-0.3505987072883988
ACH-000168,-0.08969214839417168
ACH-000169,-0.01615798454553284
ACH-000178,-0.05656885325449724
ACH-000183,-0.04317548689106797
ACH-000188,-0.1000771000174336
ACH-000189,-0.27995402136821845
ACH-000190,-0.10258988040653094
ACH-000198,-0.1433133248555957
ACH-000203,-0.5594776132923741
ACH-000204,-0.012003517284653587
ACH-000206,-0.13800522056043146
