,DNMT3A (1788)
ACH-000004,0.19492661821916268
ACH-000005,-0.0020191430317106646
ACH-000007,-0.03227117402485817
ACH-000009,0.05666215916976504
ACH-000011,0.012053654046503841
ACH-000012,0.10692073690719847
ACH-000013,0.16431844511945612
ACH-000014,-0.005446644238811365
ACH-000015,0.16912074537670152
ACH-000017,0.18009981362773722
ACH-000018,0.05129046887261876
ACH-000019,0.21841183781373813
ACH-000021,0.11223463854292548
ACH-000022,0.12142620667733793
ACH-000025,0.20668982119670845
ACH-000028,0.085172472782907
ACH-000030,0.10291685742652837
ACH-000035,0.11384527532347445
ACH-000036,0.15208271949999244
ACH-000037,-0.023057361571761685
ACH-000039,0.10531117170023788
ACH-000040,0.062218289771203326
ACH-000041,0.04328338685562568
ACH-000042,0.06761663153492906
ACH-000045,0.09787721048912587
ACH-000047,0.1557923349121853
ACH-000052,0.10348418468268608
ACH-000053,0.16133657801540405
ACH-000054,0.11382383495403832
ACH-000055,0.15388408491337996
ACH-000060,0.09283448624277464
ACH-000067,0.16391391949779927
ACH-000070,0.16358179880558654
ACH-000075,0.02111080009050676
ACH-000078,0.010020519140955031
ACH-000082,0.12091502745816615
ACH-000085,0.1993465106660426
ACH-000086,0.0903786451073342
ACH-000087,-0.16619436922980402
ACH-000092,-0.05218010757376816
ACH-000095,0.002714318448825248
ACH-000097,0.12581214581001934
ACH-000098,0.11860298647171807
ACH-000099,0.09623636737171803
ACH-000108,0.08828245896687402
ACH-000113,0.10407189831641182
ACH-000116,0.22404980266022465
ACH-000118,0.1625896639098979
ACH-000120,-0.026716054840714737
ACH-000123,0.043396777881423335
ACH-000127,0.12669319733367376
ACH-000128,0.01933459526427482
ACH-000132,0.11394732409638215
ACH-000133,0.2288611868877068
ACH-000137,-0.0002151702079006799
ACH-000138,-0.009680051775080694
ACH-000142,0.05931080488249019
ACH-000143,-0.1923805837023788
ACH-000146,0.1355543482024609
ACH-000148,0.09169200421125002
ACH-000150,0.08129287534880304
ACH-000152,0.2251370788000533
ACH-000153,0.14306457798431216
ACH-000159,0.12233687448386192
ACH-000160,0.4835716633277997
ACH-000163,0.10741402044533972
ACH-000167,0.8802825227416791
ACH-000168,0.07774491567964395
ACH-000169,0.19307883084187144
ACH-000178,0.25640104107950434
ACH-000183,0.1491570538806864
ACH-000188,0.16274517759822288
ACH-000189,-0.003641328455904118
ACH-000190,0.3862218931630255
ACH-000198,0.12806070297003086
ACH-000203,-0.030726771094027883
ACH-000204,0.2696285163700634
ACH-000206,0.13066933279039522
ACH-000207,0.06847420576563518
ACH-000208,0.25873029761116445
ACH-000210,0.21065374807984655
ACH-000211,0.1496021502912488
ACH-000215,0.06451907239413872
ACH-000221,0.1761808939140509
ACH-000222,0.030016887680273593
ACH-000223,0.17166915427835605
ACH-000226,-0.051768019069531636
ACH-000227,-0.0454044634652749
ACH-000228,0.08514316326176248
ACH-000231,0.0520596742331233
ACH-000232,0.013536547277250777
ACH-000233,-0.008295970559066945
ACH-000234,0.04919931452805363
ACH-000235,0.15392391226885282
ACH-000237,0.2337375038991945
ACH-000238,-0.004826235164187923
ACH-000242,-0.0326041567584019
ACH-000243,0.1238288836297034
ACH-000244,0.042476734036910636
ACH-000246,0.002647793292881628
ACH-000248,0.2732507342967026
ACH-000250,0.09006373193914509
ACH-000251,0.2458463003138574
ACH-000252,0.17052323818206924
ACH-000253,0.1922094995873982
ACH-000255,0.17734574128232292
ACH-000256,0.042911656700261126
ACH-000257,0.028612545026410512
ACH-000258,0.4493226234011902
ACH-000259,0.05932994096718819
ACH-000260,0.21012382224770065
ACH-000261,0.044297828887078866
ACH-000262,0.201288991712801
ACH-000263,-0.3260243038590278
ACH-000264,0.2005968732503651
ACH-000265,-0.02246437980393859
ACH-000266,0.05613714416969348
ACH-000272,0.038309011190418234
ACH-000274,-0.01553846623832916
ACH-000277,0.06324447251022419
ACH-000278,0.11524926856846653
ACH-000279,0.054974623840238455
ACH-000280,0.09079996926038916
ACH-000281,-0.01865128708175035
ACH-000288,0.12043014176310606
ACH-000291,0.10202830014965686
ACH-000293,0.21827091978618168
ACH-000294,0.08480028875107884
ACH-000295,0.13132345177630705
ACH-000296,0.2935125973840416
ACH-000302,0.13975095416692765
ACH-000304,0.22841859364056336
ACH-000307,0.14298864666852815
ACH-000308,0.1413500880701599
ACH-000310,0.23885367864275756
ACH-000311,0.0047897778192101045
ACH-000312,0.03501231934092393
ACH-000315,-0.2123346047587713
ACH-000316,-0.038500285458175854
ACH-000317,0.12371026075691847
ACH-000318,0.10200688627283877
ACH-000319,0.15169002684516755
ACH-000320,0.35834807022200343
ACH-000322,0.14165525658738695
ACH-000323,0.21230821697997174
ACH-000324,0.029015874960762286
ACH-000329,0.23131431794792265
ACH-000330,0.3026641693758496
ACH-000331,0.12844466831061135
ACH-000332,0.047239736834211565
ACH-000334,0.31361988660765444
ACH-000335,-0.010332918996947769
ACH-000336,0.24958837270412626
ACH-000337,0.028112333952776142
ACH-000338,0.0029517913311242106
ACH-000339,0.18482563265451651
ACH-000341,0.1613665507409362
ACH-000348,0.16879522998356514
ACH-000350,0.07797950897400799
ACH-000352,0.03881341448678352
ACH-000356,-0.01643475960617893
ACH-000361,-0.1534518545196428
ACH-000362,-0.012609331612886871
ACH-000363,0.1149010258035138
ACH-000364,0.21523183022900866
ACH-000365,0.13011270524522828
ACH-000366,0.07034752028962296
ACH-000368,0.0142780305472543
