,FOXM1 (2305)
ACH-000004,-0.5040934956491676
ACH-000005,-0.22524580387548165
ACH-000007,-0.15579628115264235
ACH-000009,-0.290474003573819
ACH-000011,-0.4585004589231076
ACH-000012,-0.29008001360687186
ACH-000013,-0.10792134027960676
ACH-000014,-0.3698887527707613
ACH-000015,-0.3024845270269106
ACH-000017,-0.2592818093348718
ACH-000018,-0.19571855715428088
ACH-000019,-0.494039272996014
ACH-000021,-0.13637641389244204
ACH-000022,-0.15942647851461553
ACH-000025,-0.1527228690066424
ACH-000028,-0.35193670113847714
ACH-000030,-0.2542709943837477
ACH-000035,-0.4064154972124093
ACH-000036,-0.3370961169636013
ACH-000037,-0.2553047436459515
ACH-000039,-0.28429528203495874
ACH-000040,-0.3250876881192145
ACH-000041,-0.3233881986643736
ACH-000042,-0.3793130901462701
ACH-000045,-0.09211231374257868
ACH-000047,-0.4829919994040495
ACH-000052,-0.17224376093916746
ACH-000053,-0.2410475524398973
ACH-000054,-0.3318502352504819
ACH-000055,-0.4873847768381683
ACH-000060,-0.2385598389469133
ACH-000067,-0.4591386878363834
ACH-000070,-0.2488447282796619
ACH-000075,-0.19579021310384198
ACH-000078,-0.21303223040666566
ACH-000082,-0.33540437347295443
ACH-000085,-0.5478309260454396
ACH-000086,-0.4017873566928549
ACH-000087,-0.2543297696808385
ACH-000092,-0.1832298720108033
ACH-000095,-0.4178079854049968
ACH-000097,-0.1908107714749333
ACH-000098,-0.19866643844580212
ACH-000099,-0.0633587077690346
ACH-000108,-0.3603927462753612
ACH-000113,-0.17680041752041006
ACH-000116,-0.3819751917968669
ACH-000118,-0.21090411980495224
ACH-000120,-0.3907535032661902
ACH-000123,-0.21858603292979392
ACH-000127,-0.3267198283953137
ACH-000128,-0.7017220518896954
ACH-000132,-0.3023567298050335
ACH-000133,-0.36776937295363343
ACH-000137,0.05524515003019392
ACH-000138,-0.3063311612200261
ACH-000142,-0.1807773712552837
ACH-000143,-0.4396770798232635
ACH-000146,-0.17768571367422364
ACH-000148,-0.3543898632823633
ACH-000150,-0.4791329960470561
ACH-000152,-0.18046283654857856
ACH-000153,-0.2227500397808128
ACH-000159,-0.4649816359868703
ACH-000160,-0.2947810196943779
ACH-000163,-0.3116763778448661
ACH-000167,-0.3415479180282519
ACH-000168,0.019747266505877544
ACH-000169,-0.33465767883719344
ACH-000178,-0.4748299614091232
ACH-000183,-0.20528787983297112
ACH-000188,-0.31521623644065844
ACH-000189,-0.19036568957111816
ACH-000190,-0.3389944301233385
ACH-000198,-0.2633556814606797
ACH-000203,-0.2434194758468255
ACH-000204,-0.4057277661943816
ACH-000206,-0.3503337980377881
ACH-000207,-0.33179926986952063
ACH-000208,-0.4148427807747797
ACH-000210,0.04816921346462075
ACH-000211,-0.18063303397556596
ACH-000215,-0.2842694962055321
ACH-000221,-0.4102171217818539
ACH-000222,-0.5367496476196605
ACH-000223,-0.504027522814803
ACH-000226,-0.02882125775349761
ACH-000227,-0.3121858311550762
ACH-000228,-0.6416418944596111
ACH-000231,-0.17232658654434946
ACH-000232,-0.3055438685385131
ACH-000233,-0.2315925219138608
ACH-000234,-0.22870401792724585
ACH-000235,-0.508191611505221
ACH-000237,-0.3101320774017749
ACH-000238,-0.4058130642120196
ACH-000242,-0.515306113605459
ACH-000243,-0.14806887856565218
ACH-000244,0.01704364952072548
ACH-000246,-0.2341533122082343
ACH-000248,-0.10202162879591292
ACH-000250,-0.28854807077378497
ACH-000251,-0.0831540955792774
ACH-000252,-0.7167333561837114
ACH-000253,-0.2641906854563865
ACH-000255,0.012586474882377754
ACH-000256,-0.5830056576435803
ACH-000257,-0.6021098940467869
ACH-000258,-0.21027158047126085
ACH-000259,-0.2564795820237479
ACH-000260,-0.1930195016420571
ACH-000261,-0.4800272496881183
ACH-000262,-0.2944630214238257
ACH-000263,-0.4305428472494642
ACH-000264,-0.2266323708662418
ACH-000265,-0.39130109509901184
ACH-000266,-0.4048697913568377
ACH-000272,-0.4128834918776381
ACH-000274,-0.25099975850662515
ACH-000277,-0.4097786177761855
ACH-000278,-0.35719562982912884
ACH-000279,-0.3264484632402563
ACH-000280,-0.3199518595433107
ACH-000281,-0.2851871208916965
ACH-000288,-0.4593149233949894
ACH-000291,-0.10921811928938854
ACH-000293,-0.11956999021028533
ACH-000294,-0.07273212254032413
ACH-000295,-0.1872689319972318
ACH-000296,-0.17528985078015952
ACH-000302,-0.1428809496764045
ACH-000304,-0.2901570785011731
ACH-000307,-0.4714432450269486
ACH-000308,-0.10094983343670907
ACH-000310,-0.31322271897198234
ACH-000311,-0.0912028902533417
ACH-000312,-0.33010967056635704
ACH-000315,0.07925919700316382
ACH-000316,-0.2272571998094369
ACH-000317,-0.5360655768817346
ACH-000318,-0.3873795599794398
ACH-000319,-0.38264984530991214
ACH-000320,-0.4302695850348278
ACH-000322,-0.6032343039875578
ACH-000323,-0.3704468286343905
ACH-000324,-0.26881875675861505
ACH-000329,-0.1867566630885263
ACH-000330,-0.5986206291850571
ACH-000331,-0.2604179906663615
ACH-000332,-0.3944926667493451
ACH-000334,-0.4666882664289454
ACH-000335,-0.2073974914117772
ACH-000336,-0.5259544402755667
ACH-000337,-0.12969972406505526
ACH-000338,-0.7458534661302729
