,TAT (6898)
ACH-000004,-0.11962276043449732
ACH-000005,-0.07052885725254876
ACH-000007,0.0037123506972667813
ACH-000009,0.02738811011349329
ACH-000011,-0.2873706633519744
ACH-000012,-0.1879777664701625
ACH-000013,-0.1494551510014658
ACH-000014,-0.05417309360367948
ACH-000015,-0.06428231416541458
ACH-000017,-0.10076538338641916
ACH-000018,-0.29797162205489475
ACH-000019,-0.3328196553064713
ACH-000021,-0.06418696621235566
ACH-000022,0.08224842289042829
ACH-000025,-0.2302657172292136
ACH-000028,0.05217439067165745
ACH-000030,-0.02111665631098977
ACH-000035,0.05226116448282954
ACH-000036,-0.013397976111387204
ACH-000037,-0.17128524757217006
ACH-000039,-0.11420901184952513
ACH-000040,-0.12791378945023058
ACH-000041,-0.002531894283666757
ACH-000042,-0.16286673454275644
ACH-000045,-0.07836066309815963
ACH-000047,-0.12987846311757564
ACH-000052,0.04166095062528072
ACH-000053,-0.011301896660410172
ACH-000054,-0.1826434742621927
ACH-000055,0.011363614517334216
ACH-000060,-0.16417845778328102
ACH-000067,-0.00806061275144201
ACH-000070,-0.25144571165590324
ACH-000075,0.12791993177643707
ACH-000078,-0.18383362599354894
ACH-000082,-0.18268338721913085
ACH-000085,-0.2142112363617608
ACH-000086,-0.12689277852768324
ACH-000087,-0.2826650345362249
ACH-000092,0.0284508423669463
ACH-000095,-0.14319094914316252
ACH-000097,-0.16059649877529025
ACH-000098,-0.1249246159364587
ACH-000099,-0.028723287268686188
ACH-000108,-0.13129058203811345
ACH-000113,-0.03540749266940077
ACH-000116,-0.10025607125884517
ACH-000118,-0.11469915999030933
ACH-000120,-0.03231704961888979
ACH-000123,0.023538963344208404
ACH-000127,-0.09091709454446244
ACH-000128,-0.08120944794242886
ACH-000132,-0.05119349877343842
ACH-000133,-0.14741329973503325
ACH-000137,-0.14538759341191207
ACH-000138,0.023362196736476472
ACH-000142,0.023421853288118983
ACH-000143,-0.10669243566779403
ACH-000146,-0.013170090968582043
ACH-000148,-0.1257240594799524
ACH-000150,-0.09078543114361998
ACH-000152,-0.16927183071648536
ACH-000153,0.08385647599033172
ACH-000159,0.04648763307373065
ACH-000160,0.2159353504328848
ACH-000163,0.05935464593736894
ACH-000167,0.7883601638826163
ACH-000168,-0.004112023501644132
ACH-000169,-0.13875782661016786
