,DPAGT1 (1798)
ACH-000004,-1.0901546049324462
ACH-000005,-1.0252129204904663
ACH-000007,-1.271051779634375
ACH-000009,-1.3087960052065637
ACH-000011,-1.7543559959186887
ACH-000012,-1.2194936622164692
ACH-000013,-1.7202908151304424
ACH-000014,-1.5876751004995098
ACH-000015,-1.4579812810077033
ACH-000017,-1.1847100902248435
ACH-000018,-1.3467538502459324
ACH-000019,-0.6248987285220099
ACH-000021,-0.7834033396189832
ACH-000022,-1.2829313245865064
ACH-000025,-1.4290436334626344
ACH-000028,-1.4183584301992709
ACH-000030,-1.5773006191321155
ACH-000035,-1.355654112691016
ACH-000036,-1.311017458766882
ACH-000037,-1.050622473055581
ACH-000039,-1.7597817741478423
ACH-000040,-1.0972647125526047
ACH-000041,-1.4887689872599954
ACH-000042,-1.6869742323083
ACH-000045,-1.4056709579262097
ACH-000047,-1.5538980474201922
ACH-000052,-1.219315419638975
ACH-000053,-1.3776262728295834
ACH-000054,-1.2631771532672431
ACH-000055,-1.2107072206869625
ACH-000060,-1.3465163023753997
ACH-000067,-1.3723874461672232
ACH-000070,-1.2604851151476542
ACH-000075,-1.5901912006020302
ACH-000078,-1.3615696280648315
ACH-000082,-1.2067997800612629
ACH-000085,-1.3234608854533312
ACH-000086,-1.1343670448425716
ACH-000087,-1.1808285610327265
ACH-000092,-1.409046666701788
ACH-000095,-1.2020075016172476
ACH-000097,-1.4320708323563456
ACH-000098,-1.3996165041816462
ACH-000099,-1.329864869508702
ACH-000108,-1.5246512386505775
ACH-000113,-1.2098783452764696
ACH-000116,-1.5784825691301891
ACH-000118,-1.6143101453174489
ACH-000120,-1.394179534973763
ACH-000123,-1.4251944377237231
ACH-000127,-1.3132588423930749
ACH-000128,-1.3341110018307012
ACH-000132,-1.6022996880918348
ACH-000133,-1.3977534789604216
ACH-000137,-1.6116821536949577
ACH-000138,-1.4677690623218482
ACH-000142,-1.2577332757941664
ACH-000143,-1.415612005453439
ACH-000146,-0.9035115469916336
ACH-000148,-1.7802363396535823
ACH-000150,-1.41004141904932
ACH-000152,-1.1734798589982338
ACH-000153,-1.922332554493344
ACH-000159,-1.22533610252355
ACH-000160,-1.6881727608655714
ACH-000163,-1.5608861389972923
ACH-000167,-2.603412496073056
ACH-000168,-1.703837505938459
ACH-000169,-1.565241393102465
ACH-000178,-1.4454544670697484
ACH-000183,-1.4751680936887042
ACH-000188,-1.3286381732597603
ACH-000189,-1.4736234874245
ACH-000190,-1.2703166063471218
ACH-000198,-1.3089396067344574
ACH-000203,-1.406475799837291
ACH-000204,-1.5023135286570908
ACH-000206,-1.6439984521892947
ACH-000207,-1.2460603980021678
ACH-000208,-1.4092440777036102
ACH-000210,-1.6649438149238902
ACH-000211,-1.1766176477094996
ACH-000215,-1.3280457882243704
ACH-000221,-1.5717170370810911
ACH-000222,-1.6250284322907118
ACH-000223,-1.1329563797050195
ACH-000226,-1.1981763330155022
ACH-000227,-1.0461638279940444
ACH-000228,-1.4601642796591114
ACH-000231,-1.2785540386544816
ACH-000232,-1.3933180499630629
ACH-000233,-1.427493620894
ACH-000234,-1.4962110410873453
ACH-000235,-1.4613594474221756
ACH-000237,-1.5472676085529122
ACH-000238,-1.4541136810294426
ACH-000242,-1.2423850890085135
ACH-000243,-1.6070396796869453
ACH-000244,-1.2841874695882307
ACH-000246,-1.4824755675913417
ACH-000248,-1.4587366981793355
ACH-000250,-1.4550802279527533
ACH-000251,-1.7507386061501011
ACH-000252,-1.328270068797572
ACH-000253,-1.4298970197737353
ACH-000255,-1.503357206382378
ACH-000256,-1.374089493950216
ACH-000257,-1.2713708061064892
ACH-000258,-1.0723191127584493
ACH-000259,-1.8046765197630037
ACH-000260,-1.6826363605404775
ACH-000261,-1.3891979534299117
ACH-000262,-1.5965974181025444
ACH-000263,-0.9926584640884172
ACH-000264,-1.537042787190904
ACH-000265,-1.4599651517688232
ACH-000266,-1.279522948487564
ACH-000272,-1.4810415585746286
ACH-000274,-1.4757426727722167
ACH-000277,-1.344036666296209
ACH-000278,-1.5451439313449626
ACH-000279,-1.3896028517852226
ACH-000280,-1.467010183975081
ACH-000281,-1.5446780581841937
ACH-000288,-1.4549661739472304
ACH-000291,-1.40654697484975
ACH-000293,-0.9602865024172956
ACH-000294,-1.6554498073820745
ACH-000295,-1.3224517815731056
ACH-000296,-1.2184160227634002
ACH-000302,-1.0537759856012678
ACH-000304,-2.234558811536238
ACH-000307,-1.6614315364123535
ACH-000308,-1.3858829237075947
ACH-000310,-0.7794192372416694
ACH-000311,-1.6796146715220115
ACH-000312,-1.5887969595490992
ACH-000315,-1.2335724974547426
ACH-000316,-1.4153004425172702
ACH-000317,-1.9373262472926844
ACH-000318,-1.4311360917128724
ACH-000319,-1.446793402162865
ACH-000320,-1.7357754844249054
ACH-000322,-1.2302819291254885
ACH-000323,-1.297858900867185
ACH-000324,-1.2937683097601886
ACH-000329,-1.3752861808846242
ACH-000330,-1.4828494403983823
ACH-000331,-1.418693767532497
ACH-000332,-1.364550059373884
ACH-000334,-0.6295493208502378
ACH-000335,-1.290478605960453
ACH-000336,-1.381231947487934
