,PDGFRB (5159)
ACH-000004,-0.034292603972275335
ACH-000005,-0.11468263566641786
ACH-000007,-0.0969601190901772
ACH-000009,-0.16919154238853287
ACH-000011,-0.090362172420708
ACH-000012,-0.18762105148175715
ACH-000013,-0.051051368205592286
ACH-000014,0.06217263321321185
ACH-000015,-0.12954561100208362
ACH-000017,-0.07933400626055245
ACH-000018,0.000652824396137253
ACH-000019,0.06755766763277346
ACH-000021,-0.11192237526884716
ACH-000022,-0.0781531648175077
ACH-000025,0.056297406902811015
ACH-000028,-0.08161987512862617
ACH-000030,-0.08725013142839279
ACH-000035,-0.17677224028061206
ACH-000036,-0.40076918479163104
ACH-000037,-0.15012484298001502
ACH-000039,-0.1974840760951121
ACH-000040,-0.1248343320180182
ACH-000041,-0.1093471726904543
ACH-000042,-0.15396224900989489
ACH-000045,-0.21389532688759705
ACH-000047,-0.016812500095594447
ACH-000052,-0.026047116661446542
ACH-000053,-0.049605101680803086
ACH-000054,-0.1439978203538417
ACH-000055,0.013774409190673121
ACH-000060,-0.1524980123538951
ACH-000067,-0.1532267410716998
ACH-000070,-0.4338651744198424
ACH-000075,0.06030966084342946
ACH-000078,-0.10525331556256624
ACH-000082,-0.07788286349593973
ACH-000085,0.07193804460910895
ACH-000086,-0.09621835844861727
ACH-000087,-0.3106452270472885
ACH-000092,-0.10813900098177026
ACH-000095,0.01509606914731694
ACH-000097,-0.10121721209644996
ACH-000098,-0.13769041515900196
ACH-000099,-0.047206421229387736
ACH-000108,-0.11059895391354208
ACH-000113,-0.009531468407822557
ACH-000116,-0.03525480134600699
ACH-000118,-0.0237300924399149
ACH-000120,0.0011978305139482015
ACH-000123,-0.11962979881352742
ACH-000127,-0.0368150623414494
ACH-000128,-0.12940314004090694
ACH-000132,-0.03245147230847796
ACH-000133,-0.05210976103738454
ACH-000137,-0.2149804560772986
ACH-000138,-0.26155357308464794
ACH-000142,-0.04524928635881119
ACH-000143,-0.09806267914282772
ACH-000146,-0.0959750224943829
ACH-000148,-0.23190856999714965
ACH-000150,-0.08748633129791007
ACH-000152,-0.1554409640155767
ACH-000153,0.2266365595729046
ACH-000159,-0.05255762537261168
ACH-000160,0.015536344332429362
ACH-000163,-0.053333848915663284
ACH-000167,-0.408433474998628
ACH-000168,0.007180913211195582
ACH-000169,0.004070615636092036
ACH-000178,-0.035019990110116875
ACH-000183,-0.1352053190184555
ACH-000188,-0.10939693933330354
ACH-000189,0.180835093959028
ACH-000190,0.08107813187781351
ACH-000198,-0.1506334472425164
ACH-000203,0.12651706021139292
ACH-000204,0.2318748612331765
ACH-000206,0.0470280647603271
ACH-000207,0.015167214862956841
ACH-000208,-0.01881156770430511
ACH-000210,-0.14999299659515888
ACH-000211,-0.03954894534553336
ACH-000215,-0.40676297565418335
ACH-000221,-0.16067798524219065
ACH-000222,0.08267071514286457
ACH-000223,-0.007895786467984037
ACH-000226,-0.12134270614496648
ACH-000227,-0.20822401336417248
ACH-000228,-0.03127459734795505
ACH-000231,-0.07110047019918636
ACH-000232,-0.1532658193860505
ACH-000233,-0.1213193912841118
ACH-000234,-0.07085541530288125
ACH-000235,-0.08542121154491529
ACH-000237,-0.09631268759963407
ACH-000238,-0.14271619457980916
ACH-000242,0.09130837614130533
ACH-000243,-0.09244334756970024
ACH-000244,-0.33173345271938004
ACH-000246,-0.12400422399480912
ACH-000248,-0.22247297432507707
ACH-000250,-0.10937308580528676
ACH-000251,-0.3240252357352293
ACH-000252,-0.10033851642026508
ACH-000253,0.11918398020288012
ACH-000255,-0.2343129860239425
ACH-000256,-0.02990311997176696
ACH-000257,-0.1748269236553624
ACH-000258,0.0030820809143973053
ACH-000259,-0.3209381117932245
ACH-000260,-0.07628152399350459
ACH-000261,-0.0020047735983461388
ACH-000262,-0.3866336298683337
ACH-000263,0.0045211446625928004
ACH-000264,-0.14112853163980474
ACH-000265,0.036617636317088205
ACH-000266,-0.003095401932879978
ACH-000272,-0.1159593039075397
ACH-000274,-0.05578661964950502
ACH-000277,0.02381013146555744
ACH-000278,-0.14020604253017194
ACH-000279,-0.1748735748161387
ACH-000280,-0.01613686899582791
ACH-000281,-0.2505272042416087
ACH-000288,-0.1312496155228194
ACH-000291,0.036256238661908635
ACH-000293,0.2104564872673708
ACH-000294,-0.17979380278175391
ACH-000295,-0.17698109595484388
ACH-000296,-0.2211391594034018
ACH-000302,-0.06709216539372538
ACH-000304,0.01937968390275633
ACH-000307,-0.0038582293519490315
ACH-000308,0.004604193294297428
ACH-000310,-0.17604567343259134
ACH-000311,0.04121469171405565
ACH-000312,-0.15996017046695082
ACH-000315,-0.2980797992025788
