,PSAT1 (29968)
ACH-000004,-0.5174375143563847
ACH-000005,-0.5734737148138467
ACH-000007,-0.3641224169963577
ACH-000009,-0.4383021290669021
ACH-000011,-0.5360830759557106
ACH-000012,-0.35508786248042445
ACH-000013,-0.4508900554504081
ACH-000014,-0.30484080782481765
ACH-000015,-0.568276254575941
ACH-000017,-0.3207045976709501
ACH-000018,-0.3896374841094615
ACH-000019,-0.4675750248481892
ACH-000021,-0.4435897750537853
ACH-000022,-0.3738650631873232
ACH-000025,-0.3850474711054497
ACH-000028,-0.4671647496152092
ACH-000030,-0.3498715696810348
ACH-000035,-0.36416353612000013
ACH-000036,-0.596877591307432
ACH-000037,-0.25545275731571565
ACH-000039,-0.4500519339436687
ACH-000040,-0.3607016341530201
ACH-000041,-0.5601819644186532
ACH-000042,-0.407950417810953
ACH-000045,-0.3943099555280059
ACH-000047,-0.4216199965013355
ACH-000052,-0.3849960494606444
ACH-000053,-0.3777400282158648
ACH-000054,-0.3615168649814864
ACH-000055,-0.31406850148043697
ACH-000060,-0.3188914480276992
ACH-000067,-0.2196005683705502
ACH-000070,-0.4349240379388994
ACH-000075,-0.3988331161058655
ACH-000078,-0.5404780481716305
ACH-000082,-0.25556672573664424
ACH-000085,-0.4031222012829068
ACH-000086,-0.305992034854002
ACH-000087,-0.26949687328669897
ACH-000092,-0.35903689965557306
ACH-000095,-0.3984920234179821
ACH-000097,-0.3426281393085478
ACH-000098,-0.3635603265046528
ACH-000099,-0.3355999353694392
ACH-000108,-0.2611463662517849
ACH-000113,-0.4175556230244238
ACH-000116,-0.3914209574546703
ACH-000118,-0.3758984990191721
ACH-000120,-0.33759892659663193
ACH-000123,-0.38828429790489705
ACH-000127,-0.5595916066377287
ACH-000128,-0.3660689712201022
ACH-000132,-0.4998207361410014
ACH-000133,-0.40852283298138414
ACH-000137,-0.4132270414140388
ACH-000138,-0.3820136703004538
ACH-000142,-0.22035180937408955
ACH-000143,-0.2996061974662337
ACH-000146,-0.3266439714433093
ACH-000148,-0.4073912132481061
