,ANP32E (81611)
ACH-000004,-0.1608814810602207
ACH-000005,-0.032194296317242965
ACH-000007,-0.21920709541142636
ACH-000009,-0.35377388423486944
ACH-000011,-0.3455097201091036
ACH-000012,-0.3279549699829417
ACH-000013,-0.27883900861599603
ACH-000014,0.12027520366152268
ACH-000015,-0.1983022660966922
ACH-000017,-0.13407874561938288
ACH-000018,-0.008447683443831715
ACH-000019,-0.308717865227684
ACH-000021,-0.17611092261530192
ACH-000022,-0.10806498303902756
ACH-000025,-0.40009941920425707
ACH-000028,-0.26994571046435833
ACH-000030,-0.18550307133191346
ACH-000035,-0.222740169015643
ACH-000036,-0.18573752767859894
ACH-000037,-0.09150329192762892
ACH-000039,-0.22024638908025485
ACH-000040,-0.07951544171260345
ACH-000041,-0.15415562971245134
ACH-000042,-0.22471616706893327
ACH-000045,-0.29920210511018797
ACH-000047,-0.10971608170164412
ACH-000052,-0.4832624325468647
ACH-000053,-0.3541798409128465
ACH-000054,-0.24398380000327785
ACH-000055,-0.2900848689347749
ACH-000060,-0.3352533502314798
ACH-000067,-0.21484255917065653
ACH-000070,-0.20385208043819145
ACH-000075,-0.06584445232550934
ACH-000078,-0.2887444422431973
ACH-000082,-0.1332833568920546
ACH-000085,0.03592127598569575
ACH-000086,-0.3266517886756058
ACH-000087,-0.27603726631493114
ACH-000092,-0.21181376594183327
ACH-000095,-0.2951978878226466
ACH-000097,-0.35026731178602083
ACH-000098,-0.4435527274655384
ACH-000099,-0.10862170766703697
ACH-000108,-0.43263344575937457
ACH-000113,-0.2804750584060831
ACH-000116,-0.25824137908257816
ACH-000118,-0.199828959179398
ACH-000120,0.08488302500094069
ACH-000123,-0.19502760550999249
ACH-000127,-0.1227335525612625
ACH-000128,-0.20415644239018693
ACH-000132,-0.11301553422606875
ACH-000133,-0.546402339690803
ACH-000137,-0.1400556556811687
ACH-000138,-0.20971027811631548
ACH-000142,-0.31389352514199825
ACH-000143,-0.17487294606505666
ACH-000146,-0.1775434409060453
ACH-000148,-0.180888553703786
ACH-000150,-0.3325669283107324
ACH-000152,-0.2542334434076453
