,CHMP1A (5119)
ACH-000004,-0.4879986519199803
ACH-000005,-0.3804683826250579
ACH-000007,-0.4965791088642895
ACH-000009,-0.5590040949395066
ACH-000011,-0.6454307527694604
ACH-000012,-0.5407951322541836
ACH-000013,-0.402307869558748
ACH-000014,-0.5190202343440431
ACH-000015,-0.4743856074609411
ACH-000017,-0.5169077570279696
ACH-000018,-0.3723117707430168
ACH-000019,-0.7118315948016194
ACH-000021,-0.5218156440962471
ACH-000022,-0.5424421696434608
ACH-000025,-0.5262670593217234
ACH-000028,-0.5118154340033803
ACH-000030,-0.3692702805943023
ACH-000035,-0.4197827430339525
ACH-000036,-0.8198851028301815
ACH-000037,-0.4447145565226807
ACH-000039,-0.413015546863243
ACH-000040,-0.5500274498206467
ACH-000041,-0.32883560573311005
ACH-000042,-0.40202614606794346
ACH-000045,-0.5093085216502927
ACH-000047,-0.2887760464823411
ACH-000052,-0.4460544916974213
ACH-000053,-0.42570817691680907
ACH-000054,-0.553575892460573
ACH-000055,-0.23847545284742985
ACH-000060,-0.4236581865081076
ACH-000067,-0.4741325206290557
ACH-000070,-0.1293481462284408
ACH-000075,-0.5367114421953775
ACH-000078,-0.5850453383145235
ACH-000082,-0.4306892295397829
ACH-000085,-0.6958613068786782
ACH-000086,-0.481220013368744
ACH-000087,-0.17390638953733562
ACH-000092,-0.3753693116194849
ACH-000095,-0.5171289518343919
ACH-000097,-0.4884678790317879
ACH-000098,-0.475234977489969
ACH-000099,-0.5502840758583858
ACH-000108,-0.4514022619195394
ACH-000113,-0.5507662123222581
ACH-000116,-0.5293854166929844
ACH-000118,-0.4130384844200826
ACH-000120,-0.4348401887158744
ACH-000123,-0.3860368077307682
ACH-000127,-0.4549007168315972
ACH-000128,-0.4077431663341129
ACH-000132,-0.4166366699933948
ACH-000133,-0.6242915061431554
ACH-000137,-0.6485020030085359
ACH-000138,-0.7415767799061506
ACH-000142,-1.0201623575713343
ACH-000143,-0.5719189975956195
ACH-000146,-0.4418467367026209
ACH-000148,-0.4725658289041062
ACH-000150,-0.4942976298890887
ACH-000152,-0.42081091563325057
ACH-000153,-0.39220425126683256
ACH-000159,-0.5643825966911143
