,UMODL1 (89766)
ACH-000004,-0.18551466450583834
ACH-000005,-0.460044896976949
ACH-000007,-0.18173486329502414
ACH-000009,-0.154319085569428
ACH-000011,-0.08311173073835464
ACH-000012,-0.15917570789710234
ACH-000013,-0.07668043283137482
ACH-000014,0.155879843669965
ACH-000015,-0.12347853680302265
ACH-000017,-0.18205286618518388
ACH-000018,-0.1905030148574116
ACH-000019,-0.031243973776979017
ACH-000021,-0.06733233663363801
ACH-000022,-0.14080001912966975
ACH-000025,-0.02700688730275154
ACH-000028,-0.1955563092694363
ACH-000030,-0.13053621265941825
ACH-000035,-0.09467250693199283
ACH-000036,-0.07550672808617127
ACH-000037,-0.3232032644262792
ACH-000039,-0.010340133296191798
ACH-000040,-0.09735543683980076
ACH-000041,-0.11418324168828035
ACH-000042,-0.24544744632924856
ACH-000045,-0.18584967924457674
ACH-000047,0.02172560482581997
ACH-000052,-0.07875392909817318
ACH-000053,-0.004414344687611674
ACH-000054,-0.15530287608985202
ACH-000055,-0.08136954759310402
ACH-000060,-0.26525384364298
ACH-000067,-0.1281995287269243
ACH-000070,-0.098263366115746
ACH-000075,0.07165331668106155
ACH-000078,-0.21275674873807252
ACH-000082,-0.14695621384472438
ACH-000085,-0.04902289304209223
ACH-000086,-0.12152658812998925
ACH-000087,-0.0903973721425984
ACH-000092,-0.15941887819685105
ACH-000095,-0.12318525164014907
ACH-000097,-0.05879446472977552
ACH-000098,-0.08277270763382259
ACH-000099,-0.1386343004975605
ACH-000108,0.032757331312930765
ACH-000113,-0.1806531668828124
ACH-000116,-0.05830944234839351
ACH-000118,-0.049257937160800035
ACH-000120,-0.09873030152093497
ACH-000123,-0.043874977311889364
ACH-000127,-0.07778337856547296
ACH-000128,-0.14149709647925468
ACH-000132,-0.10787925745321793
ACH-000133,-0.15845823289366012
ACH-000137,-0.1172537295998372
ACH-000138,0.07525352359650803
ACH-000142,-0.07603390930578441
ACH-000143,-0.2834277033926909
ACH-000146,-0.09346627315354533
ACH-000148,-0.1940748674679194
ACH-000150,-0.13562290326630413
ACH-000152,0.003885851793178344
ACH-000153,-0.04977783083578606
ACH-000159,-0.04778076232480477
ACH-000160,-0.2583210863305262
ACH-000163,-0.09882126519425727
ACH-000167,0.08210524249780322
ACH-000168,-0.09668506974852983
ACH-000169,-0.16189296047463814
ACH-000178,-0.19741729124819907
ACH-000183,-0.13975805399511226
ACH-000188,-0.2626436909177434
ACH-000189,-0.017268573113639076
ACH-000190,0.008857884864571066
ACH-000198,-0.15451019616558456
ACH-000203,-0.4213433902252821
ACH-000204,-0.18668201100866824
ACH-000206,-0.0642877680407471
ACH-000207,-0.15147991432841815
ACH-000208,-0.002092966527278409
ACH-000210,-0.11185191921606737
ACH-000211,-0.11028643708988152
ACH-000215,-0.12808252441757284
ACH-000221,-0.22805704585736736
ACH-000222,-0.1802580227423026
ACH-000223,-0.05646473743731121
ACH-000226,0.0006151232322699014
ACH-000227,-0.09194147378372243
ACH-000228,-0.06262628606429115
ACH-000231,-0.2301079598232424
ACH-000232,-0.17602482697220656
ACH-000233,-0.11400191610579305
ACH-000234,-0.0266919108990549
ACH-000235,-0.13682344746207328
ACH-000237,-0.03321253144773652
ACH-000238,-0.1743705182356108
ACH-000242,0.004627071720840973
ACH-000243,-0.11558124895992825
ACH-000244,-0.24936787996563345
ACH-000246,-0.047250305722251605
ACH-000248,0.053186669689544136
ACH-000250,-0.08118900807835075
ACH-000251,-0.025116915437746527
ACH-000252,-0.4858731721968302
ACH-000253,-0.0520830863649312
ACH-000255,-0.12143108204066015
ACH-000256,-0.0028804621699439537
ACH-000257,-0.335370562048902
ACH-000258,-0.19093933362582535
ACH-000259,-0.12004570651041802
ACH-000260,-0.14267662594266564
ACH-000261,-0.11734656293023933
ACH-000262,0.01963162446340595
ACH-000263,-0.036413178330160216
ACH-000264,-0.09023295151863456
