,TMSB10 (9168)
ACH-000004,-0.6045566738189864
ACH-000005,-0.4048578804473996
ACH-000007,-0.3380953808609373
ACH-000009,-0.5190029632950923
ACH-000011,-0.6548434524172718
ACH-000012,-0.5214393655447478
ACH-000013,-0.3570659231834834
ACH-000014,-0.522477146074309
ACH-000015,-0.4934845456158508
ACH-000017,-0.5612835380709821
ACH-000018,-0.5014916937698427
ACH-000019,-0.4917421308508823
ACH-000021,-0.4198054591356455
ACH-000022,-0.5526916440617959
ACH-000025,-0.3295430529275093
ACH-000028,-0.4987383256024506
ACH-000030,-0.4970718472457723
ACH-000035,-0.5185029865222126
ACH-000036,-0.4236244919216395
ACH-000037,-0.3568083320325501
ACH-000039,-0.5041168238552769
ACH-000040,-0.3653933783431916
ACH-000041,-0.5248967788364475
ACH-000042,-0.366723605076021
ACH-000045,-0.4629618748442445
ACH-000047,-0.5689628177401787
ACH-000052,-0.5515741137381192
ACH-000053,-0.41540296280690014
ACH-000054,-0.4703925802791795
ACH-000055,-0.5388115379259591
ACH-000060,-0.5889825563002715
ACH-000067,-0.5083243431919147
ACH-000070,-0.3671947643928626
ACH-000075,-0.6860134487716293
ACH-000078,-0.3693313118252012
ACH-000082,-0.5140686841407398
ACH-000085,-0.4736743560092859
ACH-000086,-0.4210699211001732
ACH-000087,-0.33293165178194833
ACH-000092,-0.6708773760066687
ACH-000095,-0.5983728924414451
ACH-000097,-0.4996248379024129
ACH-000098,-0.32361745191015284
ACH-000099,-0.4348090731866521
ACH-000108,-0.24657273027767626
ACH-000113,-0.4032733589882234
ACH-000116,-0.5898089296665028
ACH-000118,-0.39968243097115
ACH-000120,-0.4495468312562991
ACH-000123,-0.5652960418236718
ACH-000127,-0.4696761787320625
ACH-000128,-0.3551086665697872
ACH-000132,-0.3530922145998517
ACH-000133,-0.3861139742612489
ACH-000137,-0.4851981596042799
ACH-000138,-0.5727188524372377
ACH-000142,-0.5458298396399393
ACH-000143,-0.3531014923361853
ACH-000146,-0.3358496204050317
ACH-000148,-0.3573904773961481
ACH-000150,-0.4766325918346015
ACH-000152,-0.4881355682319092
ACH-000153,-0.20039435636733086
ACH-000159,-0.44306077647284464
ACH-000160,-0.4339285132670163
ACH-000163,-0.4151516448512123
ACH-000167,-0.08097547904584441
