,CHAMP1 (283489)
ACH-000004,-0.2698704429460217
ACH-000005,-0.16009307778084247
ACH-000007,-0.3546565385059544
ACH-000009,-0.07069341892333496
ACH-000011,-0.26470428660826684
ACH-000012,-0.2538377931807487
ACH-000013,-0.26575074058305703
ACH-000014,-0.11951806427803995
ACH-000015,-0.4243739718278971
ACH-000017,-0.2871974071886404
ACH-000018,-0.393040610726472
ACH-000019,0.03752083866822283
ACH-000021,-0.09850030401319138
ACH-000022,-0.19293244241915808
ACH-000025,0.080691880807639
ACH-000028,-0.17996631672590938
ACH-000030,-0.12643748459046175
ACH-000035,-0.002841424281993246
ACH-000036,-0.32616789606254
ACH-000037,-0.2699627331009485
ACH-000039,-0.08339117093677433
ACH-000040,-0.1492826306078151
ACH-000041,-0.3910000265805936
ACH-000042,-0.26164144743323275
ACH-000045,-0.050559345495915065
ACH-000047,-0.27331979114161425
ACH-000052,-0.2119876277446434
ACH-000053,-0.07773550511917741
ACH-000054,-0.2307789081049781
ACH-000055,0.20810424323998675
ACH-000060,-0.186480235124812
ACH-000067,-0.2456301379472731
ACH-000070,-0.3149985742333945
ACH-000075,-0.037871211778268715
ACH-000078,-0.35760522531949746
ACH-000082,-0.10333556664358357
ACH-000085,-0.2821177849117201
ACH-000086,-0.1883962153343322
ACH-000087,0.12380038998445665
ACH-000092,-0.10152533523003213
ACH-000095,-0.17634974626306396
ACH-000097,-0.14441919651765067
ACH-000098,-0.10324173232964362
ACH-000099,-0.3318207861292604
ACH-000108,-0.446770865193187
ACH-000113,-0.3763829592246552
ACH-000116,-0.3403602962507831
ACH-000118,-0.13303534831087027
ACH-000120,-0.15666589700626726
ACH-000123,-0.14558778379733273
ACH-000127,-0.06886717372456952
ACH-000128,-0.05479491276680508
ACH-000132,0.024142669580763925
ACH-000133,-0.2672434163389352
ACH-000137,0.04804899072121227
ACH-000138,-0.2415490433169512
ACH-000142,-0.4332600292689045
ACH-000143,-0.19496994977624613
ACH-000146,-0.15336421988196475
ACH-000148,-0.19263310244211565
ACH-000150,-0.1234197316144304
ACH-000152,-0.2058295954910544
ACH-000153,-0.23166019523401465
ACH-000159,-0.2449731840428071
ACH-000160,-0.15381964536555687
ACH-000163,-0.2935738158550569
ACH-000167,-0.3816205531785298
ACH-000168,-0.2357302651059263
ACH-000169,-0.1263257437253044
ACH-000178,-0.4334782834805538
ACH-000183,0.14986297007864635
ACH-000188,-0.3553422653375471
ACH-000189,-0.1758291058886379
ACH-000190,-0.09603292036251336
ACH-000198,-0.3864165204278358
ACH-000203,-0.20637693774142485
ACH-000204,-0.2261392240450307
ACH-000206,0.02176287003632528
ACH-000207,-0.2034691404193177
ACH-000208,-0.2377438450530673
ACH-000210,0.2931395273793515
ACH-000211,-0.12112329218804985
ACH-000215,-0.07549728261270214
