,F13A1 (2162)
ACH-000004,0.05448580793377311
ACH-000005,0.061987041214334
ACH-000007,-0.029268277482535205
ACH-000009,0.002491631796189393
ACH-000011,0.055406514127964934
ACH-000012,0.16566675455208602
ACH-000013,0.0976319940620648
ACH-000014,0.0271490351596185
ACH-000015,0.1908815540177201
ACH-000017,0.03327593645531686
ACH-000018,0.07210044924508155
ACH-000019,0.2277536081438897
ACH-000021,0.13481636375911382
ACH-000022,0.19106516553709252
ACH-000025,0.14302064839643
ACH-000028,0.17959718354098747
ACH-000030,0.1208270483831922
ACH-000035,0.13432538545059616
ACH-000036,0.0709864543070541
ACH-000037,0.12120038404849676
ACH-000039,0.2545610215587523
ACH-000040,0.11545356491481892
ACH-000041,0.08795235629767209
ACH-000042,0.08104051406283506
ACH-000045,0.11102534800861201
ACH-000047,0.12711980593477415
ACH-000052,0.10917566532603816
ACH-000053,0.0013455910788928195
ACH-000054,0.12752485118076998
ACH-000055,0.0043507951045779385
ACH-000060,0.13951588142557722
ACH-000067,0.07072086331755445
ACH-000070,0.0976497988218935
ACH-000075,0.110606609361627
ACH-000078,-0.01838056938259836
ACH-000082,0.14631553387182014
ACH-000085,0.18259925789189946
ACH-000086,0.1213982726471302
ACH-000087,0.2377005898333577
ACH-000092,0.1671494066793361
ACH-000095,0.040990474618257736
ACH-000097,0.11787626389888504
ACH-000098,0.1203897697914785
ACH-000099,0.07026469377005372
ACH-000108,0.00884604650285735
ACH-000113,0.03514019755616158
ACH-000116,0.09703021712338614
ACH-000118,0.008595886384338091
ACH-000120,0.124167818801459
ACH-000123,0.07781907209125431
ACH-000127,0.0861522163862489
ACH-000128,0.07454081098531637
ACH-000132,0.047673173988025
ACH-000133,0.1307104800824977
ACH-000137,0.19727035932128115
ACH-000138,-0.03637265283842367
ACH-000142,0.18421646724746787
ACH-000143,0.16427592874664662
ACH-000146,0.11658865048858275
ACH-000148,0.12183127323722345
ACH-000150,0.15624908360570344
ACH-000152,0.11786066466869273
ACH-000153,0.1050358548489146
