,SPHK2 (56848)
ACH-000004,-0.24798812162418554
ACH-000005,-0.2051523588179645
ACH-000007,-0.2221888430052923
ACH-000009,-0.22006907056016287
ACH-000011,-0.16161807541030085
ACH-000012,-0.20530828425883235
ACH-000013,-0.3747547812995956
ACH-000014,-0.3884415890192172
ACH-000015,-0.30964314605670623
ACH-000017,-0.2688825979322338
ACH-000018,-0.2201968350110648
ACH-000019,-0.20773497078071385
ACH-000021,-0.21860245963124292
ACH-000022,-0.19856115298062296
ACH-000025,-0.12282568929735516
ACH-000028,-0.25780970074774784
ACH-000030,-0.22053875882931248
ACH-000035,-0.21447836020587224
ACH-000036,-0.2418475995443873
ACH-000037,-0.20972800865537775
ACH-000039,-0.1927339846149276
ACH-000040,-0.2035910143572577
ACH-000041,-0.20560073604371332
ACH-000042,-0.08067428304647327
ACH-000045,-0.12493123159957345
ACH-000047,-0.26609885580610904
ACH-000052,-0.22881600866830684
ACH-000053,-0.24452962741744666
ACH-000054,-0.24554490903778015
ACH-000055,-0.13067734939706252
ACH-000060,-0.13623710071519252
ACH-000067,-0.3061962648200072
ACH-000070,-0.11670884995745785
ACH-000075,-0.08904510816158198
ACH-000078,-0.3620733354501685
ACH-000082,-0.1704992135745237
ACH-000085,-0.34719112568719995
ACH-000086,-0.19070670291820954
ACH-000087,-0.1813333803272015
ACH-000092,-0.29404946602682513
ACH-000095,-0.2331330927166959
ACH-000097,-0.2952705603563885
ACH-000098,-0.2955278873805305
ACH-000099,-0.2561916974776398
ACH-000108,-0.198714268879436
ACH-000113,-0.34153810355426883
ACH-000116,-0.11459848934806345
ACH-000118,-0.2575962905130049
ACH-000120,-0.1391560504096828
ACH-000123,-0.3346424687548613
ACH-000127,-0.13590565150496847
ACH-000128,-0.21471165115310134
ACH-000132,-0.13901673742025106
ACH-000133,-0.3719653392890635
ACH-000137,-0.2863734908330197
ACH-000138,-0.1713765961460655
ACH-000142,-0.2522106816932977
ACH-000143,-0.0931074258977414
ACH-000146,-0.2924372888741209
ACH-000148,-0.22726626727959395
ACH-000150,-0.2946008885691834
ACH-000152,-0.33818550762564803
ACH-000153,-0.12852193183445826
ACH-000159,-0.2950715562261479
ACH-000160,-0.22716541597773104
ACH-000163,-0.0906831211703843
ACH-000167,-0.0033046865268927363
ACH-000168,-0.1340780761761327
ACH-000169,-0.1964852753956436
ACH-000178,-0.3799489384738133
ACH-000183,-0.17008471177264903
ACH-000188,-0.2399056627652381
ACH-000189,-0.3632914933578537
ACH-000190,-0.468887991762747
ACH-000198,-0.20094649470642198
ACH-000203,-0.2535879558055084
ACH-000204,-0.2223182863961528
ACH-000206,-0.2127705716226366
ACH-000207,-0.21629479471049676
ACH-000208,-0.34439419452184394
ACH-000210,-0.2852288785851681
ACH-000211,-0.1870115754262341
ACH-000215,-0.12025161010536015
ACH-000221,-0.19078696460014935
ACH-000222,-0.24557827357025225
ACH-000223,-0.04099312837422206
ACH-000226,-0.20417358351464915
ACH-000227,-0.11551262482869815
ACH-000228,-0.1851399645101692
ACH-000231,-0.092338114083753
ACH-000232,-0.23049338772979866
ACH-000233,-0.2596831694299093
ACH-000234,-0.4496293824256892
ACH-000235,-0.2080104551451324
ACH-000237,-0.2169190370250649
ACH-000238,-0.14458934732311882
ACH-000242,-0.2068072910433333
ACH-000243,-0.11630226926212152
