,SAP30BP (29115)
ACH-000004,-1.1975122397996465
ACH-000005,-1.3475311673910706
ACH-000007,-1.316439880959092
ACH-000009,-1.174552358921076
ACH-000011,-1.0632668256409272
ACH-000012,-1.1240036149968733
ACH-000013,-1.0537965751655551
ACH-000014,-1.0239020853099599
ACH-000015,-1.1242547835579324
ACH-000017,-1.1941488320588047
ACH-000018,-1.1297081099237136
ACH-000019,-1.0966277423570898
ACH-000021,-1.1186132193284586
ACH-000022,-1.2395569361270522
ACH-000025,-1.0482414383584395
ACH-000028,-0.9440119713070252
ACH-000030,-1.0744746008999435
ACH-000035,-1.3258138696480921
ACH-000036,-0.9910959553026004
ACH-000037,-1.1404148981066204
ACH-000039,-1.0730672994140598
ACH-000040,-1.1310843846277756
ACH-000041,-1.1677234609629417
ACH-000042,-0.8390177101684982
ACH-000045,-1.2348575322062163
ACH-000047,-1.4119665741686638
ACH-000052,-0.9415802295407448
ACH-000053,-1.1796848880338755
ACH-000054,-1.044287712094649
ACH-000055,-1.0791172676434286
ACH-000060,-0.9877262197854212
ACH-000067,-1.0642437709868606
ACH-000070,-0.7687282905226588
ACH-000075,-1.1831215457247488
ACH-000078,-1.0518146513927118
ACH-000082,-1.2800464552922508
ACH-000085,-1.1020313926276997
ACH-000086,-1.1280733442999695
ACH-000087,-1.3252496787539334
ACH-000092,-1.070842485003949
ACH-000095,-1.0410481334140302
ACH-000097,-1.0829838537600331
ACH-000098,-1.0288317113382868
ACH-000099,-0.8884046440993598
ACH-000108,-1.1217350067393987
ACH-000113,-1.2430512885106608
ACH-000116,-1.0806869428751122
ACH-000118,-1.3627165689770813
ACH-000120,-1.173901683408179
ACH-000123,-1.180580650613794
ACH-000127,-1.0103369568261609
ACH-000128,-1.1604287751790847
ACH-000132,-1.0178674635318672
ACH-000133,-1.2082128643154644
ACH-000137,-1.017793496374881
ACH-000138,-1.2205914546746088
ACH-000142,-0.7183468959953793
ACH-000143,-1.321232940696872
ACH-000146,-1.2850429622917336
ACH-000148,-1.265808010506227
ACH-000150,-0.8477207023544063
ACH-000152,-1.043495305096083
ACH-000153,-0.9536960128768248
ACH-000159,-0.958414754487478
ACH-000160,-1.2426281003484398
ACH-000163,-1.1729158636627846
ACH-000167,-2.095602572804609
ACH-000168,-1.1943259975471043
ACH-000169,-1.2051881976786003
ACH-000178,-1.1680692560971908
ACH-000183,-1.2328488239391853
ACH-000188,-1.1718210338506718
ACH-000189,-1.1769870968753862
ACH-000190,-0.98886005869215
ACH-000198,-1.1382782838724708
ACH-000203,-0.8219114635591396
ACH-000204,-0.9997434844194392
ACH-000206,-1.0319253844063332
ACH-000207,-1.0711100334065904
ACH-000208,-1.1534347008560155
ACH-000210,-0.7254234601112358
ACH-000211,-0.9802484256658832
ACH-000215,-1.0066721271923842
ACH-000221,-1.364652131959938
ACH-000222,-1.2790656809921543
ACH-000223,-1.1117908063567232
ACH-000226,-0.995596387930776
ACH-000227,-1.391151892615062
ACH-000228,-1.3078383361627086
ACH-000231,-1.2106346998037474
ACH-000232,-1.1150447719351888
ACH-000233,-1.0275969721478309
ACH-000234,-1.1527537845784863
ACH-000235,-1.076575518642935
ACH-000237,-1.201632214182355
ACH-000238,-1.3012123313663009
ACH-000242,-1.0146536614609438
ACH-000243,-1.3068031503304884
ACH-000244,-0.7659184812627645
ACH-000246,-0.9055685849549234
ACH-000248,-1.1465991604935124
ACH-000250,-0.9418735655984729
ACH-000251,-1.1532627196373608
ACH-000252,-1.2337577220077731
ACH-000253,-1.275731964520857
ACH-000255,-0.9716580634873346
ACH-000256,-1.3886004780211518
ACH-000257,-1.1729781723697583
ACH-000258,-1.0024584540481432
ACH-000259,-1.207675886600176
ACH-000260,-1.01497347510396
ACH-000261,-1.054429950782881
ACH-000262,-1.1184161360460678
ACH-000263,-1.133922685284638
ACH-000264,-1.2855909569146633
ACH-000265,-1.1625918301568439
ACH-000266,-1.1233720825141031
ACH-000272,-1.0418862635149309
ACH-000274,-0.9296803749444358
ACH-000277,-1.164127496143588
ACH-000278,-1.10144184010354
ACH-000279,-1.1598417539188164
ACH-000280,-0.8928719329394581
ACH-000281,-1.0530491483017088
ACH-000288,-1.1470776537701102
ACH-000291,-1.1401438361361396
ACH-000293,-1.497747053032406
ACH-000294,-1.511628699549798
