,ITM2B (9445)
ACH-000004,-0.003621004290437032
ACH-000005,0.15335161971831454
ACH-000007,-0.07905774738497465
ACH-000009,0.06448618480450255
ACH-000011,-0.14754285476591467
ACH-000012,-0.05936420089922559
ACH-000013,-0.03427790865598941
ACH-000014,0.04635602101787152
ACH-000015,0.02714600341628109
ACH-000017,-0.18510227153582795
ACH-000018,0.2098831531474282
ACH-000019,0.09149187501038122
ACH-000021,0.06956790618219384
ACH-000022,-0.04466403161585894
ACH-000025,0.1314593332979143
ACH-000028,0.022559986789735427
ACH-000030,0.016483104510261998
ACH-000035,0.04996242380616176
ACH-000036,-0.06326095102427498
ACH-000037,0.09631028319291478
ACH-000039,0.0458625552981461
ACH-000040,-0.2140978970314327
ACH-000041,0.0838257285296345
ACH-000042,-0.13297767695340953
ACH-000045,-0.007572187072016687
ACH-000047,-0.05257784246847827
ACH-000052,0.23916908951633464
ACH-000053,-0.08972606514205267
ACH-000054,-0.2214157079412254
ACH-000055,0.002208464461834777
ACH-000060,-0.11936054979193772
ACH-000067,-0.09140242657453844
ACH-000070,0.0980048199359902
ACH-000075,0.13557329186908065
ACH-000078,-0.11156472404693812
ACH-000082,-0.038566301164708064
ACH-000085,-0.022894624399009682
ACH-000086,-0.08348319345510402
ACH-000087,-0.17114371568958409
ACH-000092,-0.07984507695643933
ACH-000095,-0.11554961296693825
ACH-000097,-0.18612376816972265
ACH-000098,-0.06407699006765542
ACH-000099,-0.07590159434547902
ACH-000108,-0.005939796492092182
ACH-000113,-0.16758429728219595
ACH-000116,0.0799170076105283
ACH-000118,-0.09155172488985402
ACH-000120,-0.14058121400883733
ACH-000123,-0.09687626968553867
ACH-000127,-0.07221653382746522
ACH-000128,-0.060474143875387736
ACH-000132,-0.23424030967877946
ACH-000133,-0.1755226574347749
ACH-000137,-0.1235410999278363
ACH-000138,-0.06145013131142413
ACH-000142,-0.16951969132564068
ACH-000143,-0.08303092950158146
ACH-000146,-0.1293784073144697
ACH-000148,-0.0716083466134661
ACH-000150,0.04483883122390398
ACH-000152,-0.06392909221668752
ACH-000153,-0.1922207558029964
ACH-000159,-0.11883324909304276
ACH-000160,-0.08744313037537357
ACH-000163,0.006157477953159477
ACH-000167,-0.2522738501058734
ACH-000168,-0.04314631261741771
ACH-000169,0.024843965236923143
ACH-000178,0.08302412136125756
ACH-000183,-0.034311801091290985
ACH-000188,-0.1628949497812241
ACH-000189,0.028455074191305045
ACH-000190,-0.12750719033578167
ACH-000198,0.04018155626091181
ACH-000203,-0.7857883016072931
ACH-000204,0.08171013495437497
ACH-000206,-0.07743766470390072
ACH-000207,-0.2954396585467168
ACH-000208,-0.2895312262979543
ACH-000210,0.046360118858150084
ACH-000211,0.014584719359867937
ACH-000215,-0.03667748387848736
ACH-000221,-0.07406967759244787
