,CNOT11 (55571)
ACH-000004,-0.3211903552658989
ACH-000005,-0.2456751677296883
ACH-000007,-0.11590376101649938
ACH-000009,-0.10607383796410448
ACH-000011,-0.3187079450700536
ACH-000012,-0.4000010687952851
ACH-000013,-0.09936630342209464
ACH-000014,0.3496862240656917
ACH-000015,0.03258010443254964
ACH-000017,-0.19825371253089005
ACH-000018,-0.3958131038303124
ACH-000019,-0.16096951611968485
ACH-000021,-0.0015351478187352091
ACH-000022,0.10809839935957488
ACH-000025,-0.01151997278645353
ACH-000028,-0.16586622044374913
ACH-000030,0.11193169591202798
ACH-000035,-0.09159564024577756
ACH-000036,-0.5956478447433821
ACH-000037,-0.28841821907385445
ACH-000039,-0.008897711564556305
ACH-000040,-0.3885124586610059
ACH-000041,-0.098450081273082
ACH-000042,0.3928571990249963
ACH-000045,-0.4155510084312209
ACH-000047,0.03172111105128345
ACH-000052,-0.25602872088260864
ACH-000053,-0.3914514006776077
ACH-000054,0.1137377099125094
ACH-000055,-0.05346469503155185
ACH-000060,-0.3888655791926101
ACH-000067,-0.02447018870683817
ACH-000070,-0.2455663068523952
ACH-000075,0.0456757768749934
ACH-000078,-0.11994565197884335
ACH-000082,-0.1150787751351154
ACH-000085,-0.09437808431666314
ACH-000086,-0.18603219497018925
ACH-000087,-0.04589060205747992
ACH-000092,-0.12753664748715635
ACH-000095,0.14563993072974493
ACH-000097,0.4308400239598941
ACH-000098,-0.3162186448638681
ACH-000099,-0.005016993967779957
ACH-000108,-0.3798759095000248
ACH-000113,-0.07691931321142546
ACH-000116,0.2817912156260624
ACH-000118,-0.2011286991133396
ACH-000120,-0.0064623122467128424
ACH-000123,-0.08376679465184146
ACH-000127,-0.3483182722310661
ACH-000128,-0.0007536756420443738
ACH-000132,-0.1801681748123584
ACH-000133,-0.15516365511577707
ACH-000137,-0.16299737947748633
ACH-000138,-0.3267967351226243
ACH-000142,-0.2918658869318872
ACH-000143,-0.17125560189347194
ACH-000146,-0.16887025783698414
ACH-000148,0.06354686827604071
ACH-000150,-0.16991537115357944
ACH-000152,0.16396671719070754
ACH-000153,0.15887715787190784
ACH-000159,-0.16968040323954225
ACH-000160,-0.04363926470106057
ACH-000163,-0.16670815363379685
ACH-000167,0.10982420730919974
ACH-000168,-0.39295102040853536
ACH-000169,-0.1134214775777658
ACH-000178,-0.35787642632776245
ACH-000183,-0.5238261203836422
ACH-000188,0.02504229648881813
ACH-000189,-0.005397917639453331
ACH-000190,-0.03359637889256815
ACH-000198,-0.3897114940698701
ACH-000203,-0.6344038605522704
ACH-000204,-0.3678920856341054
ACH-000206,-0.31509484098557977
ACH-000207,-0.1663357470145875
ACH-000208,0.1198474877089608
ACH-000210,-0.2669850725037305
ACH-000211,-0.05619720776525671
ACH-000215,-0.4625540012243326
ACH-000221,-0.1663822095844154
ACH-000222,-0.1529573330283889
ACH-000223,-0.3270791463834071
ACH-000226,-0.2688142738460552
ACH-000227,-0.2272169591354574
ACH-000228,-0.3428152339466663
ACH-000231,-0.04923206755841061
ACH-000232,0.11558656619469596
ACH-000233,-0.456547927531583
ACH-000234,-0.02671662125002969
ACH-000235,-0.11365651678946408
ACH-000237,-0.09618193966101003
ACH-000238,-0.15962711929386778
ACH-000242,0.1748669236378083
ACH-000243,-0.4910562235073359
ACH-000244,0.4345013344687145
ACH-000246,0.13720539072014998
ACH-000248,-0.3034147692230923
ACH-000250,-0.31641096874683394
ACH-000251,-0.3855919145287775
ACH-000252,0.014397627500779248
ACH-000253,0.05758748278310846
ACH-000255,-0.1338987583556995
ACH-000256,0.042658234422670485
ACH-000257,-0.19338205444113105
