,SLC4A1AP (22950)
ACH-000004,-0.02678205444223194
ACH-000005,-0.7093805059326274
ACH-000007,-0.17740209119817818
ACH-000009,-0.3757767780475847
ACH-000011,-0.08000639338145855
ACH-000012,-0.12436960842187668
ACH-000013,-0.21559090837970116
ACH-000014,-0.31299138078699024
ACH-000015,-0.1801627871057504
ACH-000017,-0.2860684638063716
ACH-000018,-0.3081160209264319
ACH-000019,-0.3037054853670973
ACH-000021,-0.19697327741838624
ACH-000022,-0.2219278250381588
ACH-000025,-0.16832725542202584
ACH-000028,-0.2675855421834716
ACH-000030,-0.19682388300916204
ACH-000035,-0.023120285009177337
ACH-000036,-0.41001552649186973
ACH-000037,-0.2497327167685451
ACH-000039,-0.1333479945879365
ACH-000040,-0.2741124443521354
ACH-000041,-0.4830749030300476
ACH-000042,-0.2747271463871742
ACH-000045,-0.15579451564429306
ACH-000047,-0.3724969049464189
ACH-000052,-0.1176740576888438
ACH-000053,-0.09624065022081996
ACH-000054,-0.20033052386102448
ACH-000055,-0.1024604261823296
ACH-000060,-0.17344117034238846
ACH-000067,-0.18903679154405395
ACH-000070,-0.2784757801413838
ACH-000075,-0.3707593652639645
ACH-000078,-0.2593100804015763
ACH-000082,-0.2532072785882281
ACH-000085,-0.23904403504388644
ACH-000086,-0.2334113027665557
ACH-000087,-0.22620461412919265
ACH-000092,-0.14542417441136582
ACH-000095,-0.22582905265656303
ACH-000097,-0.11364907519819226
ACH-000098,-0.2728179959720229
ACH-000099,-0.15435399576559788
ACH-000108,-0.2321209244647295
ACH-000113,-0.13215484445736767
ACH-000116,-0.34844679638260384
ACH-000118,-0.384682471498396
ACH-000120,-0.26274733128825906
ACH-000123,-0.25343537895968243
ACH-000127,-0.2090280065018013
ACH-000128,-0.16443223637264834
ACH-000132,-0.21332092641008416
ACH-000133,-0.2960655102238223
ACH-000137,-0.2660958317191629
ACH-000138,-0.1577575644708333
ACH-000142,-0.29969302507568696
ACH-000143,-0.20412141217400245
ACH-000146,-0.1219082419148606
ACH-000148,-0.17435875459708747
ACH-000150,-0.19381824325471006
ACH-000152,-0.21259975171752926
ACH-000153,-0.30526246620988096
ACH-000159,-0.21572872957948874
ACH-000160,-0.11040327451657696
ACH-000163,0.008219316589885799
ACH-000167,-0.07277576967058673
ACH-000168,-0.3282911699500388
ACH-000169,-0.3467800770082852
ACH-000178,-0.26523131311725306
ACH-000183,-0.09160902551999496
ACH-000188,-0.4446246652986887
ACH-000189,0.0592018173834461
ACH-000190,-0.2430824316030317
ACH-000198,-0.18994592962324386
ACH-000203,0.4094831181531184
ACH-000204,-0.24611176278087954
ACH-000206,-0.41180617657872015
ACH-000207,-0.1521887078906652
ACH-000208,-0.2576781573034353
ACH-000210,0.18608880156356966
ACH-000211,-0.4396276369965525
