,GNB2L1 (10399)
ACH-000004,-1.5257053001452163
ACH-000005,-1.432144892590527
ACH-000007,-1.4586922469339567
ACH-000009,-1.5010299049989269
ACH-000011,-1.2202142197365966
ACH-000012,-1.5344643235627236
ACH-000013,-1.3924800428121442
ACH-000014,-1.5962655509952737
ACH-000015,-1.6966138741028969
ACH-000017,-1.7382431732686698
ACH-000018,-1.341267095100407
ACH-000019,-1.498272862359144
ACH-000021,-1.5003605894552998
ACH-000022,-1.5256553905809351
ACH-000025,-1.3768611177261376
ACH-000028,-1.2691045588784848
ACH-000030,-1.4740486713972252
ACH-000035,-1.3878999132866228
ACH-000036,-1.3902097851341424
ACH-000037,-1.6236422299472115
ACH-000039,-1.6013742766155357
ACH-000040,-1.4831959163575474
ACH-000041,-1.7327172797561765
ACH-000042,-1.362951542841002
ACH-000045,-1.3708827191124766
ACH-000047,-1.3400908970783283
ACH-000052,-1.3359412576764715
ACH-000053,-1.375761028371626
ACH-000054,-1.099989517036597
ACH-000055,-1.4740000449138266
ACH-000060,-1.3109454056257634
ACH-000067,-1.5228524410605797
ACH-000070,-1.3716385504732096
ACH-000075,-1.44292142102244
ACH-000078,-1.527166346241444
ACH-000082,-1.4676946800802457
ACH-000085,-1.6216692461939224
ACH-000086,-1.2571027257704113
ACH-000087,-1.6466551881767342
ACH-000092,-1.1723459049203075
ACH-000095,-1.334563802007006
ACH-000097,-1.512111158360283
ACH-000098,-1.3672288360086673
ACH-000099,-1.4665536481288917
ACH-000108,-1.4862500314642393
ACH-000113,-1.368164562140239
ACH-000116,-1.3367465633501827
ACH-000118,-1.5134566828294178
ACH-000120,-1.3089438071764303
ACH-000123,-1.4028767307371084
ACH-000127,-1.3817329413531123
ACH-000128,-1.4608613414107792
ACH-000132,-1.3045674792012725
ACH-000133,-1.5143466306543314
ACH-000137,-1.373068956843266
ACH-000138,-1.5797144674138952
ACH-000142,-1.5644404910113123
ACH-000143,-1.6253401205473137
ACH-000146,-1.5764891298802084
ACH-000148,-1.7520111818441195
ACH-000150,-1.3910289912739149
ACH-000152,-1.4146388100476066
ACH-000153,-1.9887457540242957
ACH-000159,-1.2929558691209098
ACH-000160,-1.3897136558413743
ACH-000163,-1.4122472993441435
ACH-000167,-2.286223287642442
ACH-000168,-0.9431136774806668
ACH-000169,-1.575643626777932
ACH-000178,-1.334793306591864
ACH-000183,-1.5775067682799946
ACH-000188,-1.3913486544257
ACH-000189,-1.2839904033253893
ACH-000190,-1.3526807599002677
ACH-000198,-1.4422804229583919
ACH-000203,-1.4949952821998118
ACH-000204,-1.339138869394537
ACH-000206,-1.6305580545839469
ACH-000207,-1.2434564240324046
ACH-000208,-1.3368965049284367
ACH-000210,-1.5809331588683353
ACH-000211,-1.5348937544100063
ACH-000215,-1.4317455905598735
ACH-000221,-1.4714167075590454
ACH-000222,-1.5472487917346731
ACH-000223,-1.3254624469777248
ACH-000226,-1.2903269905331989
ACH-000227,-1.5672318824424294
ACH-000228,-1.6427678392842766
ACH-000231,-1.181930056862831
ACH-000232,-1.4808277712060391
ACH-000233,-1.3957532221380775
ACH-000234,-1.5043356391407467
ACH-000235,-1.532831174203232
ACH-000237,-1.6225749542268
ACH-000238,-1.6339577896242743
ACH-000242,-1.752186206390988
