,SPRR1A (6698)
ACH-000433,-0.013325030516834088
ACH-000435,0.12901628588162342
ACH-000436,0.06500531030526999
ACH-000444,0.09699805767640356
ACH-000445,-0.015642980648498686
ACH-000448,0.16302173579412935
ACH-000450,-0.08348917031595557
ACH-000452,0.03811427594300284
ACH-000454,-0.056960291264251964
ACH-000458,0.04564984766408972
ACH-000459,0.07549716265103218
ACH-000460,0.09650720064267844
ACH-000461,0.07767336380860901
ACH-000463,0.04434420906946847
ACH-000464,0.03073205281313132
ACH-000466,0.0925728425986386
ACH-000467,0.059248944245200885
ACH-000468,0.030274268709123583
ACH-000469,0.10109005088108014
ACH-000470,0.05052663777378519
ACH-000471,-0.00236381754555664
ACH-000472,0.05012149249837406
ACH-000473,0.001454334221139042
ACH-000475,0.015865365713657768
ACH-000476,0.041610110271759364
ACH-000477,0.07137565390289073
ACH-000479,0.07941295438146406
ACH-000480,0.07248077778574122
ACH-000481,0.11194260316284316
ACH-000483,0.022575870879319573
ACH-000484,0.0427394932835867
ACH-000485,0.12051930761425947
ACH-000486,0.01406993836882927
ACH-000487,0.050180777958043266
ACH-000488,0.06239251136483785
ACH-000490,0.04268769357822905
ACH-000491,0.18331586353347906
ACH-000495,0.09509798457590599
ACH-000496,-0.022490226126070646
ACH-000499,0.11378679977249212
ACH-000500,-0.25505619452177497
ACH-000502,-0.018887169357267367
ACH-000503,0.012909984222970352
ACH-000505,0.06863337861488454
ACH-000507,-0.0040119067401699435
ACH-000510,0.04159781262405423
ACH-000511,-0.01598043667516034
ACH-000512,0.1397294833122258
ACH-000516,-0.014684602286824491
ACH-000517,0.009832033001639241
ACH-000518,-0.007694458741653524
ACH-000520,0.2236928875053269
ACH-000521,-0.011349987930412244
ACH-000522,0.024128582290754583
ACH-000524,0.030158094883243964
ACH-000527,0.003817878322738043
ACH-000528,0.030329259510453708
ACH-000537,0.16093619345612467
ACH-000541,-0.015306481859670184
ACH-000542,0.08318179708053372
ACH-000544,-0.04427655037687898
ACH-000545,-0.03169914304893447
ACH-000547,0.1775922007088954
ACH-000548,-0.02137984911354169
ACH-000549,-0.05464878923702367
ACH-000550,-0.06006493218100061
ACH-000552,-0.1066714811300339
ACH-000556,0.054486235723562065
ACH-000557,0.1844453034314576
ACH-000569,0.13114274287355585
ACH-000570,0.16043392538144222
ACH-000571,0.02127020940737396
ACH-000573,0.01852109111940637
ACH-000576,-0.052085891891811516
ACH-000579,0.07523565323764835
ACH-000580,-0.23035538536523475
