,TLK2 (11011)
ACH-000004,-0.03164202262142323
ACH-000005,-0.31207106364976256
ACH-000007,-0.1656708103598145
ACH-000009,-0.1211760602411331
ACH-000011,-0.23528686750127706
ACH-000012,-0.03849006290807428
ACH-000013,-0.25391015703020325
ACH-000014,-0.5668548456895427
ACH-000015,-0.16207303132996068
ACH-000017,-0.1937399318712673
ACH-000018,-0.4706675860116019
ACH-000019,-0.3730151468495052
ACH-000021,-0.048698443731799636
ACH-000022,-0.06408762246501147
ACH-000025,-0.07607532888332105
ACH-000028,-0.3708058748171032
ACH-000030,-0.11686786989187845
ACH-000035,-0.4256066605202744
ACH-000036,-0.1716126619826159
ACH-000037,0.10423726407715936
ACH-000039,-0.188299346615787
ACH-000040,-0.26308025976261384
ACH-000041,-0.1681114692007077
ACH-000042,-0.25383466131277593
ACH-000045,-0.24805745635786874
ACH-000047,-0.1415064149476671
ACH-000052,0.06503608437468332
ACH-000053,0.2855017763857993
ACH-000054,-0.2268195607133572
ACH-000055,0.01813742648625349
ACH-000060,-0.394063963533515
ACH-000067,-0.2841003350319593
ACH-000070,-0.3099375823582867
ACH-000075,0.008343781052373593
ACH-000078,-0.34193723971233403
ACH-000082,-0.24910197540511256
ACH-000085,-0.5765082729349982
ACH-000086,-0.415786303859124
ACH-000087,0.00789768322697983
ACH-000092,0.028458150018955238
ACH-000095,-0.2094579410963375
ACH-000097,-0.4674985238340919
ACH-000098,-0.32790108189328626
ACH-000099,-0.21023796596321145
ACH-000108,-0.11384584299448745
ACH-000113,-0.09096798314404
ACH-000116,-0.2228171592287779
ACH-000118,-0.5332146603001094
ACH-000120,-0.4526967118830861
ACH-000123,-0.4127924204720601
ACH-000127,-0.1911513032037958
ACH-000128,-0.4857770283573008
ACH-000132,-0.05959916312274395
ACH-000133,-0.3338866827422205
ACH-000137,-0.41646250311509775
ACH-000138,-0.4531840765773711
ACH-000142,-0.3238574439363297
ACH-000143,-0.04187174681257757
ACH-000146,-0.11897073144542188
ACH-000148,-0.34304616437660057
ACH-000150,-0.31819928096057043
ACH-000152,-0.3342686568436288
ACH-000153,-0.41062300077052205
ACH-000159,-0.13379922195017788
ACH-000160,0.1664987452321108
ACH-000163,-0.10167142978999832
ACH-000167,0.21190405594477324
ACH-000168,-0.030400299508385967
ACH-000169,-0.3893625873258373
ACH-000178,-0.4521971611995801
ACH-000183,-0.455693152925661
ACH-000188,-0.26590943248946924
ACH-000189,0.14513128797089042
ACH-000190,0.0908144927253722
ACH-000198,-0.28453416742537657
ACH-000203,-0.21970315347930228
ACH-000204,-0.09711202147667962
ACH-000206,-0.2110150282738939
ACH-000207,-0.06663575352761895
ACH-000208,-0.09813604494818157
ACH-000210,-0.2815364252328347
ACH-000211,-0.3393200973573678
ACH-000215,-0.15435530025850186
ACH-000221,-0.1254368765285795
ACH-000222,-0.07052208250574285
ACH-000223,-0.19043214785446724
ACH-000226,-0.23396602337087435
ACH-000227,-0.4065170386211909
ACH-000228,-0.1498362042667779
ACH-000231,-0.3491398626647177
ACH-000232,-0.013162846400395998
ACH-000233,-0.13665661490976655
ACH-000234,0.041280101464949585
ACH-000235,-0.2489595373753637
ACH-000237,-0.04741135596531789
ACH-000238,-0.2625780416382293
ACH-000242,-0.2886961670379506
ACH-000243,-0.4449189997291689
ACH-000244,-0.1350550574126491
ACH-000246,-0.03032931952411025
ACH-000248,-0.020417960006521657
ACH-000250,-0.2832965087400667
ACH-000251,-0.35469350217484363
ACH-000252,-0.22071423112117616
ACH-000253,-0.3110306512841171
ACH-000255,0.07036053988356925
ACH-000256,-0.404373958976049
ACH-000257,-0.055594751788542125
ACH-000258,-0.332134023955669
ACH-000259,-0.29747919660821104
ACH-000260,-0.2259076153149373
ACH-000261,-0.0011331256634444242
ACH-000262,-0.1313366834033454
ACH-000263,-0.2516099986189575
ACH-000264,-0.2466493525319905
ACH-000265,-0.2864395982451263
ACH-000266,-0.17421574932941322
ACH-000272,0.07554629623021487
ACH-000274,-0.6289442761352366
ACH-000277,0.058398048968044125
ACH-000278,-0.101541795074264
ACH-000279,-0.14487127393658958
ACH-000280,-0.328281765742535
ACH-000281,-0.4772629579854293
ACH-000288,-0.13789268434718865
ACH-000291,-0.15687524804272734
ACH-000293,-0.3747140947674635
ACH-000294,0.0650260887588109
ACH-000295,-0.21968159315245825
ACH-000296,-0.09332347749915193
ACH-000302,-0.0691911261983232
ACH-000304,-0.3669232599524547
ACH-000307,-0.17945339704544375
ACH-000308,0.01168218778711606
ACH-000310,-0.2863133403135347
ACH-000311,-0.013890006656697452
ACH-000312,-0.3476041747424785
ACH-000315,-0.3729573689519599
