,ZER1 (10444)
ACH-000004,-0.4065086988941435
ACH-000005,-0.18449302620373031
ACH-000007,0.036791481851173764
ACH-000009,-0.3134697781090083
ACH-000011,0.04387033838649207
ACH-000012,-0.15148084160207864
ACH-000013,-0.1015994356269577
ACH-000014,-0.08963688975882393
ACH-000015,-0.3878826736327397
ACH-000017,-0.02290324793664961
ACH-000018,-0.14411419435435902
ACH-000019,-0.1974564343507217
ACH-000021,-0.13460719477291486
ACH-000022,-0.17389685039636102
ACH-000025,0.01461209544346354
ACH-000028,0.044680508974758205
ACH-000030,-0.07033326222691745
ACH-000035,-0.11331300693982413
ACH-000036,-0.2621900123229248
ACH-000037,-0.1822574510140634
ACH-000039,-0.2090206916499268
ACH-000040,-0.2506401766737187
ACH-000041,-0.184421878988267
ACH-000042,-0.2541559436385787
ACH-000045,-0.025904203311805055
ACH-000047,0.03934183344459887
ACH-000052,-0.33466594718823994
ACH-000053,-0.05051802953253801
ACH-000054,-0.3287087388850367
ACH-000055,-0.17102340809158326
ACH-000060,-0.2273197314408508
ACH-000067,-0.044843696595177375
ACH-000070,-0.11216058212439713
ACH-000075,0.017646492718631012
ACH-000078,-0.1574302061256228
ACH-000082,-0.2556785479667917
ACH-000085,-0.29845583990328073
ACH-000086,-0.3039018691044348
ACH-000087,0.013711124196645066
ACH-000092,-0.19028851715676828
ACH-000095,-0.3459822857657067
ACH-000097,-0.20992145700595533
ACH-000098,-0.07861041434993482
ACH-000099,-0.0016118993361588436
ACH-000108,-0.17559885453817234
ACH-000113,0.03915396882189361
ACH-000116,-0.13486726041622152
ACH-000118,-0.15325361216679312
ACH-000120,-0.2361912393174513
ACH-000123,-0.1126497389767005
ACH-000127,-0.057735038153149225
ACH-000128,-0.003747903711182951
ACH-000132,-0.2699551027433228
ACH-000133,-0.12436429752985938
ACH-000137,-0.11676993190688476
ACH-000138,-0.17108051188441753
ACH-000142,-0.07899285470706577
ACH-000143,-0.044735347623372584
ACH-000146,-0.09251059967752337
ACH-000148,-0.13271171215337266
ACH-000150,-0.2860903062369742
ACH-000152,-0.2035103698193072
ACH-000153,-0.15668081210333934
ACH-000159,-0.14164851247190013
ACH-000160,-0.15385293676776912
ACH-000163,-0.0028538261244663984
ACH-000167,-0.5009812521770785
ACH-000168,-0.13067372796691432
ACH-000169,-0.2025684012072302
ACH-000178,-0.07417674596741428
ACH-000183,-0.14448710726368444
ACH-000188,-0.198535644478808
ACH-000189,-0.26167249564641804
ACH-000190,-0.03694012106149214
ACH-000198,-0.17281128350343747
ACH-000203,-0.6359787436957645
ACH-000204,-0.4343810323098749
ACH-000206,-0.27734246228280673
