,SLC35E3 (55508)
ACH-000004,-0.1833523805694599
ACH-000005,-0.3904708774952073
ACH-000007,-0.055521961928794834
ACH-000009,-0.03502006181263041
ACH-000011,-0.19781310734348134
ACH-000012,-0.0983713113619511
ACH-000013,-0.1845910053670918
ACH-000014,-0.2115931421973525
ACH-000015,-0.23389688336195674
ACH-000017,0.05154232532317895
ACH-000018,-0.29435695713785026
ACH-000019,-0.058270396167477034
ACH-000021,-0.21113062935248653
ACH-000022,-0.0991469450873473
ACH-000025,-0.24072918740258376
ACH-000028,-0.2954204612386899
ACH-000030,-0.21230511175860964
ACH-000035,-0.0607685312655762
ACH-000036,-0.08513723639320851
ACH-000037,-0.007022052476971706
ACH-000039,-0.18030303038162174
ACH-000040,-0.08960464539445855
ACH-000041,-0.11143715206990612
ACH-000042,-0.056787146144280376
ACH-000045,-0.22965812401077765
ACH-000047,-0.0972034890909265
ACH-000052,-0.11241959401388006
ACH-000053,-0.07102552930658634
ACH-000054,-0.21897755820525466
ACH-000055,-0.10838873644706144
ACH-000060,-0.18573091936100394
ACH-000067,-0.11719681706054813
ACH-000070,-0.11594043620583935
ACH-000075,-0.4243642126554821
ACH-000078,-0.005149658177940184
ACH-000082,-0.16078188339932098
ACH-000085,-0.28229104906535
ACH-000086,-0.2432364256020401
ACH-000087,-0.04064978946191243
ACH-000092,-0.07744061129917816
ACH-000095,-0.10183837945827157
ACH-000097,-0.2116928253906851
ACH-000098,-0.09443758637136764
ACH-000099,-0.09977469436794936
ACH-000108,0.01852854272645429
ACH-000113,-0.29706771923758163
ACH-000116,-0.17688355215039894
ACH-000118,-0.21448874801528486
ACH-000120,0.08421692702147543
ACH-000123,-0.054872616552778926
ACH-000127,-0.13502701501852224
ACH-000128,-0.16885845258736204
ACH-000132,-0.09114592031102813
ACH-000133,-0.16882856083123382
ACH-000137,-0.2915207864790991
ACH-000138,-0.12144798844820875
ACH-000142,-0.1704937914761843
ACH-000143,-0.14049164668970446
ACH-000146,-0.026709799787419355
ACH-000148,-0.08806130422681628
ACH-000150,-0.08573289779266463
ACH-000152,-0.2084269435821537
ACH-000153,-0.13396662310214744
