,TBC1D3F (84218)
ACH-000004,-0.1249745608873903
ACH-000005,-0.4163938099370996
ACH-000007,-0.21066604764889355
ACH-000009,-0.15669000885474624
ACH-000011,-0.1507359749473423
ACH-000012,-0.2977867558809508
ACH-000013,-0.0759294009788689
ACH-000014,-0.1610445485042372
ACH-000015,-0.0881676168263964
ACH-000017,-0.26071215335929365
ACH-000018,-0.6302310085049692
ACH-000019,-0.3822688203760675
ACH-000021,-0.08730762873130041
ACH-000022,-0.250678214173174
ACH-000025,-0.1542376616297349
ACH-000028,-0.20162481914073455
ACH-000030,-0.2254992063990243
ACH-000035,-0.3360806563571316
ACH-000036,-0.3471753972878615
ACH-000037,-0.1825172049163553
ACH-000039,-0.20122351891628168
ACH-000040,-0.3902277636759424
ACH-000041,-0.09432230332293116
ACH-000042,-0.09285225146412908
ACH-000045,-0.17674864272020252
ACH-000047,-0.17224043681853055
ACH-000052,-0.2808189099015207
ACH-000053,-0.2185010767091128
ACH-000054,-0.4138707310927737
ACH-000055,-0.19253842340359426
ACH-000060,-0.04596303320954007
ACH-000067,-0.35518805309289303
ACH-000070,-0.37102716978204203
ACH-000075,-0.1591252491078637
ACH-000078,0.05087738784689138
ACH-000082,-0.4077164761077712
ACH-000085,-0.11143599190774647
ACH-000086,-0.1984408113800856
ACH-000087,-0.10921932319347988
ACH-000092,-0.1089074194929803
ACH-000095,-0.5144290245505115
ACH-000097,-0.3176802779015152
ACH-000098,-0.040791748571068695
ACH-000099,-0.3943027100826105
ACH-000108,-0.19059838071914267
ACH-000113,-0.2282967905607648
ACH-000116,-0.5830683837418184
ACH-000118,-0.34101439052301136
ACH-000120,-0.2359008223523777
ACH-000123,-0.1976701787606908
ACH-000127,-0.4443253927312009
ACH-000128,-0.09507207543901644
ACH-000132,-0.024844556012999067
ACH-000133,-0.1628996825070191
ACH-000137,-0.04359851834167439
ACH-000138,-0.7236174881728509
ACH-000142,-0.44047882868668425
ACH-000143,-0.4063045938335431
ACH-000146,-0.22409080252109406
ACH-000148,-0.2453249855280332
ACH-000150,0.03297505496288999
ACH-000152,-0.4453186439278126
ACH-000153,-0.032822439238146865
ACH-000159,-0.2944298296611788
ACH-000160,-0.03546030322180459
ACH-000163,-0.21098753522670285
ACH-000167,-0.09064228754626877
ACH-000168,-0.1288903332320224
ACH-000169,-0.2047943044987226
ACH-000178,-0.3724729888819343
ACH-000183,-0.3546695678337488
ACH-000188,-0.3774531778622841
ACH-000189,0.22060549609482047
ACH-000190,-0.009873347164915941
ACH-000198,-0.20663113327292104
ACH-000203,-0.6209548211349473
ACH-000204,-0.3229815862086268
ACH-000206,-0.15125986900680402
ACH-000207,-0.2221097744705623
ACH-000208,-0.03760243658872677
ACH-000210,-0.09582313419475352
ACH-000211,-0.4685543736673
ACH-000215,-0.3699472127778718
ACH-000221,-0.20409447730314093
ACH-000222,-0.20782360586256776
ACH-000223,-0.06598887080788146
ACH-000226,-0.1320475205788172
ACH-000227,-0.07697736780089821
ACH-000228,-0.2313707505582522
ACH-000231,-0.24044242680899716
ACH-000232,-0.030814590619759274
ACH-000233,-0.23728535479375698
ACH-000234,-0.23075113358448604
ACH-000235,-0.3345067245701682
ACH-000237,-0.19295176005424786
ACH-000238,-0.1352418992100395
ACH-000242,-0.03946426633515287
ACH-000243,-0.1697314593926025
ACH-000244,-0.3873172169574509
ACH-000246,-0.3703142044465997
ACH-000248,-0.22219599183692584
ACH-000250,-0.32048075870992354
ACH-000251,-0.4774600404491704
ACH-000252,-0.3001308740768552
ACH-000253,-0.4002338252216032
ACH-000255,-0.3839169081931668
ACH-000256,-0.09668887577223602
ACH-000257,-0.07412386245084232
ACH-000258,-0.6232435130264501
ACH-000259,0.004765165251653169
ACH-000260,-0.11662160588972248
ACH-000261,-0.16457655565036905
ACH-000262,-0.4185930607987816
ACH-000263,-0.18081918398083907
ACH-000264,-0.2464739832170693
ACH-000265,-0.009626662611303448
ACH-000266,-0.18143855519419386
ACH-000272,-0.40647079781352624
ACH-000274,-0.28838902897608554
ACH-000277,-0.19668841714473245
ACH-000278,-0.3296739265022084
ACH-000279,-0.20827154316209576
ACH-000280,0.008097249898831359
ACH-000281,-0.3297985621463956
ACH-000288,-0.3465481425768683
ACH-000291,-0.3516566013604477
ACH-000293,-0.07718704539160763
ACH-000294,-0.39601562055740863
ACH-000295,-0.043311224116512836
ACH-000296,-0.312032990477048
ACH-000302,-0.21130846452838647
ACH-000304,-0.4581623757737774
ACH-000307,-0.2878597625928386
ACH-000308,-0.13096012218165418
ACH-000310,-0.05110359019429108
ACH-000311,-0.12028586546723714
ACH-000312,-0.05971081017695349
ACH-000315,0.05454053987955422
ACH-000316,-0.4040874028670594
ACH-000317,-0.15461458391620714
ACH-000318,-0.135663756188278
ACH-000319,-0.0012734744348847314
ACH-000320,-0.28148266117207804
ACH-000322,-0.2917891853287693
ACH-000323,-0.3349172775513562
ACH-000324,0.0007717010806398447
ACH-000329,-0.1604329413355243
ACH-000330,-0.2788030681960871
ACH-000331,-0.3782990813311708
ACH-000332,-0.345220018472242
ACH-000334,0.011365982581855096
ACH-000335,-0.27141586515761634
ACH-000336,-0.266199256170191
ACH-000337,-0.6129876974430273
ACH-000338,-0.5778084828164773
ACH-000339,-0.2158281053403334
ACH-000341,-0.32007464226322063
ACH-000348,-0.13714355438600645
ACH-000350,-0.2834550427759168
ACH-000352,-0.060518511757636576
ACH-000356,-0.26398428127310003
ACH-000361,-0.3560817988503307
ACH-000362,-0.08461556836203679
ACH-000363,-0.06685839097694897
ACH-000364,-0.3541255920188677
ACH-000365,-0.13951771295152013
ACH-000366,-0.09757246063239756
ACH-000368,-0.06649806074048904
ACH-000374,-0.2556921149231439
ACH-000375,-0.1468784568351443
ACH-000376,-0.2750995152235189
ACH-000381,-0.3654108498235397
ACH-000383,-0.6789125591832225
ACH-000387,-0.2409832523317433
ACH-000389,-0.21733158085055687
ACH-000390,-0.3240168675011569
ACH-000393,-0.2298533494728624
ACH-000395,-0.3364230001661184
ACH-000396,-0.4259644636945583
ACH-000397,-0.41017259155568575
ACH-000401,-0.23318645131264726
ACH-000402,-0.048765535823412524
ACH-000403,-0.26059348505989216
ACH-000404,-0.1522889037229217
ACH-000406,-0.17397142161678197
ACH-000407,-0.10199607718117844
ACH-000408,-0.15369771629413198
ACH-000410,-0.22056632044393654
ACH-000411,-0.3700308092982609
ACH-000414,-0.4047170145100028
ACH-000415,-0.32790067417230817
ACH-000416,-0.4555259323245559
ACH-000420,-0.2455923242263345
ACH-000421,-0.2863787909451262
ACH-000424,-0.07066068476458524
ACH-000425,-0.38689199894216575
ACH-000426,-0.1637900163484841
ACH-000427,-0.3127917230251574
ACH-000433,-0.3760878697221266
ACH-000435,-0.6214918042540742
ACH-000436,-0.16711591450129246
ACH-000444,-0.07569980180682312
ACH-000445,-0.18543324676870895
ACH-000448,0.01553110909670696
ACH-000450,-0.30806059732637403
ACH-000452,-0.12823140589672982
ACH-000454,-0.06915557907013208
ACH-000458,-0.3489805965077675
ACH-000459,-0.1192680149230054
ACH-000460,-0.053358549016118965
ACH-000461,-0.19355077706536736
ACH-000463,-0.207521356200784
ACH-000464,-0.21268944056280756
ACH-000466,-0.14087887095368798
ACH-000467,-0.2185519874291404
ACH-000468,-0.2825084419564485
ACH-000469,-0.0331627397107968
ACH-000470,0.00804147618797737
ACH-000471,-0.062360907844120975
ACH-000472,-0.06379449734052146
ACH-000473,-0.0893454356352156
ACH-000475,-0.3845206990885787
ACH-000476,-0.3209011017047569
ACH-000477,0.025689656697799268
ACH-000479,-0.21014169955384265
ACH-000480,-0.018017724917502937
