,AARD (441376)
ACH-000004,-0.08353292355804222
ACH-000005,0.1781787038115985
ACH-000007,-0.15338652026888716
ACH-000009,-0.06004177816217044
ACH-000011,-0.2454132932053261
ACH-000012,-0.13028516109174065
ACH-000013,-0.07717012961912595
ACH-000014,-0.12562086611785805
ACH-000015,-0.12732388095683694
ACH-000017,-0.3948260581132447
ACH-000018,-0.1981305974812438
ACH-000019,-0.21698799137255445
ACH-000021,-0.09946329110692108
ACH-000022,-0.2928088203020444
ACH-000025,-0.1421465673805776
ACH-000028,-0.1019623159367046
ACH-000030,-0.11652489923116705
ACH-000035,-0.07682012624873508
ACH-000036,-0.2447562277448552
ACH-000037,-0.2748318698260052
ACH-000039,-0.08317008291670876
ACH-000040,-0.07729988347185766
ACH-000041,-0.14138223998924554
ACH-000042,-0.2596855301167907
ACH-000045,-0.2039079757649836
ACH-000047,-0.1476675621834603
ACH-000052,-0.15761197585518522
ACH-000053,-0.17548566450522576
ACH-000054,-0.20240044566372087
ACH-000055,-0.2324803659599757
ACH-000060,-0.26020476277935034
ACH-000067,-0.16387439142465035
ACH-000070,-0.2592320044220541
ACH-000075,-0.13468051896507982
ACH-000078,-0.10099847437012664
ACH-000082,-0.20394071354028384
ACH-000085,-0.19340985878203815
ACH-000086,-0.17830364787623745
ACH-000087,-0.2871127732612113
ACH-000092,-0.15357019187636833
ACH-000095,0.0015336661178387714
ACH-000097,-0.1899185192409722
ACH-000098,-0.14921832129666945
ACH-000099,-0.16934923895130288
ACH-000108,-0.24469683199528686
ACH-000113,-0.04755588565850751
ACH-000116,-0.11758529858115775
ACH-000118,-0.27203098558614786
ACH-000120,-0.28115111510321844
ACH-000123,-0.09732126577196948
ACH-000127,-0.13076162666824512
ACH-000128,-0.28584248964866954
ACH-000132,-0.263100509221122
ACH-000133,-0.2712918014630569
ACH-000137,0.1289748753872174
ACH-000138,-0.16196981794404824
ACH-000142,0.00447283897644648
ACH-000143,-0.0086953079736038
ACH-000146,-0.16186973072618932
ACH-000148,-0.16811084017763395
ACH-000150,-0.735200153638133
ACH-000152,-0.23948109644659696
ACH-000153,-0.12175928420269208
ACH-000159,-0.1416533255839557
ACH-000160,-0.15354883167643268
ACH-000163,-0.16227106697468244
ACH-000167,-0.05299877575713772
ACH-000168,-0.07635899411767197
ACH-000169,-0.07410586320702094
ACH-000178,-0.26165357088089986
ACH-000183,-0.28434745254645233
ACH-000188,-0.10773547687017312
ACH-000189,0.02113710771185734
ACH-000190,-0.2758652392050428
ACH-000198,-0.2198407108381898
ACH-000203,-0.4702554531546246
ACH-000204,-0.08721635346348078
ACH-000206,-0.0691562635699199
ACH-000207,-0.0653287947675115
ACH-000208,-0.027072101941802203
ACH-000210,-0.19314820902785004
ACH-000211,-0.16251696414397368
ACH-000215,-0.17297153849039595
ACH-000221,-0.17797221167589716
ACH-000222,-0.20400240994585456
ACH-000223,-0.2497752955581372
ACH-000226,-0.12010418702571687
ACH-000227,-0.19351656210994256
ACH-000228,-0.12693759452682532
ACH-000231,-0.08876295593028065
ACH-000232,-0.17977707247733707
ACH-000233,-0.1748568072636387
ACH-000234,-0.3179706287972853
ACH-000235,-0.20219586522088695
ACH-000237,-0.15443778316981646
ACH-000238,-0.1528261981238483
ACH-000242,-0.17468649527247354
ACH-000243,-0.12815731150136936
ACH-000244,-0.1258318056141393
ACH-000246,-0.31672488318565256
ACH-000248,-0.3798771730838754
ACH-000250,-0.23140201423464946
ACH-000251,-0.3258572638409513
ACH-000252,-0.3066405661252195
ACH-000253,-0.14432101111172574
ACH-000255,-0.04369351959162846
ACH-000256,-0.1734181244314439
ACH-000257,-0.11762627811603607
ACH-000258,-0.18129052463309725
ACH-000259,-0.12379149880619428
ACH-000260,-0.19985537641407625
ACH-000261,-0.19917704575143452
ACH-000262,-0.19671689904752435
ACH-000263,-0.2766686797554155
ACH-000264,-0.17532212117559515
ACH-000265,-0.4280885667527627
ACH-000266,-0.16253993941424774
ACH-000272,-0.1756987388722284
ACH-000274,-0.013549605749833176
ACH-000277,-0.5845086281190066
ACH-000278,-0.014887138228413947
ACH-000279,-0.3587826060617918
ACH-000280,-0.3519406772489591
ACH-000281,-0.3237026794988028
ACH-000288,-0.014110729936947198
