,FKBP1A (2280)
ACH-000004,-0.0002228662146818819
ACH-000005,-0.10527010039477756
ACH-000007,0.07896099208072095
ACH-000009,-0.15085681238576634
ACH-000011,-0.2615818029208287
ACH-000012,-0.1254266869816733
ACH-000013,-0.17867197099897622
ACH-000014,-0.22022061700186493
ACH-000015,-0.07297565764331668
ACH-000017,-0.23803677516165775
ACH-000018,-0.13752499509692484
ACH-000019,-0.07727869427645258
ACH-000021,-0.21044578751891346
ACH-000022,-0.061257488437125925
ACH-000025,0.31093586810242546
ACH-000028,-0.16100187389335496
ACH-000030,-0.15698140661144278
ACH-000035,-0.21759732209085286
ACH-000036,0.07393822121806337
ACH-000037,-0.15514007804744662
ACH-000039,-0.27963952134018194
ACH-000040,-0.1781121362827891
ACH-000041,-0.07569411239726301
ACH-000042,-0.10321379782940401
ACH-000045,-0.29903832113381457
ACH-000047,-0.024376960303851745
ACH-000052,-0.024386467854630764
ACH-000053,-0.17396370579124362
ACH-000054,-0.1157845406222284
ACH-000055,0.29619927746495484
ACH-000060,-0.15548843268310686
ACH-000067,-0.03729715657312235
ACH-000070,-0.018410947123941018
ACH-000075,-0.06201361221534828
ACH-000078,0.06095458950546905
ACH-000082,0.04990631534892016
ACH-000085,0.0954994298481766
ACH-000086,-0.1239613555789753
ACH-000087,-0.1764365707064495
ACH-000092,-0.06549469715305173
ACH-000095,-0.40981244670254535
ACH-000097,-0.23500173881088665
ACH-000098,-0.049088953435165374
ACH-000099,-0.21918923411823474
ACH-000108,-0.0505141649372879
ACH-000113,-0.16625016391539701
ACH-000116,-0.054132275462163884
ACH-000118,0.009763843601370495
ACH-000120,-0.026509804288814776
ACH-000123,0.005306019701874978
ACH-000127,-0.1647140571551769
ACH-000128,-0.11710048705766216
ACH-000132,-0.11171751998682773
ACH-000133,-0.095385731511509
ACH-000137,-0.16063672442583404
ACH-000138,0.034837997542649504
ACH-000142,-0.03176308579103095
ACH-000143,-0.2323657013375951
ACH-000146,-0.1526757423621443
ACH-000148,-0.24980522935923974
ACH-000150,-0.2991467925899833
ACH-000152,-0.2670995865103105
ACH-000153,-0.2298938790543425
ACH-000159,-0.29571407671376104
ACH-000160,-0.11062649988653536
ACH-000163,-0.0348661194840495
ACH-000167,0.4346733727309552
ACH-000168,0.0719571093554534
ACH-000169,-0.21296052991107933
ACH-000178,-0.09873521024908666
ACH-000183,-0.4821465338101442
ACH-000188,0.009127973962010344
ACH-000189,-0.15372213694399472
ACH-000190,0.1314641621780408
ACH-000198,-0.15749189099522953
ACH-000203,0.05737543374884666
ACH-000204,0.08027518775741461
ACH-000206,-0.032339774388113585
ACH-000207,-0.24410037403084375
ACH-000208,-0.012911303961572404
ACH-000210,-0.3746408007001133
ACH-000211,-0.09513025396292207
ACH-000215,-0.13636013631537178
ACH-000221,-0.09886253430858173
ACH-000222,-0.32558676516693
ACH-000223,-0.2836829390398364
ACH-000226,0.012056294754208573
ACH-000227,-0.007736003331772124
ACH-000228,-0.1224275701608774
ACH-000231,-0.13818990001374334
ACH-000232,-0.228662103576201
ACH-000233,-0.07175633123384954
ACH-000234,-0.1963571006044227
ACH-000235,-0.10569213023006603
ACH-000237,-0.039047893217058406
ACH-000238,-0.17621751041166125
ACH-000242,-0.3374724732044394
ACH-000243,-0.03767398873740936
ACH-000244,-0.07412280911222205
ACH-000246,-0.16218422102414812
ACH-000248,0.06772140424978555
