,EVA1A (84141)
ACH-000004,-0.11101038661067532
ACH-000005,-0.14656207063282933
ACH-000007,0.09157924821607497
ACH-000009,0.13803526274002534
ACH-000011,0.09525785445580134
ACH-000012,0.1680006481250184
ACH-000013,0.09858585402114013
ACH-000014,0.06241648203388299
ACH-000015,0.06349627938127275
ACH-000017,0.17564741818420215
ACH-000018,-0.13881591739435545
ACH-000019,0.03248314939023232
ACH-000021,0.024149069540169748
ACH-000022,0.050850410266358316
ACH-000025,-0.05568917259567988
ACH-000028,-0.001821243813252904
ACH-000030,0.014516094939995028
ACH-000035,-0.2574572440404562
ACH-000036,0.016979975299679092
ACH-000037,-0.07991380465278894
ACH-000039,0.12939483771768354
ACH-000040,0.017006822667888152
ACH-000041,0.058900332740963186
ACH-000042,0.1296672363911341
ACH-000045,0.20484612917340544
ACH-000047,0.04588967668265128
ACH-000052,0.07719174070202403
ACH-000053,0.02805288350116749
ACH-000054,0.017652762340880587
ACH-000055,0.2481392847154945
ACH-000060,0.11177897131469196
ACH-000067,0.05276554646951527
ACH-000070,0.027980638360599587
ACH-000075,0.010655251311060291
ACH-000078,0.21406195387883392
ACH-000082,0.2079951051326168
ACH-000085,0.031268296465291584
ACH-000086,0.10015634331217324
ACH-000087,-0.04283266443773912
ACH-000092,-0.06190656792405096
ACH-000095,0.15586125028263298
ACH-000097,0.06674819579522072
ACH-000098,-0.16430845049366946
ACH-000099,0.04099004924880061
ACH-000108,0.1433793706949218
ACH-000113,0.007550209566988839
ACH-000116,0.06513085422372031
ACH-000118,0.004059250681832595
ACH-000120,-0.016576235691664432
ACH-000123,0.0780483708349455
ACH-000127,-0.08759532186396936
ACH-000128,0.022430316794825583
ACH-000132,-0.16448663030254634
ACH-000133,0.0478776453972782
ACH-000137,-0.06480843085348532
ACH-000138,0.21728514269067206
ACH-000142,-0.1160103418865554
ACH-000143,0.08734916669601461
ACH-000146,0.28391464303409325
ACH-000148,0.07629625381567479
ACH-000150,0.15317437914175788
ACH-000152,-0.08877838278439873
ACH-000153,-0.07161568828659721
ACH-000159,0.04352596099709767
ACH-000160,0.09570407115758936
ACH-000163,-0.1727797395990867
ACH-000167,-0.0682273538210916
ACH-000168,-0.003220040852917967
ACH-000169,0.15065714373499062
ACH-000178,0.0533963598076959
ACH-000183,0.11208091852695834
ACH-000188,0.04535314417869375
ACH-000189,-0.09297147211115683
ACH-000190,0.11801623887675837
ACH-000198,-0.006242163627123825
ACH-000203,0.109390765648349
ACH-000204,-0.10229436897094032
ACH-000206,-0.1268025207701687
ACH-000207,0.0954982768268546
ACH-000208,-0.039994080674132314
ACH-000210,0.2303106736462313
ACH-000211,0.04100407030263658
ACH-000215,0.06736366365563827
ACH-000221,0.03886941249332873
ACH-000222,0.11098523397824092
ACH-000223,0.045529567097263066
ACH-000226,0.03819202898600578
ACH-000227,-0.07673811073001388
ACH-000228,0.06431416963298453
ACH-000231,0.08641929664044891
